"","ko_map","noFMT_1_duodenum","noFMT_1_jejunum","noFMT_1_ileum","noFMT_1_cecum","noFMT_1_colon","noFMT_2_duodenum","noFMT_2_jejunum","noFMT_2_ileum","noFMT_2_cecum","noFMT_2_colon","noFMT_3_duodenum","noFMT_3_jejunum","noFMT_3_ileum","noFMT_3_cecum","noFMT_3_colon","noFMT_4_duodenum","noFMT_4_jejunum","noFMT_4_ileum","noFMT_4_cecum","noFMT_4_colon","donor_1_duodenum","donor_1_jejunum","donor_1_ileum","donor_1_cecum","donor_1_colon","donor_2_duodenum","donor_2_jejunum","donor_2_ileum","donor_2_cecum","donor_2_colon","donor_3_duodenum","donor_3_jejunum","donor_3_ileum","donor_3_cecum","donor_3_colon","donor_4_duodenum","donor_4_jejunum","donor_4_ileum","donor_4_cecum","donor_4_colon","postFMT_1_duodenum","postFMT_1_jejunum","postFMT_1_ileum","postFMT_1_cecum","postFMT_1_colon","postFMT_2_duodenum","postFMT_2_jejunum","postFMT_2_ileum","postFMT_2_cecum","postFMT_2_colon","postFMT_3_duodenum","postFMT_3_jejunum","postFMT_3_ileum","postFMT_3_cecum","postFMT_3_colon","postFMT_4_duodenum","postFMT_4_jejunum","postFMT_4_ileum","postFMT_4_cecum","postFMT_4_colon"
"3831","K18285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3832","K18302",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3833","K18303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3834","K18307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3835","K18320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3836","K18324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3837","K18330",0,0,0,2,0,1,10,0,2,0,0,3,0,0,0,0,0,9,0,0,0,0,20,1,0,0,45,0,14,0,0,0,0,5,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3838","K18331",2,0,1,0,4,3,77,0,10,0,1,37,2,21,7,0,74,28,40,0,0,0,236,21,8,0,126,0,46,8,1,1,2,33,3,0,25,0,1,18,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"3839","K18332",0,0,0,1,4,7,38,0,9,2,0,36,0,1,7,0,8,25,19,0,0,0,116,6,6,0,75,0,19,4,0,7,1,5,4,0,11,0,13,7,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"3840","K18334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3841","K18337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3842","K18344",0,1,0,1,0,0,18,0,23,50,0,59,1,0,0,0,45,61,20,0,0,0,160,68,10,0,72,0,41,7,0,0,1,7,0,0,25,0,15,58,0,0,0,0,0,9,0,0,0,8,0,6,0,0,0,1,0,0,0,0
"3843","K18345",0,3,1,12,5,1,71,0,62,35,0,89,7,23,5,0,87,86,65,10,0,0,217,268,0,0,163,2,145,46,6,1,1,94,2,0,40,0,66,115,20,0,0,0,0,1,0,0,0,0,3,3,0,0,0,4,0,0,0,0
"3844","K18346",0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"3845","K18347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3846","K18348",2,0,1,0,2,6,50,0,32,1,0,41,2,6,0,0,2,32,4,0,0,0,88,13,2,0,78,0,41,11,0,4,0,7,7,0,5,0,19,29,0,0,0,0,0,8,0,0,0,0,2,2,0,0,0,2,0,0,0,0
"3847","K18349",0,2,6,0,5,4,60,0,53,8,7,142,1,1,5,0,57,42,26,8,0,0,205,52,0,0,78,0,25,5,2,1,3,15,1,0,97,0,22,65,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,10,0,0,0,1
"3848","K18350",1,5,3,4,4,14,107,2,12,13,4,146,10,19,7,0,104,94,16,2,0,0,420,102,9,0,155,0,118,13,2,11,30,20,5,0,76,0,55,73,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,40,0,0,0,0
"3849","K18369",121,28,2,13,62,9,149,0,35,57,55,11,0,1,12,0,15,2,0,16,0,0,32,28,2,2,79,0,0,8,14,0,2,2,23,0,1,0,0,44,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"3850","K18427",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3851","K18429",2,0,0,0,9,0,14,1,12,5,0,6,0,2,0,0,0,5,1,0,0,0,26,19,0,0,18,0,4,0,0,2,2,4,3,0,1,0,18,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3852","K18430",16,0,0,0,15,5,47,0,4,4,0,6,0,0,2,1,6,5,1,2,0,0,24,12,0,1,10,0,7,3,2,1,0,7,3,0,2,0,8,30,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"3853","K18431",0,0,0,0,0,2,8,0,4,0,0,1,0,0,0,0,0,2,1,0,0,0,5,2,1,0,3,0,2,0,0,0,0,2,1,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3854","K18446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3855","K18457",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3856","K18471",0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3857","K18475",0,1,0,0,0,1,21,0,10,1,8,99,1,8,13,0,56,41,4,2,0,1,56,9,3,0,16,0,9,5,0,3,0,6,1,0,5,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3858","K18478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3859","K18479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3860","K18530",0,0,0,0,0,0,7,0,0,0,0,8,0,1,0,0,1,7,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3861","K18531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3862","K18545",0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3863","K18554",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,1,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3864","K18560",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3865","K18581",8,3,0,0,3,5,18,0,9,11,1,9,1,5,0,0,2,12,10,0,0,0,67,13,0,0,18,0,16,3,0,1,10,19,3,0,2,0,8,23,1,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0
"3866","K18626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3867","K18640",1,42,92,6,3,18,384,0,419,11,1,241,17,54,21,0,45,265,140,5,0,9,827,244,44,4,336,0,357,36,9,5,34,140,21,0,285,0,171,436,13,4,0,0,0,14,0,0,0,0,2,36,0,0,0,28,0,0,0,0
"3868","K18650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3869","K18657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3870","K18672",0,2,2,1,4,4,54,0,28,6,5,108,2,14,19,0,64,31,17,7,0,2,117,16,0,0,66,1,41,5,0,11,19,6,3,0,20,0,34,32,0,0,0,1,0,3,0,0,0,0,1,3,0,0,0,4,0,0,0,0
"3871","K18675",0,0,0,1,0,2,12,0,9,2,0,6,0,0,0,0,0,5,4,0,0,0,52,8,0,0,2,0,30,24,0,0,0,13,4,0,6,0,19,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,0,0,0,0
"3872","K18678",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3873","K18682",84,50,3,12,106,15,376,1,201,111,19,297,14,55,29,23,267,240,102,10,0,25,505,132,54,0,328,1,445,107,6,21,68,198,24,0,48,0,221,274,0,0,0,0,2,18,0,0,0,0,11,10,0,1,0,2,0,0,0,0
"3874","K18691",22,0,0,1,16,0,31,0,8,4,1,9,0,0,0,0,6,1,0,2,0,0,1,0,0,2,3,0,1,4,2,0,0,0,3,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3875","K18692",0,0,0,0,0,0,4,1,2,1,0,0,0,1,0,0,10,4,0,2,0,0,11,1,0,0,7,0,0,0,1,7,2,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3876","K18698",7,1,2,0,10,11,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,23,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3877","K18702",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,5,1,0,0,1,0,2,1,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3878","K18704",0,0,0,0,1,4,10,0,9,27,1,19,1,5,5,0,24,13,16,1,0,0,22,8,1,0,3,0,0,0,0,4,4,4,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
