"","ko_map","noFMT_1_duodenum","noFMT_1_jejunum","noFMT_1_ileum","noFMT_1_cecum","noFMT_1_colon","noFMT_2_duodenum","noFMT_2_jejunum","noFMT_2_ileum","noFMT_2_cecum","noFMT_2_colon","noFMT_3_duodenum","noFMT_3_jejunum","noFMT_3_ileum","noFMT_3_cecum","noFMT_3_colon","noFMT_4_duodenum","noFMT_4_jejunum","noFMT_4_ileum","noFMT_4_cecum","noFMT_4_colon","donor_1_duodenum","donor_1_jejunum","donor_1_ileum","donor_1_cecum","donor_1_colon","donor_2_duodenum","donor_2_jejunum","donor_2_ileum","donor_2_cecum","donor_2_colon","donor_3_duodenum","donor_3_jejunum","donor_3_ileum","donor_3_cecum","donor_3_colon","donor_4_duodenum","donor_4_jejunum","donor_4_ileum","donor_4_cecum","donor_4_colon","postFMT_1_duodenum","postFMT_1_jejunum","postFMT_1_ileum","postFMT_1_cecum","postFMT_1_colon","postFMT_2_duodenum","postFMT_2_jejunum","postFMT_2_ileum","postFMT_2_cecum","postFMT_2_colon","postFMT_3_duodenum","postFMT_3_jejunum","postFMT_3_ileum","postFMT_3_cecum","postFMT_3_colon","postFMT_4_duodenum","postFMT_4_jejunum","postFMT_4_ileum","postFMT_4_cecum","postFMT_4_colon"
"1","K00001",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,3,0,0,0,9,0,0,0,0,3,2,1,2,0,9,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","K00002",0,0,0,0,0,2,10,0,0,0,1,3,1,0,0,0,1,1,0,0,0,0,20,2,0,0,11,0,0,0,1,0,1,4,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","K00003",7,2,0,3,8,7,117,0,31,10,3,81,2,0,4,0,40,69,40,4,0,3,161,20,3,1,110,0,186,50,1,9,24,34,11,0,47,0,54,64,56,1,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0
"4","K00004",0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,2,0,0,0,3,0,3,0,0,0,0,1,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","K00005",0,0,0,0,2,0,22,0,0,2,0,10,0,0,0,0,4,5,3,0,0,1,45,3,9,0,27,0,4,0,0,3,3,11,1,0,25,0,9,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"6","K00008",5,0,1,4,2,18,119,0,21,0,0,27,2,14,0,0,12,35,13,0,0,0,153,35,4,0,113,0,24,8,0,3,8,30,0,0,24,0,13,45,1,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"7","K00009",0,0,0,0,0,0,39,0,12,0,0,28,0,0,0,0,6,6,7,0,0,0,46,0,0,0,35,0,16,1,0,0,0,7,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8","K00010",0,0,0,1,5,1,62,0,68,10,5,158,1,4,4,1,105,77,16,1,0,0,92,4,2,0,32,0,107,2,1,3,7,43,14,0,63,0,6,5,1,2,0,0,0,0,0,0,0,0,1,4,0,0,0,7,0,0,0,0
"9","K00012",47,7,1,5,38,6,96,0,56,99,4,24,1,29,16,0,37,28,12,13,0,1,67,38,4,1,83,0,25,15,5,5,14,27,29,0,25,0,12,41,0,0,0,0,0,8,0,0,0,2,3,3,0,0,0,1,0,0,0,0
"10","K00013",10,1,0,2,17,5,118,0,35,10,0,35,5,1,7,0,46,31,20,4,0,4,184,28,2,0,89,1,24,7,1,4,20,21,22,0,55,0,27,35,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0
"11","K00014",19,0,0,4,13,10,89,0,9,10,11,149,6,5,11,1,167,43,14,0,0,0,88,26,2,2,79,0,39,11,2,5,18,7,20,0,55,0,9,26,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"12","K00015",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","K00016",1,0,0,4,0,16,55,1,24,1,8,133,8,6,8,0,115,130,13,8,0,1,250,35,0,0,137,1,29,10,2,13,16,15,19,0,38,0,29,28,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"14","K00018",12,0,1,3,3,5,95,0,15,3,4,106,9,24,2,0,72,55,15,1,0,1,54,12,8,1,53,0,12,4,1,4,5,8,8,0,21,0,6,15,2,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0
"15","K00019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","K00020",1,0,0,0,1,1,10,0,1,0,0,1,0,0,0,0,4,2,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","K00023",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","K00024",52,1,17,17,27,3,111,0,55,25,11,13,1,0,21,0,10,1,11,14,1,0,6,25,1,0,20,0,6,7,12,0,3,2,22,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"19","K00027",0,3,0,4,33,16,140,0,21,20,17,226,8,17,15,0,240,95,36,9,1,0,324,26,3,3,142,0,97,18,6,12,29,174,21,0,167,0,105,261,1,1,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"20","K00029",53,0,3,6,41,9,93,0,45,24,0,7,2,1,0,0,29,0,0,6,0,4,3,10,3,2,30,0,3,6,10,0,1,5,10,0,1,0,2,15,0,9,0,0,3,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0
"21","K00030",0,0,0,0,5,1,10,0,2,1,5,164,8,7,12,0,132,46,9,0,0,1,28,2,0,0,29,0,10,5,0,2,11,3,2,0,24,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"22","K00031",0,5,1,8,6,1,135,0,72,25,3,104,3,11,28,0,10,71,22,3,0,4,351,52,0,0,140,1,62,25,1,1,4,28,4,0,68,0,74,123,1,0,0,0,0,8,0,0,0,0,1,21,0,0,0,13,0,0,0,0
"23","K00033",2,0,0,0,0,0,13,0,3,4,0,8,2,0,0,0,17,6,0,6,0,0,1,2,1,0,10,0,0,0,0,1,3,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"24","K00034",0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","K00036",0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,0,5,0,0,2,0,1,1,0,0,0,12,0,2,0,1,11,3,1,13,0,27,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","K00040",1,3,2,0,0,8,38,0,24,1,0,27,3,1,0,0,15,40,7,0,0,1,153,11,4,0,77,0,27,4,2,4,6,14,3,0,19,0,16,15,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0
"27","K00041",54,1,1,1,28,11,108,0,66,8,2,44,5,12,3,4,21,24,12,1,0,0,71,9,0,0,47,2,26,7,1,0,3,13,0,0,0,0,9,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3
"28","K00042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","K00045",5,0,0,0,1,0,7,0,12,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","K00046",17,3,5,0,10,3,57,3,70,12,0,21,0,7,0,0,2,2,2,21,0,1,124,20,0,0,28,0,86,4,0,0,2,66,4,0,38,0,24,19,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0
"31","K00048",11,2,3,2,10,0,46,0,16,5,2,18,0,0,1,0,5,47,3,0,0,0,59,15,1,0,27,0,14,0,2,15,2,7,1,0,8,0,4,30,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,1,3,0,0,0
"32","K00052",21,1,4,2,13,3,162,0,61,28,8,211,3,18,21,0,205,61,3,1,0,0,299,59,23,0,97,0,57,11,4,4,35,54,14,0,47,0,18,125,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0,0
"33","K00053",25,73,0,45,16,36,288,0,98,55,4,247,8,18,7,3,233,181,37,2,7,10,541,205,8,0,374,0,199,42,2,11,9,148,5,0,146,0,34,204,3,0,0,0,0,30,26,0,0,0,23,2,0,0,0,8,0,0,0,0
"34","K00054",0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,14,1,0,2,0,0,3,0,0,1,4,0,0,0,1,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","K00055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","K00057",29,1,1,0,20,9,97,0,35,12,7,192,4,26,13,0,95,37,24,11,0,2,108,24,2,0,90,0,94,16,4,8,18,17,15,0,67,0,16,82,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,13,0,0,0,0
"37","K00058",14,10,3,11,9,12,198,0,61,56,18,246,8,28,12,1,182,99,83,3,0,1,342,55,11,0,131,0,118,15,9,9,12,45,64,0,101,0,13,57,0,0,0,0,2,10,0,0,0,0,0,7,0,0,1,27,0,0,0,0
"38","K00059",28,5,0,20,11,10,155,1,67,37,4,114,11,14,10,1,101,65,25,18,0,15,207,64,6,2,142,0,79,22,11,6,5,33,21,0,45,0,40,94,3,1,0,1,0,5,0,0,0,0,2,2,0,0,0,10,0,0,0,0
"39","K00060",1,0,0,1,0,0,3,0,9,2,0,9,0,1,0,0,0,23,3,0,0,0,75,2,0,0,31,0,2,5,0,0,18,13,0,0,11,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","K00065",0,0,0,0,3,2,9,0,4,0,0,2,0,16,0,0,0,2,2,0,0,0,5,3,1,2,4,0,0,0,0,0,0,13,1,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","K00066",2,0,0,0,0,0,0,1,1,2,0,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","K00067",17,2,0,1,17,11,101,0,28,12,2,40,6,8,0,0,32,45,11,5,0,1,111,27,3,1,66,0,27,11,1,3,14,9,15,0,12,0,6,28,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"43","K00068",0,0,0,0,0,0,4,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,8,0,0,0,13,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"44","K00073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,10,0,0,0,6,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","K00074",0,10,7,0,3,0,151,0,33,18,1,24,0,1,3,0,24,103,4,0,1,1,193,25,10,0,62,0,220,4,1,12,45,20,10,0,72,0,39,91,0,0,0,0,0,7,0,0,0,0,15,0,0,0,0,7,0,0,0,0
"46","K00075",10,1,2,3,9,2,89,1,38,23,1,61,0,1,4,0,110,32,9,4,0,3,133,17,3,0,122,0,37,8,2,7,15,45,14,0,73,0,18,31,0,0,0,0,1,2,0,0,0,0,2,3,0,0,0,8,1,0,0,0
"47","K00076",12,2,0,0,30,4,76,0,8,4,1,2,0,0,1,0,2,1,0,1,0,0,0,1,0,0,4,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","K00077",4,0,0,2,11,6,60,0,10,0,0,4,0,0,0,0,3,3,5,0,0,1,37,7,1,0,23,0,4,0,2,5,11,5,3,0,9,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","K00086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","K00087",0,0,0,0,0,2,104,0,6,14,0,22,0,2,0,0,1,22,13,0,0,0,263,66,17,0,54,0,96,1,0,0,2,72,12,0,5,0,40,36,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,3,1,0,0,0
"51","K00088",41,9,8,2,15,6,255,0,117,39,14,290,37,31,25,0,166,169,71,8,2,2,380,74,25,0,209,0,209,47,5,23,69,102,31,0,145,0,21,126,0,2,0,0,0,10,1,0,0,0,14,1,0,0,0,1,0,0,0,0
"52","K00091",0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,14,1,0,0,17,0,1,0,0,0,0,3,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"53","K00096",1,0,1,2,0,3,16,0,4,0,0,5,0,1,0,0,3,8,3,1,0,0,27,11,0,0,16,0,2,0,0,1,0,1,0,0,0,0,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","K00097",22,0,0,1,28,4,50,0,14,9,1,1,0,1,2,0,2,0,1,3,0,0,3,6,0,0,29,0,3,4,2,0,0,1,13,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"55","K00098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","K00099",11,0,0,14,26,11,156,0,50,19,2,71,3,10,5,0,52,52,22,2,1,2,143,25,8,0,114,0,60,15,11,6,12,23,25,0,107,0,32,61,7,0,0,0,0,16,0,0,0,0,0,21,0,0,0,1,0,0,0,0
"57","K00100",0,0,0,0,0,0,3,0,0,0,0,19,6,0,0,0,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","K00101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","K00102",0,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"60","K00104",0,0,0,0,1,4,22,0,7,0,0,22,0,2,0,0,1,12,6,0,0,0,15,1,0,0,6,0,1,0,0,0,0,5,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","K00108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","K00111",7,2,0,1,22,7,115,0,17,3,3,18,3,0,1,0,7,35,8,0,0,3,127,22,4,0,68,0,23,4,2,6,10,17,4,0,46,0,2,9,2,1,0,0,0,3,7,0,0,0,1,1,0,0,0,4,0,0,0,0
"63","K00112",1,0,0,0,16,1,26,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,9,4,0,0,20,0,1,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"64","K00113",3,0,0,0,10,0,33,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,1,0,0,10,0,1,3,1,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"65","K00117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","K00121",0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","K00123",1,0,0,0,0,0,2,0,5,0,18,196,3,4,18,1,174,39,6,1,0,0,20,0,0,1,41,0,4,2,0,1,4,2,10,0,27,0,4,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","K00124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","K00127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","K00128",0,0,0,2,3,7,34,0,6,3,0,39,14,1,0,0,6,14,4,0,0,1,76,7,8,0,67,0,33,6,0,3,1,49,0,0,9,0,3,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"71","K00130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","K00132",0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","K00133",29,1,4,1,22,5,150,1,24,15,7,241,7,8,12,2,116,141,36,19,0,5,240,35,10,1,177,0,37,17,1,7,14,46,18,0,49,1,33,123,3,1,0,0,0,1,0,0,0,0,1,7,0,0,0,6,0,0,0,0
"74","K00134",250,0,2,31,25,90,847,0,383,219,38,638,13,105,90,31,422,347,92,90,2,17,754,343,51,5,362,0,478,248,18,98,60,174,112,0,170,0,506,475,1,3,0,0,2,136,3,0,0,0,1,12,0,0,1,124,11,0,0,0
"75","K00135",0,0,0,0,0,0,5,0,0,2,0,5,0,1,0,0,4,0,4,5,1,0,2,0,0,0,10,0,0,0,0,4,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","K00137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","K00138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","K00140",0,0,0,0,0,0,9,0,2,2,12,148,4,17,16,1,187,48,8,5,0,0,19,1,0,0,23,1,5,1,0,1,2,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"79","K00145",35,4,1,5,14,7,131,0,52,25,6,120,4,10,19,0,125,59,18,17,0,0,103,23,1,0,69,0,39,11,1,3,17,24,14,0,42,0,17,49,1,0,0,0,0,3,0,0,0,0,1,2,0,0,0,2,0,0,0,0
"80","K00146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","K00147",15,4,1,0,9,9,159,0,39,55,4,60,6,6,2,0,50,84,5,1,1,0,199,20,0,0,49,0,45,16,1,7,8,63,13,0,32,0,2,31,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0
"82","K00150",1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,8,1,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","K00158",7,0,0,0,0,3,27,4,1,2,0,1,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","K00161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,1,7,5,2,7,0,33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","K00162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","K00163",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","K00164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","K00169",0,12,3,5,12,2,99,0,83,31,8,210,17,16,24,1,189,64,15,1,0,0,165,31,14,0,130,0,38,32,2,12,10,10,6,0,34,0,19,21,3,1,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"89","K00170",0,10,5,6,0,1,21,0,70,14,22,246,9,20,16,0,130,57,30,6,0,7,101,46,1,0,123,0,34,1,9,3,19,40,11,0,49,0,9,19,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0
"90","K00171",0,0,0,2,0,0,14,0,24,0,1,53,4,1,0,0,46,9,0,0,0,0,11,0,0,0,28,0,1,2,0,0,1,0,1,0,6,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","K00172",0,2,2,1,2,3,25,0,20,16,4,121,5,5,8,0,104,27,12,3,0,0,82,10,1,0,55,0,18,7,0,4,3,1,2,0,17,0,6,16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"92","K00174",102,6,0,7,61,6,198,0,93,50,0,46,0,3,23,0,38,12,3,10,0,0,77,24,1,7,27,1,7,14,5,1,3,44,44,0,22,0,43,43,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0
"93","K00175",45,3,0,10,33,6,147,0,61,95,3,7,12,6,9,0,16,12,1,18,0,0,76,12,7,0,24,0,13,23,18,0,10,37,51,0,21,1,28,36,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","K00176",1,0,0,1,5,0,5,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,9,1,0,0,1,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","K00177",11,0,0,0,9,4,33,0,2,0,2,7,1,0,3,0,3,31,0,1,0,0,29,7,5,0,21,0,1,1,0,0,6,20,4,0,5,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"96","K00179",3,1,2,5,16,2,47,0,40,20,1,39,0,15,8,0,107,87,24,1,0,2,175,14,66,0,102,0,35,27,1,6,8,32,24,0,92,0,16,33,0,0,0,0,0,4,0,0,0,0,8,4,0,0,0,1,0,0,0,0
"97","K00180",3,0,2,0,10,1,49,0,30,13,0,36,0,1,0,0,58,12,5,4,0,2,100,4,2,0,50,0,9,8,1,1,13,6,9,0,109,0,17,36,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"98","K00183",0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,13,0,0,0,10,0,0,1,0,0,9,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"99","K00184",0,0,0,0,0,4,2,0,0,0,0,4,0,0,0,0,10,0,0,1,0,13,17,0,0,0,21,0,0,5,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","K00185",5,0,0,1,0,0,7,1,3,0,0,3,0,5,6,0,60,5,0,0,0,0,15,1,0,0,22,0,4,0,0,4,8,2,9,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","K00194",0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,88,4,0,0,11,0,6,0,0,1,0,32,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","K00196",0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,12,0,0,0,10,0,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","K00197",0,0,0,0,3,0,55,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,103,0,3,0,44,0,4,1,0,2,0,2,0,0,2,0,0,8,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"104","K00198",0,0,0,0,4,4,116,0,3,0,0,63,2,1,0,0,9,46,2,0,0,0,193,16,4,0,58,0,65,0,0,0,0,24,49,0,11,0,1,11,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0
"105","K00208",19,0,0,0,6,0,48,0,7,20,1,1,2,0,0,0,1,0,2,0,0,0,4,9,0,2,5,0,0,0,3,2,4,0,1,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
