OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu1687,Bacteria,1,Firmicutes,0.71,Erysipelotrichia,0.58,Erysipelotrichales,0.58,Erysipelotrichaceae,0.58,Holdemania,0.43
Otu1688,Bacteria,1,Proteobacteria,0.25,Gammaproteobacteria,0.2,Cellvibrionales,0.17,Cellvibrionaceae,0.15,Exilibacterium,0.09
Otu1689,Bacteria,0.98,Firmicutes,0.72,Erysipelotrichia,0.53,Erysipelotrichales,0.53,Erysipelotrichaceae,0.53,Bulleidia,0.2
Otu1690,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Peptostreptococcaceae,1,Paraclostridium,1
Otu1691,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.99,Lachnospiracea_incertae_sedis,0.25
Otu1692,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Clostridium XlVa,0.38
Otu1693,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.97,Clostridium IV,0.29
Otu1694,Bacteria,1,Synergistetes,0.26,Synergistia,0.26,Synergistales,0.26,Synergistaceae,0.26,Jonquetella,0.26
Otu1695,Bacteria,1,Firmicutes,0.88,Clostridia,0.85,Clostridiales,0.85,Clostridiales_Incertae Sedis XIII,0.23,Anaerovorax,0.12
Otu1696,Bacteria,1,Firmicutes,0.88,Clostridia,0.78,Clostridiales,0.78,Clostridiales_Incertae Sedis XII,0.33,Guggenheimella,0.33
Otu1697,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Bacteroidaceae,0.88,Bacteroides,0.85
Otu1698,Bacteria,1,Firmicutes,1,Negativicutes,1,Veillonellales,1,Veillonellaceae,1,Allisonella,1
Otu1699,Bacteria,1,Firmicutes,0.81,Clostridia,0.71,Clostridiales,0.69,Ruminococcaceae,0.57,Tepidibaculum,0.27
Otu1700,Bacteria,1,Firmicutes,0.57,Clostridia,0.45,Clostridiales,0.44,Clostridiales_Incertae Sedis XII,0.14,Guggenheimella,0.14
Otu1701,Bacteria,1,Firmicutes,0.88,Clostridia,0.82,Clostridiales,0.82,Peptostreptococcaceae,0.22,Intestinibacter,0.09
Otu1702,Bacteria,1,Firmicutes,0.84,Erysipelotrichia,0.47,Erysipelotrichales,0.47,Erysipelotrichaceae,0.47,Holdemania,0.29
Otu1703,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Coprococcus,1
Otu1704,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.95,Bacteroidales,0.95,Muribaculaceae,0.8,Muribaculum,0.4
Otu1705,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.98,Fusicatenibacter,0.2
Otu1706,Bacteria,0.99,Firmicutes,0.83,Erysipelotrichia,0.4,Erysipelotrichales,0.4,Erysipelotrichaceae,0.34,Bulleidia,0.17
Otu1707,Bacteria,1,Firmicutes,0.97,Clostridia,0.89,Clostridiales,0.86,Clostridiales_Incertae Sedis XIII,0.11,Anaerovorax,0.11
Otu1708,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.99,Anaerosporobacter,0.19
Otu1709,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.86,Clostridium IV,0.26
Otu1710,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Enterobacterales,1,Enterobacteriaceae,0.74,Raoultella,0.6
Otu1711,Bacteria,1,Firmicutes,0.78,Clostridia,0.63,Clostridiales,0.63,Ruminococcaceae,0.44,Colidextribacter,0.39
Otu1712,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Rikenellaceae,1,Alistipes,1
Otu1713,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Anaerobutyricum,1
