seqid,mouse_type,polysacc,replicate,S3_R1_path,S3_R2_path
psac02.041,JE,amylopectin,1,20211222_JvEPolysaccharideScreen/20210908-JE-amylopectin-1_S75_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-amylopectin-1_S75_L001_R2_001.fastq.gz
psac02.042,JE,amylopectin,2,20211222_JvEPolysaccharideScreen/20210908-JE-amylopectin-2_S76_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-amylopectin-2_S76_L001_R2_001.fastq.gz
psac02.043,JE,apple_pectin,1,20211222_JvEPolysaccharideScreen/20210908-JE-apple-pectin-1_S69_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-apple-pectin-1_S69_L001_R2_001.fastq.gz
psac02.044,JE,apple_pectin,2,20211222_JvEPolysaccharideScreen/20210908-JE-apple-pectin-2_S70_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-apple-pectin-2_S70_L001_R2_001.fastq.gz
psac02.045,JE,arabinan,1,20211222_JvEPolysaccharideScreen/20210908-JE-arabinan-1_S39_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-arabinan-1_S39_L001_R2_001.fastq.gz
psac02.046,JE,arabinan,2,20211222_JvEPolysaccharideScreen/20210908-JE-arabinan-2_S40_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-arabinan-2_S40_L001_R2_001.fastq.gz
psac02.047,JE,arabinogalactan,1,20211222_JvEPolysaccharideScreen/20210908-JE-arabino-galactan-1_S63_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-arabino-galactan-1_S63_L001_R2_001.fastq.gz
psac02.048,JE,arabinogalactan,2,20211222_JvEPolysaccharideScreen/20210908-JE-arabino-galactan-2_S64_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-arabino-galactan-2_S64_L001_R2_001.fastq.gz
psac02.049,JE,cellobiose,1,20211222_JvEPolysaccharideScreen/20210908-JE-cellobiose-1_S51_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-cellobiose-1_S51_L001_R2_001.fastq.gz
psac02.050,JE,cellobiose,2,20211222_JvEPolysaccharideScreen/20210908-JE-cellobiose-2_S52_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-cellobiose-2_S52_L001_R2_001.fastq.gz
psac02.051,JE,glucose,1,20211222_JvEPolysaccharideScreen/20210908-JE-glucose-1_S33_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-glucose-1_S33_L001_R2_001.fastq.gz
psac02.052,JE,glucose,2,20211222_JvEPolysaccharideScreen/20210908-JE-glucose-2_S34_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-glucose-2_S34_L001_R2_001.fastq.gz
psac02.053,JE,H20,1,20211222_JvEPolysaccharideScreen/20210908-JE-H20-1_S21_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-H20-1_S21_L001_R2_001.fastq.gz
psac02.054,JE,H20,2,20211222_JvEPolysaccharideScreen/20210908-JE-H20-2_S22_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-H20-2_S22_L001_R2_001.fastq.gz
psac02.055,JE,inulin,1,20211222_JvEPolysaccharideScreen/20210908-JE-inulin-1_S45_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-inulin-1_S45_L001_R2_001.fastq.gz
psac02.056,JE,inulin,2,20211222_JvEPolysaccharideScreen/20210908-JE-inulin-2_S46_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-inulin-2_S46_L001_R2_001.fastq.gz
psac02.057,JE,mGAM,1,20211222_JvEPolysaccharideScreen/20210908-JE-mGAM-1_S27_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-mGAM-1_S27_L001_R2_001.fastq.gz
psac02.058,JE,mGAM,2,20211222_JvEPolysaccharideScreen/20210908-JE-mGAM-2_S28_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-mGAM-2_S28_L001_R2_001.fastq.gz
psac02.059,JE,mucin,1,20211222_JvEPolysaccharideScreen/20210908-JE-mucin-1_S57_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-mucin-1_S57_L001_R2_001.fastq.gz
psac02.060,JE,mucin,2,20211222_JvEPolysaccharideScreen/20210908-JE-mucin-2_S58_L001_R1_001.fastq.gz,20211222_JvEPolysaccharideScreen/20210908-JE-mucin-2_S58_L001_R2_001.fastq.gz
