sample,cage,mark,pre_weight,post_weight
jxe.081,JC1,none,,
jxe.082,JC1,black,,
jxe.083,JC2,red,,
jxe.084,JC2,green,,
jxe.085,EC1,none,,
jxe.086,EC1,black,,
jxe.087,EC2,red,,
jxe.088,EC2,green,,
jxe.089,JE1,none,,
jxe.090,JE1,green,,
jxe.091,JE2,black,,
jxe.092,JE2,red,,
jxe.093,JE3,red,,
jxe.094,JE3,black,,
jxe.095,JE4,green,,
jxe.096,JE4,none,,
