sample,cage,mark,pre_weight,post_weight
jxe.209,JC1,none,,
jxe.210,JC1,black,,
jxe.211,JC2,red,,
jxe.212,JC2,green,,
jxe.213,EC1,none,,
jxe.214,EC1,black,,
jxe.215,EC2,red,,
jxe.216,EC2,green,,
jxe.217,JE1,none,,
jxe.218,JE1,green,,
jxe.219,JE2,black,,
jxe.220,JE2,red,,
jxe.221,JE3,red,,
jxe.222,JE3,black,,
jxe.223,JE4,green,,
jxe.224,JE4,none,,
