sample,cage,mark,pre_weight,post_weight
jxe.177,JC1,none,,
jxe.178,JC1,black,,
jxe.179,JC2,red,,
jxe.180,JC2,green,,
jxe.181,EC1,none,,
jxe.182,EC1,black,,
jxe.183,EC2,red,,
jxe.184,EC2,green,,
jxe.185,JE1,none,,
jxe.186,JE1,green,,
jxe.187,JE2,black,,
jxe.188,JE2,red,,
jxe.189,JE3,red,,
jxe.190,JE3,black,,
jxe.191,JE4,green,,
jxe.192,JE4,none,,
