sample,cage,mark,pre_weight,post_weight
jxe.033,JC1,none,,
jxe.034,JC1,black,,
jxe.035,JC2,red,,
jxe.036,JC2,green,,
jxe.037,EC1,none,,
jxe.038,EC1,black,,
jxe.039,EC2,red,,
jxe.040,EC2,green,,
jxe.041,JE1,none,,
jxe.042,JE1,green,,
jxe.043,JE2,black,,
jxe.044,JE2,red,,
jxe.045,JE3,red,,
jxe.046,JE3,black,,
jxe.047,JE4,green,,
jxe.048,JE4,none,,
