sample,cage,mark,pre_weight,post_weight
jxe.049,JC1,none,,
jxe.050,JC1,black,,
jxe.051,JC2,red,,
jxe.052,JC2,green,,
jxe.053,EC1,none,,
jxe.054,EC1,black,,
jxe.055,EC2,red,,
jxe.056,EC2,green,,
jxe.057,JE1,none,,
jxe.058,JE1,green,,
jxe.059,JE2,black,,
jxe.060,JE2,red,,
jxe.061,JE3,red,,
jxe.062,JE3,black,,
jxe.063,JE4,green,,
jxe.064,JE4,none,,
