sample,cage,mark,pre_weight,post_weight
jxe.113,JC1,none,,
jxe.114,JC1,black,,
jxe.115,JC2,red,,
jxe.116,JC2,green,,
jxe.117,EC1,none,,
jxe.118,EC1,black,,
jxe.119,EC2,red,,
jxe.120,EC2,green,,
jxe.121,JE1,none,,
jxe.122,JE1,green,,
jxe.123,JE2,black,,
jxe.124,JE2,red,,
jxe.125,JE3,red,,
jxe.126,JE3,black,,
jxe.127,JE4,green,,
jxe.128,JE4,none,,
