sample,cage,mark,pre_weight,post_weight
jxe.193,JC1,none,,
jxe.194,JC1,black,,
jxe.195,JC2,red,,
jxe.196,JC2,green,,
jxe.197,EC1,none,,
jxe.198,EC1,black,,
jxe.199,EC2,red,,
jxe.200,EC2,green,,
jxe.201,JE1,none,,
jxe.202,JE1,green,,
jxe.203,JE2,black,,
jxe.204,JE2,red,,
jxe.205,JE3,red,,
jxe.206,JE3,black,,
jxe.207,JE4,green,,
jxe.208,JE4,none,,
