sample,cage,mark,pre_weight,post_weight
jxe.065,JC1,none,,
jxe.066,JC1,black,,
jxe.067,JC2,red,,
jxe.068,JC2,green,,
jxe.069,EC1,none,,
jxe.070,EC1,black,,
jxe.071,EC2,red,,
jxe.072,EC2,green,,
jxe.073,JE1,none,,
jxe.074,JE1,green,,
jxe.075,JE2,black,,
jxe.076,JE2,red,,
jxe.077,JE3,red,,
jxe.078,JE3,black,,
jxe.079,JE4,green,,
jxe.080,JE4,none,,
