sample,cage,mark,pre_weight,post_weight
jxe.097,JC1,none,,
jxe.098,JC1,black,,
jxe.099,JC2,red,,
jxe.100,JC2,green,,
jxe.101,EC1,none,,
jxe.102,EC1,black,,
jxe.103,EC2,red,,
jxe.104,EC2,green,,
jxe.105,JE1,none,,
jxe.106,JE1,green,,
jxe.107,JE2,black,,
jxe.108,JE2,red,,
jxe.109,JE3,red,,
jxe.110,JE3,black,,
jxe.111,JE4,green,,
jxe.112,JE4,none,,
