sample,cage,mark,pre_weight,post_weight
jxe.129,JC1,none,,
jxe.130,JC1,black,,
jxe.131,JC2,red,,
jxe.132,JC2,green,,
jxe.133,EC1,none,,
jxe.134,EC1,black,,
jxe.135,EC2,red,,
jxe.136,EC2,green,,
jxe.137,JE1,none,,
jxe.138,JE1,green,,
jxe.139,JE2,black,,
jxe.140,JE2,red,,
jxe.141,JE3,red,,
jxe.142,JE3,black,,
jxe.143,JE4,green,,
jxe.144,JE4,none,,
