sample,cage,mark,pre_weight,post_weight
jxe.017,J1,none,,
jxe.018,J1,black,,
jxe.019,J1,red,,
jxe.020,J1,green,,
jxe.021,J2,none,,
jxe.022,J2,black,,
jxe.023,J2,red,,
jxe.024,J2,green,,
jxe.025,E1,none,,
jxe.026,E1,black,,
jxe.027,E1,red,,
jxe.028,E1,green,,
jxe.029,E2,none,,
jxe.030,E2,black,,
jxe.031,E2,red,,
jxe.032,E2,green,,
