sample,cage,mark,pre_weight,post_weight
jxe.161,JC1,none,,
jxe.162,JC1,black,,
jxe.163,JC2,red,,
jxe.164,JC2,green,,
jxe.165,EC1,none,,
jxe.166,EC1,black,,
jxe.167,EC2,red,,
jxe.168,EC2,green,,
jxe.169,JE1,none,,
jxe.170,JE1,green,,
jxe.171,JE2,black,,
jxe.172,JE2,red,,
jxe.173,JE3,red,,
jxe.174,JE3,black,,
jxe.175,JE4,green,,
jxe.176,JE4,none,,
