sample,cage,mark,pre_weight,post_weight
jxe.145,JC1,none,,
jxe.146,JC1,black,,
jxe.147,JC2,red,,
jxe.148,JC2,green,,
jxe.149,EC1,none,,
jxe.150,EC1,black,,
jxe.151,EC2,red,,
jxe.152,EC2,green,,
jxe.153,JE1,none,,
jxe.154,JE1,green,,
jxe.155,JE2,black,,
jxe.156,JE2,red,,
jxe.157,JE3,red,,
jxe.158,JE3,black,,
jxe.159,JE4,green,,
jxe.160,JE4,none,,
