"","X.1","X","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"12",12,12,"Otu1","Otu147",0.991066756736933,0.00186203437501718,0.991146372525616,0.986313868613139,2.55252437203312,0.010695,0.0596,"J",24589,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu147_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu147","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"13",13,13,"Otu1","Otu148",0.985336836275472,0.00191049818893219,0.985188509874327,0.999114652501107,-7.21163532394391,0.00000000000055284,0.0000000000205,"J",2570,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu148_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu148","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"14",14,14,"Otu1","Otu156",0.9987873308324,0.000700326137102117,0.998618784530387,1,-1.73157776549399,0.083349,0.263,"J",8522,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu156_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu156","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"15",15,15,"Otu1","Otu157",0.986825780618984,0.00221095923975046,0.986480396575034,0.986480396575034,0.156214568654321,0.87586,0.912,"J",18502,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu157_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu157","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","unchanged","depleted"
"16",16,16,"Otu1","Otu168",0.995924177371314,0.000976622397509322,0.996108896824,1,-4.17338639691315,0.000030011,0.000353,"J",7625,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu168_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu168","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"17",17,17,"Otu1","Otu169",0.99441420277389,0.00135104343710235,0.994523048836148,0.997725204731574,-2.45069985668674,0.014258,0.0752,"J",17068,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu169_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu169","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"18",18,18,"Otu1","Otu17",0.914378590283335,0.00568871431832456,0.91440743609605,0.935030395136778,-3.63031147247439,0.00028308,0.00264,"J",252739,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu17_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu17","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"19",19,19,"Otu1","Otu178",0.997488644125637,0.000949802861895893,0.997474114764381,0.998164295548417,-0.711359640916705,0.47686,0.683,"J",11305,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu178_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu178","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"20",20,20,"Otu1","Otu180",0.993761588264244,0.00133827312592961,0.993610223642173,0.991308325709058,1.83315536093007,0.066779,0.225,"J",27814,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu180_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu180","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"21",21,21,"Otu1","Otu192",0.988668119766987,0.00214749895713842,0.988229968311453,0.991880920162382,-1.49606610271677,0.13464,0.361,"J",27678,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu192_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu192","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
