"","X.1","X","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"481",481,481,"Otu11","Otu55",0.989268839405085,0.00453358807366321,0.989228007181329,1,-2.36703476816855,0.017931,0.109,"E",8248,166569,FALSE,"Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Otu55_Eggerthellales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#E41A1C'>Otu55","<b style='color:#377EB8'>Otu11","Recipient Taxa","Donor Taxa","depleted","enriched"
"482",482,482,"Otu11","Otu56",0.981883053073688,0.00584960886703753,0.981574539363484,0.861423220973783,20.5928011321739,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031842,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000554,"E",8729,166569,TRUE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu56_Clostridiales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#828382'>Otu56","<b style='color:#377EB8'>Otu11","Shared Taxa","Donor Taxa","unchanged","enriched"
"483",483,483,"Otu11","Otu6",0.932318446714596,0.00721668671882321,0.932981322682289,0.942537313432836,-1.41600531052377,0.15677,0.497,"E",235637,166569,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Otu6_Bacteroidales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#377EB8'>Otu6","<b style='color:#377EB8'>Otu11","Donor Taxa","Donor Taxa","enriched","enriched"
"484",484,484,"Otu11","Otu63",0.993961979360653,0.0031261447563819,0.994350282485876,1,-1.93145906856046,0.053426,0.248,"E",5606,166569,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu63_Clostridiales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#377EB8'>Otu63","<b style='color:#377EB8'>Otu11","Donor Taxa","Donor Taxa","unchanged","enriched"
"485",485,485,"Otu11","Otu64",0.993007415079162,0.00320785793210702,0.992647058823529,1,-2.17982998899371,0.02927,0.158,"E",3532,166569,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu64_Bacteroidales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#828382'>Otu64","<b style='color:#377EB8'>Otu11","Shared Taxa","Donor Taxa","enriched","enriched"
"486",486,486,"Otu11","Otu65",0.99488129270093,0.0028824860949521,0.996219281663516,1,-1.77579600749285,0.075767,0.316,"E",10168,166569,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu65_Clostridiales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#377EB8'>Otu65","<b style='color:#377EB8'>Otu11","Donor Taxa","Donor Taxa","unchanged","enriched"
"487",487,487,"Otu11","Otu66",0.995364817199652,0.00233841888592263,0.996197718631179,0.99236641221374,1.2822360458866,0.19976,0.572,"E",8783,166569,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae","Otu66_Bacteroidales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#377EB8'>Otu66","<b style='color:#377EB8'>Otu11","Donor Taxa","Donor Taxa","enriched","enriched"
"488",488,488,"Otu11","Otu68",0.99817478853699,0.00162058574716296,0.998046875,0.994117647058824,2.50350312241678,0.012297,0.0807,"E",515,166569,FALSE,"Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Otu68_Acholeplasmatales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#828382'>Otu68","<b style='color:#377EB8'>Otu11","Shared Taxa","Donor Taxa","enriched","enriched"
"489",489,489,"Otu11","Otu69",0.991940377759601,0.00360394522436733,0.992633517495396,0.962049335863378,8.29397785907534,0.00000000000000010952,0.00000000000000488,"E",29114,166569,TRUE,"Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Otu69_Sphingobacteriales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#377EB8'>Otu69","<b style='color:#377EB8'>Otu11","Donor Taxa","Donor Taxa","unchanged","enriched"
"490",490,490,"Otu11","Otu7",0.981356036839105,0.00541170239337584,0.981666666666667,0.937391304347826,8.12401150238674,0.00000000000000045102,0.0000000000000196,"E",19373,166569,TRUE,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Otu7_Erysipelotrichales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#377EB8'>Otu7","<b style='color:#377EB8'>Otu11","Donor Taxa","Donor Taxa","enriched","enriched"
