OTU,OTUType,baseMean,log2FoldChange,emergence,OTUcolor
Otu73,Shared Taxa,1.92150130447444,-0.728785267932343,unchanged,<b style='color:#828382'>Otu73
Otu74,Shared Taxa,1.27236276762266,-0.000566765412916753,unchanged,<b style='color:#828382'>Otu74
Otu75,Donor Taxa,1.85756445935631,0.0797210597994183,unchanged,<b style='color:#377EB8'>Otu75
Otu77,Shared Taxa,2.03583024911353,1.81944701098037,enriched,<b style='color:#828382'>Otu77
Otu78,Shared Taxa,1.89713546550224,1.68040706890436,enriched,<b style='color:#828382'>Otu78
Otu79,Recipient Taxa,1.57197451499158,-1.31994144366143,depleted,<b style='color:#E41A1C'>Otu79
Otu8,Recipient Taxa,20.6844125427456,-5.53012598800452,depleted,<b style='color:#E41A1C'>Otu8
Otu80,Shared Taxa,1.81741504725261,0.17607427101989,unchanged,<b style='color:#828382'>Otu80
Otu81,Shared Taxa,2.30821739997973,1.44320797678034,enriched,<b style='color:#828382'>Otu81
Otu82,Donor Taxa,1.73267459435057,0.527062855795262,unchanged,<b style='color:#377EB8'>Otu82
Otu83,Donor Taxa,2.47333725515968,0.250421824082477,unchanged,<b style='color:#377EB8'>Otu83
Otu84,Shared Taxa,1.52431158166556,0.0951905482483558,unchanged,<b style='color:#828382'>Otu84
Otu85,Shared Taxa,2.35854038120389,2.0078731493104,enriched,<b style='color:#828382'>Otu85
Otu86,Shared Taxa,1.47928291519977,0.183717195744544,unchanged,<b style='color:#828382'>Otu86
Otu87,Shared Taxa,1.46669061631304,0.711674103637015,unchanged,<b style='color:#828382'>Otu87
Otu88,Shared Taxa,2.04531328009424,-1.83557429600991,depleted,<b style='color:#828382'>Otu88
Otu89,Donor Taxa,1.87626912856632,0.0172334823123783,unchanged,<b style='color:#377EB8'>Otu89
Otu90,Recipient Taxa,1.70673739253465,-1.77169576749467,depleted,<b style='color:#E41A1C'>Otu90
Otu91,Recipient Taxa,2.0903867649465,-2.02512910979307,depleted,<b style='color:#E41A1C'>Otu91
Otu92,Donor Taxa,1.82537451839286,-0.000566250517217934,unchanged,<b style='color:#377EB8'>Otu92
Otu93,Shared Taxa,1.82196252915548,-1.53295074238576,depleted,<b style='color:#828382'>Otu93
Otu94,Recipient Taxa,2.06375506316145,-1.5973050069815,depleted,<b style='color:#E41A1C'>Otu94
Otu96,Shared Taxa,2.3214840636169,0.383219533532217,unchanged,<b style='color:#828382'>Otu96
Otu98,Shared Taxa,1.71938189306248,0.608042411297401,unchanged,<b style='color:#828382'>Otu98
Otu99,Recipient Taxa,1.8070729516738,-1.74084057008498,depleted,<b style='color:#E41A1C'>Otu99
