OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu574,Bacteria,1.0000,Firmicutes,0.9500,Clostridia,0.9500,Clostridiales,0.9500,Lachnospiraceae,0.7700,Catonella,0.3000
Otu573,Bacteria,1.0000,Firmicutes,0.8400,Bacilli,0.4200,Lactobacillales,0.4200,Aerococcaceae,0.3400,Facklamia,0.3400
Otu575,Bacteria,1.0000,Firmicutes,0.4700,Clostridia,0.4700,Clostridiales,0.4700,Muribaculaceae,0.2400,Duncaniella,0.2300
Otu577,Bacteria,1.0000,Proteobacteria,1.0000,Alphaproteobacteria,1.0000,Rhizobiales,1.0000,Methylobacteriaceae,1.0000,Methylobacterium,0.9900
Otu580,Bacteria,0.9700,Firmicutes,0.3500,Bacilli,0.2500,Bacillales,0.2200,Streptosporangiaceae,0.1200,Planotetraspora,0.0800
Otu581,Bacteria,0.8300,Firmicutes,0.4500,Bacilli,0.3900,Bacillales,0.3900,Bacillaceae_2,0.2300,Natribacillus,0.1700
Otu586,Bacteria,0.7500,Firmicutes,0.3200,Bacilli,0.2400,Bacillales,0.2200,Methanobacteriaceae,0.2200,Methanobrevibacter,0.2200
Otu579,Bacteria,1.0000,Proteobacteria,1.0000,Gammaproteobacteria,1.0000,Pseudomonadales,0.9900,Moraxellaceae,0.9900,Acinetobacter,0.9900
Otu582,Bacteria,1.0000,Firmicutes,0.8500,Clostridia,0.8500,Clostridiales,0.8500,Vallitaleaceae,0.4300,Vallitalea,0.4300
Otu583,Bacteria,1.0000,Firmicutes,0.6000,Clostridia,0.6000,Clostridiales,0.6000,Ruminococcaceae,0.5600,Sporobacter,0.2500
Otu584,Bacteria,0.8600,Bacteroidetes,0.8300,Bacteroidia,0.8100,Bacteroidales,0.8100,Odoribacteraceae,0.4700,Odoribacter,0.4700
Otu587,Bacteria,1.0000,Bacteroidetes,0.9300,Bacteroidia,0.8400,Bacteroidales,0.8400,Prolixibacteraceae,0.8300,Mangrovibacterium,0.6700
Otu585,Bacteria,1.0000,Firmicutes,1.0000,Erysipelotrichia,1.0000,Erysipelotrichales,1.0000,Erysipelotrichaceae,1.0000,Kandleria,0.4100
Otu588,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.5500,Bacteroidales,0.5500,Prevotellaceae,0.4700,Emticicia,0.4500
Otu589,Bacteria,1.0000,Bacteroidetes,0.9800,Cytophagia,0.9600,Cytophagales,0.9600,Cytophagaceae,0.8100,Cytophaga,0.5400
Otu593,Bacteria,0.9800,Firmicutes,0.7200,Clostridia,0.4500,Clostridiales,0.4500,Lachnospiraceae,0.4300,Howardella,0.3300
Otu592,Bacteria,1.0000,Bacteroidetes,0.6200,Erysipelotrichia,0.3600,Erysipelotrichales,0.3600,Erysipelotrichaceae,0.3600,Faecalicoccus,0.3600
Otu590,Bacteria,1.0000,Proteobacteria,0.8100,Betaproteobacteria,0.4900,Neisseriales,0.2500,Neisseriaceae,0.2300,Alysiella,0.2300
Otu594,Bacteria,1.0000,Bacteroidetes,0.9800,Bacteroidia,0.9600,Bacteroidales,0.9600,Dysgonomonadaceae,0.7400,Dysgonomonas,0.7300
Otu591,Bacteria,1.0000,Firmicutes,0.7800,Bacilli,0.7400,Bacillales,0.7400,Bacillales_Incertae_Sedis_X,0.3100,Thermicanus,0.3100
