     971 20230816-E-1-r1_R1.fastq.gz
    1058 20230816-E-1-r1_R2.fastq.gz
    1271 20230816-E-1-r2_R1.fastq.gz
    1544 20230816-E-1-r2_R2.fastq.gz
     961 20230816-E-2-r1_R1.fastq.gz
    1148 20230816-E-2-r1_R2.fastq.gz
    1262 20230816-E-2-r2_R1.fastq.gz
    1722 20230816-E-2-r2_R2.fastq.gz
    8333 20230816-E-3-r1_R1.fastq.gz
    9768 20230816-E-3-r1_R2.fastq.gz
   17683 20230816-E-3-r2_R1.fastq.gz
   21730 20230816-E-3-r2_R2.fastq.gz
    6535 20230816-E-4-r1_R1.fastq.gz
    8657 20230816-E-4-r1_R2.fastq.gz
    9423 20230816-E-4-r2_R1.fastq.gz
   13027 20230816-E-4-r2_R2.fastq.gz
    3865 20230816-J-1-r1_R1.fastq.gz
    4229 20230816-J-1-r1_R2.fastq.gz
    7848 20230816-J-1-r2_R1.fastq.gz
    9175 20230816-J-1-r2_R2.fastq.gz
    7005 20230816-J-2-r1_R1.fastq.gz
    7978 20230816-J-2-r1_R2.fastq.gz
    6936 20230816-J-2-r2_R1.fastq.gz
    7909 20230816-J-2-r2_R2.fastq.gz
    2535 20230816-J-3-r1_R1.fastq.gz
    3387 20230816-J-3-r1_R2.fastq.gz
    4105 20230816-J-3-r2_R1.fastq.gz
    6317 20230816-J-3-r2_R2.fastq.gz
   11536 20230816-J-4-r1_R1.fastq.gz
   13507 20230816-J-4-r1_R2.fastq.gz
   10123 20230816-J-4-r2_R1.fastq.gz
   11135 20230816-J-4-r2_R2.fastq.gz
    3943 20230816-JEE-1-r1_R1.fastq.gz
    5546 20230816-JEE-1-r1_R2.fastq.gz
    3259 20230816-JEE-1-r2_R1.fastq.gz
    4231 20230816-JEE-1-r2_R2.fastq.gz
      15 20230816-JEE-2-r1_R1.fastq.gz
      14 20230816-JEE-2-r1_R2.fastq.gz
       7 20230816-JEE-2-r2_R1.fastq.gz
      10 20230816-JEE-2-r2_R2.fastq.gz
    1061 20230816-JEE-3-r1_R1.fastq.gz
    1174 20230816-JEE-3-r1_R2.fastq.gz
    1393 20230816-JEE-3-r2_R1.fastq.gz
    1913 20230816-JEE-3-r2_R2.fastq.gz
   10870 20230816-JEE-4-r1_R1.fastq.gz
   14547 20230816-JEE-4-r1_R2.fastq.gz
   10634 20230816-JEE-4-r2_R1.fastq.gz
   13560 20230816-JEE-4-r2_R2.fastq.gz
    8097 20230816-JEJ-1-r1_R1.fastq.gz
   11395 20230816-JEJ-1-r1_R2.fastq.gz
    2488 20230816-JEJ-1-r2_R1.fastq.gz
    3493 20230816-JEJ-1-r2_R2.fastq.gz
    4896 20230816-JEJ-2-r1_R1.fastq.gz
    5957 20230816-JEJ-2-r1_R2.fastq.gz
    4069 20230816-JEJ-2-r2_R1.fastq.gz
    5305 20230816-JEJ-2-r2_R2.fastq.gz
     130 20230816-JEJ-3-r1_R1.fastq.gz
     151 20230816-JEJ-3-r1_R2.fastq.gz
     263 20230816-JEJ-3-r2_R1.fastq.gz
     336 20230816-JEJ-3-r2_R2.fastq.gz
   25338 20230816-JEJ-4-r1_R1.fastq.gz
   29646 20230816-JEJ-4-r1_R2.fastq.gz
   19477 20230816-JEJ-4-r2_R1.fastq.gz
   22588 20230816-JEJ-4-r2_R2.fastq.gz
  438489 total
