seqid,ZOTU,count,rel_ab,spike_count,abs_ab,mouse_type,polysacc,replicate,order,family,genus
psac02.028,Otu1316,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1928,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1761,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1673,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1463,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1620,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1562,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu2190,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu2193,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1644,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1073,0,0,7893,0,JC,arabinogalactan,2,Clostridiales,Lachnospiraceae,Falcatimonas
psac02.028,Otu935,0,0,7893,0,JC,arabinogalactan,2,Lactobacillales,Streptococcaceae,Streptococcus
psac02.028,Otu1892,0,0,7893,0,JC,arabinogalactan,2,Mycobacteriales,Corynebacteriaceae,Corynebacterium
psac02.028,Otu2064,0,0,7893,0,JC,arabinogalactan,2,Mycobacteriales,Corynebacteriaceae,Corynebacterium
psac02.028,Otu1980,0,0,7893,0,JC,arabinogalactan,2,Clostridiales,Peptostreptococcaceae,Paeniclostridium
psac02.028,Otu1591,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu2041,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1979,0,0,7893,0,JC,arabinogalactan,2,Enterobacterales,Erwiniaceae,Mixta
psac02.028,Otu1799,0,0,7893,0,JC,arabinogalactan,2,Micrococcales,Micrococcaceae,Micrococcus
psac02.028,Otu1784,0,0,7893,0,JC,arabinogalactan,2,Neisseriales,Neisseriaceae,Neisseria
psac02.028,Otu2046,0,0,7893,0,JC,arabinogalactan,2,Flavobacteriales,Weeksellaceae,Chryseobacterium
psac02.028,Otu2181,0,0,7893,0,JC,arabinogalactan,2,Enterobacterales,Enterobacteriaceae,Klebsiella
psac02.028,Otu1809,0,0,7893,0,JC,arabinogalactan,2,Enterobacterales,Pectobacteriaceae,Pectobacterium
psac02.028,Otu1625,0,0,7893,0,JC,arabinogalactan,2,Pseudonocardiales,Pseudonocardiaceae,Prauserella
psac02.028,Otu1767,0,0,7893,0,JC,arabinogalactan,2,Rubrobacterales,Rubrobacteraceae,Rubrobacter
psac02.028,Otu2019,0,0,7893,0,JC,arabinogalactan,2,Pseudomonadales,Pseudomonadaceae,Azotobacter
psac02.028,Otu1977,0,0,7893,0,JC,arabinogalactan,2,Bacillales,Bacillaceae_2,Salinibacillus
psac02.028,Otu1858,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1896,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1703,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu2013,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu2042,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu2056,0,0,7893,0,JC,arabinogalactan,2,Clostridiales,Ruminococcaceae,Faecalibacterium
psac02.028,Otu2160,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Prevotellaceae,Prevotella
psac02.028,Otu1759,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1476,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1352,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1877,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1975,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1649,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1633,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu2076,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1986,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu2014,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu2088,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1354,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu2080,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1912,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1839,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu1771,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.028,Otu2178,0,0,7893,0,JC,arabinogalactan,2,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.029,Otu13,0,0,18100,0,JC,cellobiose,1,Bacteroidales,Muribaculaceae,Muribaculum
psac02.029,Otu114,0,0,18100,0,JC,cellobiose,1,Bacteroidales,Muribaculaceae,Muribaculum
psac02.029,Otu6,0,0,18100,0,JC,cellobiose,1,Bacteroidales,Muribaculaceae,Muribaculum
psac02.029,Otu129,0,0,18100,0,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Lachnospira
psac02.029,Otu8,2,0.004962779156327543,18100,1.1049723756906077e-4,JC,cellobiose,1,Bacteroidales,Muribaculaceae,Paramuribaculum
psac02.029,Otu119,0,0,18100,0,JC,cellobiose,1,Clostridiales,Ruminococcaceae,Flintibacter
psac02.029,Otu62,0,0,18100,0,JC,cellobiose,1,Lactobacillales,Lactobacillaceae,Lactobacillus
psac02.029,Otu67,0,0,18100,0,JC,cellobiose,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.029,Otu9,3,0.007444168734491315,18100,1.6574585635359117e-4,JC,cellobiose,1,Bacteroidales,Bacteroidaceae,Phocaeicola
psac02.029,Otu11,0,0,18100,0,JC,cellobiose,1,Verrucomicrobiales,Akkermansiaceae,Akkermansia
psac02.029,Otu123,0,0,18100,0,JC,cellobiose,1,Eggerthellales,Eggerthellaceae,Adlercreutzia
psac02.029,Otu121,0,0,18100,0,JC,cellobiose,1,Clostridiales,Ruminococcaceae,Clostridium_IV
psac02.029,Otu126,6,0.01488833746898263,18100,3.3149171270718233e-4,JC,cellobiose,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.029,Otu3,2,0.004962779156327543,18100,1.1049723756906077e-4,JC,cellobiose,1,Lactobacillales,Lactobacillaceae,Ligilactobacillus
psac02.029,Otu5,356,0.8833746898263027,18100,0.01966850828729282,JC,cellobiose,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.029,Otu418,0,0,18100,0,JC,cellobiose,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.029,Otu46,0,0,18100,0,JC,cellobiose,1,Lactobacillales,Lactobacillaceae,Limosilactobacillus
psac02.029,Otu10,5,0.01240694789081886,18100,2.7624309392265195e-4,JC,cellobiose,1,Lactobacillales,Lactobacillaceae,Lactobacillus
psac02.029,Otu95,0,0,18100,0,JC,cellobiose,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.029,Otu22,1,0.0024813895781637717,18100,5.524861878453039e-5,JC,cellobiose,1,Bacteroidales,Bacteroidaceae,Bacteroides
psac02.029,Otu30,0,0,18100,0,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Butyrivibrio
psac02.029,Otu83,0,0,18100,0,JC,cellobiose,1,Clostridiales,Lachnospiraceae,Ruminococcus2
