	Cycle	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
	1	-130.443934903952	-22.0367183721528	20.070395587285	26.7499027507019	24.3851214131901	14.4355079532866	17.1007606244675	-421.301418358011	36.3522503671957	36.3593448689262	3.55325273156632	16.1832140931392	-64.0804065097359	-19.0681515310675	-5.02511232242796	76.8180296612682	38.6841697327432	15.6456070439872	11.4225577982206	-518.82946897298	13.3117395188629	-11.8431705726425	12.2550799357764	-38.0679279420169	-13.6520856031407	-46.1816843108131	3.69092586424904	18.8328277835494	6.84146732153749	1.23689245131254	5.75534799074194	-331.556329394099	5.84382926077296	-44.8028847959508	12.3461397653941	2.88246223278747	6.74820836709932	-39.9387964628895	8.63985330263176	14.2333657294744	37.2273130952885	20.0655926492527	23.0972397229334	-502.136323915398	6.32662791871508	-56.0510476466475	8.64987447534804	13.6654490615247	12.5017041106594	-30.4454424066043	7.13060769128924	5.59773941722415	8.15097715612501	17.4666109585892	16.3972278998158	-480.936377635598	1.46739243756883	-100.869680818092	16.7867605815713	-39.0756609756327	3.94575696255197	-8.6270290034231	12.1604311649771	92.7509059078611	-21.8838262383993	NaN	-28.7181892196454	-357.69694803069	-0.144990720933947	-49.8645841707485	2.29483444046309	-40.1884356616224	10.4681691494948	-35.6465426614882	23.4768865726169	17.3135129604425	55.9158281277332	27.4282814610933	26.68003470753	-469.653795600983	11.7889254726188	-68.0675558464559	27.6758839367999	-46.8873261481772	12.4664402855929	-20.9093150913809	13.5738781219729	10.6895609118255	26.284638852107	5.33829929159901	23.0765725051538	-367.84383318381	7.08054337497424	-59.2435479324727	-624.319263134825	-629.903687402298
	2	-134.990789974821	19.4166461555424	10.5780662150969	14.2719647947838	13.688776250247	22.0163098743283	14.6852805621425	-215.249840759497	23.8925252266667	36.4533097920453	15.5909770464464	21.868640476061	-66.5339699882688	21.5942664830491	4.50818032172583	52.7813237876035	34.9655314519409	10.8565553347348	14.4802569241492	-280.757756816851	13.2116864738382	5.81837892918793	11.1479456354382	-18.9049428299668	-3.3031447983949	19.2540134628753	23.3447528520751	15.315246316608	11.5629102616017	24.5521930469113	7.07682421882828	-163.227374955968	10.1314493836439	21.066775360157	11.5118250549826	20.4156539854484	17.299185947631	-4.88764069501576	20.390432540928	25.5296612957072	25.7165189016164	36.3727853121372	41.6691432979933	-281.232281635318	8.58297953148576	13.3433023222751	18.1000051682181	10.6230460221623	15.4756298991397	8.7851807025213	12.7135490948226	20.2470927922977	13.7501206105444	16.0541066752712	10.9866525599573	-259.125085377465	11.1954686883219	-17.0671371016406	16.2260760703716	5.74175476130495	13.9387802979982	14.2448474970588	16.1729547351106	75.0075250330319	42.4330440312669	NaN	0.781405214693223	-156.499948258464	3.53048074499748	-6.58585298812568	13.3613803805256	5.95390317445663	26.9233413764414	-0.608010907480548	38.5498024749932	21.9630972494874	83.9258719652535	50.0750041810429	33.2054698319439	-235.6977075588	19.5114590735657	-17.1850272526608	17.9230826605217	-1.92226905278039	21.110174255341	-4.90373875920022	12.9748232618176	26.8307542590273	25.3932451732608	26.2078613658123	33.108896794407	-120.006532662218	7.83340797237179	-16.5277952572792	-315.782569022028	-329.197473426291
	3	27.888776849969	49.6255097525386	2.46349549544266	8.41891160066643	16.6587400915259	31.4654703593956	6.11233959748233	-117.21769001344	7.59241299290352	33.2552226942344	25.7272827967299	6.91294248656413	31.1799958210713	52.4236778897543	6.3141482482024	26.6123376811229	19.9464087286692	7.85747581562237	4.9052996549508	-171.487655608596	8.91935736429514	6.99921432148676	6.97579348292265	6.7465459877244	8.71278312890217	50.4276864534822	41.6450412587806	9.4270146027834	16.0572676172328	45.4810076523668	10.8483086691795	-72.9333730822909	7.08900304029112	32.896987104144	10.7402577222324	29.2194036038959	25.758307836034	6.47933801051431	29.1633134047142	36.387987211057	23.0107682773628	51.9169794252662	47.4556866148455	-159.030540590373	12.0951204385092	54.3365186231858	24.9790947705055	7.26655091930434	3.32614680403731	19.7393165837093	6.28520840798819	27.5911872874271	18.8680544637709	8.74805814305	10.4223013231767	-141.894180621575	17.9514191130006	26.4700967238909	6.14637098697904	26.2559805913179	16.4668781332671	10.4437707778684	8.82080476823194	51.2228046277255	58.2494452568467	NaN	11.8076636665137	-66.0477622682783	6.77998093484393	9.64717332089322	17.4735877040289	14.9074760046669	30.3630525092385	2.79979404455071	40.2779497518891	22.0165595534604	104.798629026411	62.4779217998689	32.9259474560195	-142.805985296834	23.0711708674266	21.0226668149635	5.62193962432957	14.131070811201	28.5841938360577	6.46033658363103	3.76398582754609	38.7079999040939	17.5252877709718	37.7452373720112	47.9921619034876	14.1542980284339	7.17606457563124	5.885042320715	-169.555245270295	-186.445634836938
	4	17.8174255433541	66.3529308973839	13.0376363714176	3.08071316801124	15.2049606271303	30.4802284941197	6.66098339940527	-60.8789495261803	2.98769690498602	31.7890886214354	39.1106277621184	-19.7384277170531	23.2430482714394	67.2288840952142	3.90732336845622	1.85996073484148	14.2884844816685	2.38940315949822	7.44953456979192	-83.8872421235337	-2.25001056767815	8.47609708457503	0.595400720111684	18.3352552424144	14.9268051098488	65.5524387797122	48.3191401433269	3.38214115478422	15.6964217287014	51.6723315372419	6.26935509993018	-35.3295188149968	3.15412752865632	32.9572634878627	0.0636952154331993	30.5860178861608	34.3444104480436	10.30281035078	34.0394464460651	39.8447633162541	24.6421847857791	69.0086923188769	58.1602735216866	-96.0426943047814	-1.45844195878317	82.3553704715678	36.0156910179035	5.40881938878692	3.73164411526068	18.2418959178085	6.18259339426459	36.7882497165701	25.9627691958381	7.58829444902358	3.42020623531471	-87.4966223871161	18.7601864918011	56.5979109395207	3.28711685209464	29.711939758804	21.9558375110196	9.00542477432236	5.05709966366157	25.5946007201787	49.7139848783822	NaN	7.07326126840871	-33.7018885352436	9.72922482500735	11.5277501446258	25.187989380187	19.4632960831764	40.0466547436104	12.6284316617412	52.6856963338241	31.9539863079922	135.981289074169	85.9453762916633	43.9012632746867	-83.4676816377978	24.1698829440588	53.4247433856481	3.92111513176451	12.9801564901832	40.9918731804519	6.71050875345327	6.3100054684478	44.3273182225284	6.36575739516866	58.3227610058157	54.1415438464192	85.3262358908069	1.11627363904881	10.5788724082654	-73.4785303929984	-106.416811642076
	5	15.064897966543	82.4827907935778	11.2162673937137	8.661282874074	10.0596190903866	46.713770808723	2.94270874180302	-29.565811325142	11.3164163377974	16.075006181924	48.2053784720724	92.3864753420103	20.3742810806398	87.2469333536756	6.05040867704975	-32.2373052867615	9.30652270863402	6.44921748447541	2.30022113218592	-23.0303466498635	3.73567106613564	11.3325307382665	2.56256619105989	10.3139728649026	15.8756828985665	84.3794957893788	62.9143872659788	3.67365388726603	14.8777870462527	59.0872927900627	3.07879385513843	-17.6241094149541	2.37708946079738	27.462120343474	-1.3801661462071	34.3613354824288	44.5463161434627	7.02132379243903	44.9006943879099	55.9422812019429	22.1068561739853	86.4855096591518	76.4567368815756	-62.073741015507	3.7965027480127	102.162997498159	43.6746552388599	3.77914186700446	2.76191126258391	14.8172028822	3.4724332780338	45.5234767202828	30.1482632281704	6.85196743432152	6.52043807782638	-48.729944794155	29.3417824294156	73.4098179029465	1.58257828718479	31.7228994388374	29.2155710773773	11.2883611279376	-2.72388143414082	10.7552334037805	39.2975892853342	NaN	14.0504350552237	-2.866528332077	3.08219098680047	13.5003907653813	25.9250234862207	18.9878727154046	48.4224943140671	5.43804023308394	63.5184469744045	37.2139806364512	176.088061339864	104.658165778157	60.523439242213	-50.4679390825249	35.2251281546564	76.0000081429307	-2.2127159737538	11.7675980572944	49.9090594496902	8.01818935862002	2.89436260536286	55.424809589219	0.826290304119993	64.5078845219809	78.1506356191699	140.066521827427	-1.74062890904816	12.2631769107288	-9.27970187192022	-66.2794176212692
	6	3.7335207559413	100.793663570169	10.4264952483172	9.90514703934468	14.8894272959687	56.6710530537889	2.12213930975258	-8.05703327396395	5.33415622614302	9.4310664033228	56.4177228984408	77.0524611440164	8.62883089257184	101.282765604259	6.46149076543634	91.9036526515474	18.3639305931811	1.9527058835788	4.82272775383626	8.11355437297334	6.70005938010399	17.9785711716099	4.38016419800488	13.0146546262049	15.1083780608619	102.824363054346	78.8708432225808	5.88966000764003	16.9865202390856	79.6531875716346	1.61973507065977	-4.36979451538991	1.72791484508161	14.5986275201726	0.638040295688825	16.6931444364009	57.539992331157	10.117408831768	55.9170682565532	68.1124160169843	23.6353209426293	104.136886497257	92.1363115205622	-27.5168742532151	5.18623830884917	118.672971282076	51.3114584523319	5.61085054415616	3.97253215174715	11.1730949966509	2.20659739530993	56.6366529996531	32.3766078573808	9.35909766620534	2.09253791260744	-27.2285105514966	32.7145860356195	83.5665976077571	2.95004830505195	21.18052105884	38.689318294581	6.5404544990256	6.58853845366184	-0.140370245607755	27.9738980892585	NaN	4.65799211096191	8.12501874580357	5.44010425041142	9.75995067371741	36.3118265844805	16.9367707549877	60.8445849749914	4.78429274659584	76.9103026020839	48.412235325608	206.951905932915	128.41694178532	73.9214409898182	-24.4631398675583	42.5343325616345	89.0654106418333	-3.06927418389523	16.9504255758429	62.0082274504439	7.09711074979577	-4.89865527543179	70.9135735398713	3.07857513553563	81.1320883748322	90.0512841947698	177.618640377987	2.70692522255058	11.3533950330243	39.5604987547404	-31.0522002818279
	7	-3.05451528335607	115.727119223499	8.35682610949971	8.28541057643997	16.5438789931404	61.3035060163356	10.792107615167	1.52175965505103	1.26500939002835	15.9819201479972	63.7074220180398	50.9850558481812	0.0577069936312	121.291486654756	5.78818561013532	60.1026199500761	16.8013120327146	3.01867837912323	3.78127902953565	13.2124553480653	1.66700889549884	15.0607465987719	3.72212323095937	3.24970668485366	10.4979722584239	115.535651414427	90.8988401215997	7.91958247460161	18.3434631372802	98.336679431784	4.40305693158552	5.94884699367867	4.66651142424553	4.40974452884984	3.10636293842799	26.3543038380776	71.8131107690588	4.75031280984149	63.1467930833369	79.776073681317	27.7250013951148	129.706768249654	109.46301490928	-17.3581134438682	0.177259112069805	134.604112241153	57.4391056519089	6.25726310343862	3.61680772686941	0.438885915758874	5.93579747074637	68.1570313980083	31.8690777784127	6.3029425189311	6.52726041218693	-6.55288289882355	38.1523181592206	98.2041307250665	-0.420316027044919	15.9200312179642	48.5736647450381	2.5820598587452	4.95348991337369	-18.3641659356367	14.0043492651007	NaN	8.72272739148775	13.6355069898118	3.41778340973815	8.21696700170378	41.1141931660904	18.487276140072	67.0853068027782	6.77893728816662	93.5551571877477	63.4554951946284	243.267846203507	154.239463087412	95.9594472301069	-9.72850005760029	53.291756076997	108.595971534574	4.41232534719848	14.0282079095232	67.9683593555005	4.74264405016174	3.46533723059747	84.1120156207135	2.65414086171631	99.1640543444719	112.09189048075	211.69034737242	-2.48358255932862	11.3078596637624	78.2251759014889	-5.95029455681106
	8	-1.2049471706182	128.574980327568	5.42993608167762	2.30809170940347	12.4525620108589	78.1052567973538	3.7977789544384	4.90787458051864	5.75306712724296	14.4351510372485	66.7544214825593	31.9211463093434	-6.3291742631659	132.920952761325	3.22460740729412	38.8122409200355	16.6272306211258	8.37921300402741	2.2523973313032	12.6157334577192	-0.00568982779441285	8.34088847249586	2.15932163925208	15.2577387699976	10.819212211577	130.755082883233	102.135942096833	6.26134858681735	14.0472961335231	119.31975181497	12.2598993270831	6.95055270380271	6.31140762608629	-0.875648126002034	8.51101580006207	12.7780978610194	90.446247656434	9.19161952720378	81.170351066588	92.7274180616791	20.8553853580352	153.228486491926	129.201853798644	-0.268543352556662	10.8357526838322	151.423219008287	68.2476719674942	1.95238987518724	3.15292445923478	2.78245590421511	6.6864531386359	81.744922836589	25.3516720775774	9.01784325473909	9.44364885009645	2.97516841640936	49.7364166667121	111.496842443605	8.09733671089498	12.7378329779922	58.5605650614248	8.78811249532464	2.81600477149777	-23.5414451142938	-4.63065219417149	NaN	4.18317447028812	17.6575496464238	10.0952631312812	12.3817312249766	47.98979935547	15.9033083626164	81.9234048223761	6.44024016599178	104.405977666712	79.1137409870148	281.94096322013	189.145839537976	116.528863038468	-2.95247206949171	63.8707889616917	116.460017414378	5.4985251370872	8.44643902661301	80.032458724696	5.18600864266182	4.05493542451813	98.0128058224764	1.16341956014458	123.909300209024	134.302374497801	233.979913332884	2.15034344904188	5.62960634294541	114.412341780247	-0.050850129248829
	9	-9.87736111863978	151.287246803159	-0.168882175107228	9.05928333895326	16.3322525347935	96.4351458449673	9.79954032972319	15.7691342630656	9.09930182731614	6.27619752985311	78.6064284058689	6.41638606638026	-9.44843715473098	155.223192543563	4.42207675477175	8.44114190962273	7.99029128249958	12.0787074477239	1.53241312396403	13.4867148696076	8.11269759458901	5.84661477603231	5.54666052353514	15.0294324591678	13.2437486077897	154.847961294473	118.162905589772	7.94338268169213	13.5047192985717	148.575835076789	13.9561975345578	5.00379649490969	7.88615364293673	-10.878289556038	10.5111793838887	6.18530919564819	117.646834027348	22.3018953439446	96.3437929553916	107.928848206538	18.3859871049094	191.790352205416	149.767733075697	1.72730491258244	20.1242178326074	175.280808094642	81.6199143098138	3.81804589222475	2.95741305211459	-5.39724473620481	6.66673507320638	99.2124012076624	18.7018476925286	16.4184748663724	13.8699777515235	9.05250692569189	62.3381828511256	129.99742114354	8.63397407627053	-1.93660094968618	72.32929237692	5.60119712673531	7.75574424717297	-32.2050388149987	-10.7363772056719	NaN	1.87200177854811	13.5311107324133	10.1133765013697	17.1487255825714	54.2743185873805	14.8058104948782	100.886047032925	7.23347372661328	128.505591085169	95.0524855724198	321.365560811118	235.12412581217	147.525933023489	1.80553134316506	79.330481996767	136.514744715989	4.70104747916321	16.4000125028188	103.074418385522	8.56851842699007	5.07704098175827	126.261551563236	8.38028299558755	157.186312454824	173.045257714851	254.273182511253	6.73433591906451	-3.39155060864186	135.036457296887	1.25594445247771
	10	-9.98845888028745	167.860471673303	-1.59088055003667	2.76136876708642	19.2524195956498	119.422561936069	33.5538324680929	5.90537014891561	9.08915811986617	1.45081712120873	87.2533479483227	-18.89581697313	-11.9019028855087	173.269544683454	7.25371139577692	-9.09465394920471	-2.94405816308517	12.6930571632106	9.3010892772536	16.603561527385	5.79206610859274	1.87981707964718	13.5255387113634	9.63285977706119	12.2425735914389	179.122303632284	135.917751427788	11.5847826377631	13.8530884669094	192.379548531202	26.1799188557338	7.28222766598992	22.0718873914839	-14.5976713946025	29.0919348279745	14.5543477476467	151.388796985359	29.9978836273335	121.316808222752	130.007544802924	19.5529171287126	230.064035514122	182.182703477487	8.76410094607127	26.9206007570688	205.196432164119	99.4151433070033	9.09336676202429	5.28220863226716	2.31721354600268	15.4200056123764	116.207661023873	15.9447276961946	21.9881907423373	24.3370859955321	5.21962667491789	76.0859172733312	142.071796787389	13.6988371319585	-8.72012459819098	84.5030605904913	14.5123820315894	10.1436182138195	109.81023733061	-25.7318007654062	NaN	2.01567052438031	9.84485183376182	18.1639166579657	21.5344218741893	65.8311191858165	16.2731222156199	124.638453234043	10.001554183913	159.992398244454	111.8998584047	366.411522434929	291.122252727043	181.845857375139	2.46127690490357	98.0729830253622	149.877131307109	12.90897799308	17.4218759259102	120.405573094045	4.96603277580698	7.2349919133444	154.596675297107	16.002490414347	202.989550918278	214.424419022527	272.634702564003	10.8128770452718	-2.06704022086797	161.402801802606	6.9121020300081
