#OTU ID	20230816
Otu1	37454
Otu10	7769
Otu100	427
Otu101	427
Otu102	414
Otu103	561
Otu104	420
Otu105	429
Otu106	395
Otu107	403
Otu108	354
Otu109	317
Otu11	7190
Otu110	396
Otu111	340
Otu112	321
Otu113	313
Otu114	320
Otu115	343
Otu116	308
Otu117	305
Otu118	278
Otu119	283
Otu12	6635
Otu120	319
Otu121	285
Otu122	277
Otu123	282
Otu124	272
Otu125	279
Otu126	256
Otu127	289
Otu128	274
Otu129	288
Otu13	6492
Otu130	259
Otu131	283
Otu132	237
Otu133	1003
Otu134	229
Otu135	280
Otu136	226
Otu137	260
Otu138	233
Otu139	266
Otu14	5989
Otu140	232
Otu141	230
Otu142	221
Otu143	209
Otu144	206
Otu145	213
Otu146	225
Otu147	206
Otu148	274
Otu149	227
Otu15	4856
Otu150	223
Otu151	179
Otu152	190
Otu153	185
Otu154	179
Otu155	185
Otu156	180
Otu157	174
Otu158	203
Otu159	174
Otu16	4724
Otu160	167
Otu161	158
Otu162	159
Otu163	173
Otu164	166
Otu165	141
Otu166	150
Otu167	146
Otu168	146
Otu169	144
Otu17	4708
Otu170	147
Otu171	149
Otu172	139
Otu173	144
Otu174	133
Otu175	155
Otu176	133
Otu177	131
Otu178	137
Otu179	129
Otu18	4494
Otu180	129
Otu181	135
Otu182	120
Otu183	127
Otu184	165
Otu185	233
Otu186	144
Otu187	119
Otu188	115
Otu189	111
Otu19	4257
Otu190	116
Otu191	104
Otu192	106
Otu193	127
Otu194	101
Otu195	98
Otu196	107
Otu197	95
Otu198	105
Otu199	96
Otu2	27906
Otu20	4153
Otu200	97
Otu201	96
Otu202	93
Otu203	99
Otu204	109
Otu205	88
Otu206	88
Otu207	87
Otu208	87
Otu209	83
Otu21	4059
Otu210	89
Otu211	86
Otu212	90
Otu213	124
Otu214	102
Otu215	85
Otu216	81
Otu217	79
Otu218	76
Otu219	83
Otu22	3667
Otu220	79
Otu221	82
Otu222	77
Otu223	79
Otu224	73
Otu225	89
Otu226	78
Otu227	75
Otu228	91
Otu229	89
Otu23	3850
Otu230	69
Otu231	88
Otu232	65
Otu233	62
Otu234	63
Otu235	64
Otu236	58
Otu237	61
Otu238	61
Otu239	76
Otu24	3752
Otu240	59
Otu241	58
Otu242	62
Otu243	56
Otu244	58
Otu245	54
Otu246	68
Otu247	54
Otu248	51
Otu249	50
Otu25	3573
Otu250	71
Otu251	50
Otu252	48
Otu253	50
Otu254	65
Otu255	46
Otu256	46
Otu257	63
Otu258	44
Otu259	45
Otu26	3630
Otu260	43
Otu261	48
Otu262	40
Otu263	37
Otu264	70
Otu265	38
Otu266	44
Otu267	41
Otu268	45
Otu269	38
Otu27	4289
Otu270	38
Otu271	34
Otu272	43
Otu273	34
Otu274	40
Otu275	82
Otu276	32
Otu277	34
Otu278	33
Otu279	31
Otu28	3465
Otu280	31
Otu281	31
Otu282	32
Otu283	64
Otu284	40
Otu285	31
Otu286	29
Otu287	28
Otu288	31
Otu289	30
Otu29	3246
Otu290	28
Otu291	27
Otu292	25
Otu293	26
Otu294	27
Otu295	24
Otu296	30
Otu297	27
Otu298	23
Otu299	65
Otu3	16739
Otu30	3379
Otu300	27
Otu301	24
Otu302	21
Otu303	19
Otu304	18
Otu305	21
Otu306	24
Otu307	17
Otu308	16
Otu309	15
Otu31	3451
Otu310	27
Otu311	15
Otu312	16
Otu313	32
Otu314	17
Otu315	14
Otu316	24
Otu317	14
Otu318	20
Otu319	15
Otu32	2773
Otu320	22
Otu321	13
Otu322	20
Otu323	19
Otu324	19
Otu325	13
Otu326	50
Otu327	13
Otu328	15
Otu329	14
Otu33	2812
Otu330	13
Otu331	11
Otu332	10
Otu333	13
Otu334	15
Otu335	11
Otu336	17
Otu337	9
Otu338	13
Otu339	8
Otu34	2830
Otu340	8
Otu341	13
Otu342	15
Otu343	10
Otu35	2731
Otu36	2667
Otu37	2405
Otu38	2343
Otu39	1922
Otu4	13492
Otu40	1880
Otu41	1823
Otu42	1789
Otu43	1623
Otu44	1609
Otu45	1514
Otu46	1489
Otu47	1446
Otu48	1504
Otu49	1385
Otu5	12144
Otu50	1317
Otu51	1276
Otu52	1267
Otu53	1277
Otu54	1257
Otu55	1222
Otu56	1201
Otu57	1204
Otu58	1191
Otu59	1072
Otu6	10481
Otu60	1053
Otu61	1136
Otu62	998
Otu63	1020
Otu64	934
Otu65	907
Otu66	946
Otu67	995
Otu68	850
Otu69	845
Otu7	10814
Otu70	873
Otu71	816
Otu72	748
Otu73	705
Otu74	773
Otu75	853
Otu76	669
Otu77	679
Otu78	648
Otu79	683
Otu8	10516
Otu80	618
Otu81	674
Otu82	601
Otu83	587
Otu84	575
Otu85	515
Otu86	532
Otu87	508
Otu88	508
Otu89	499
Otu9	9062
Otu90	519
Otu91	495
Otu92	513
Otu93	480
Otu94	524
Otu95	455
Otu96	527
Otu97	462
Otu98	458
Otu99	454
