"OTU","MouseGroup"
"Otu23","J"
"Otu59","J"
"Otu94","J"
"Otu40","J"
"Otu127","J"
"Otu72","J"
"Otu8","J"
"Otu35","J"
"Otu20","J"
"Otu26","J"
"Otu90","J"
"Otu17","J"
"Otu79","J"
"Otu22","J"
"Otu27","J"
"Otu33","J"
"Otu61","J"
"Otu51","J"
"Otu30","J"
"Otu157","J"
"Otu43","J"
"Otu5","J"
"Otu99","J"
"Otu12","J"
"Otu4","J"
"Otu50","J"
"Otu48","J"
"Otu55","J"
"Otu91","J"
