OTU,MouseGroup,group_Count,Instances_OTU,Class,Order,Family,prop_OTU,alpha
Otu12,E,0.00265834589731673,0.0345584966651174,Clostridia,Clostridiales,Lachnospiraceae,0.215990604156984,0.01
Otu12,JEE,0.000845118583231385,0.00591583008261969,Clostridia,Clostridiales,Lachnospiraceae,0.0492985840218308,0.01
Otu12,JEJ,0.00118198377107797,0.00945587016862373,Clostridia,Clostridiales,Lachnospiraceae,0.0590991885538983,0.01
Otu12,J,0.000946628411335945,0.586909615028286,Clostridia,Clostridiales,Lachnospiraceae,3.66818509392679,1
Otu121,E,0.00395260853663154,0.0750995621959992,Gammaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,0.469372263724995,0.01
Otu121,JEE,0.00482841782772339,0.115882027865361,Gammaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,0.965683565544678,1
Otu121,JEJ,0.000508626360328577,0.0111897799272287,Gammaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,0.0699361245451793,0.01
Otu123,J,0.000916198290362519,0.0412289230663133,Clostridia,Clostridiales,Lachnospiraceae,0.257680769164458,0.01
Otu124,E,0.000445055294430155,0.0347143129655521,Bacteroidia,Bacteroidales,Dysgonomonadaceae,0.216964456034701,0.01
Otu124,JEE,0.000879197610426377,0.0105503713251165,Bacteroidia,Bacteroidales,Dysgonomonadaceae,0.0879197610426377,0.01
Otu124,JEJ,0.000934335585075725,0.0224240540418174,Bacteroidia,Bacteroidales,Dysgonomonadaceae,0.140150337761359,0.01
Otu127,JEJ,0.000231443545769749,0.000462887091539497,Clostridia,Clostridiales,Ruminococcaceae,0.00289304432212186,0.01
Otu127,J,0.000891578875129498,0.0900494663880793,Clostridia,Clostridiales,Ruminococcaceae,0.562809164925496,1
Otu127,E,0.000700280112044818,0.000700280112044818,Clostridia,Clostridiales,Ruminococcaceae,0.00437675070028011,0.01
Otu129,E,0.00221082856819659,0.0132649714091795,Clostridia,Clostridiales,Lachnospiraceae,0.0829060713073721,0.01
Otu129,JEE,0.00045187324474456,0.0420242117612441,Clostridia,Clostridiales,Lachnospiraceae,0.350201764677034,0.01
Otu129,JEJ,0.00125865772747723,0.00251731545495447,Clostridia,Clostridiales,Lachnospiraceae,0.0157332215934654,0.01
Otu13,E,0.000554080883993957,0.224956838901546,Bacteroidia,Bacteroidales,Muribaculaceae,1.40598024313467,1
Otu13,JEE,0.000604101260070311,0.375146882503663,Bacteroidia,Bacteroidales,Muribaculaceae,3.12622402086386,1
Otu13,JEJ,0.000469621239837385,0.57105942764226,Bacteroidia,Bacteroidales,Muribaculaceae,3.56912142276412,1
Otu130,E,0.00303951367781155,0.0303951367781155,Clostridia,Clostridiales,Lachnospiraceae,0.189969604863222,0.01
Otu130,J,0.00125300512378463,0.0263131075994773,Clostridia,Clostridiales,Lachnospiraceae,0.164456922496733,0.01
Otu131,E,0.000772350144004377,0.00617880115203501,Clostridia,Clostridiales,Lachnospiraceae,0.0386175072002188,0.01
Otu131,JEE,0.000685210015123773,0.0232971405142083,Clostridia,Clostridiales,Lachnospiraceae,0.194142837618402,0.01
Otu131,J,0.000895651385291806,0.0582173400439674,Clostridia,Clostridiales,Lachnospiraceae,0.363858375274796,0.01
Otu131,JEJ,0.0169491525423729,0.0169491525423729,Clostridia,Clostridiales,Lachnospiraceae,0.105932203389831,0.01
Otu132,E,0.00245921653749361,0.100827878037238,Clostridia,Clostridiales,Lachnospiraceae,0.630174237732737,1
Otu132,JEE,0.000883561506761033,0.0494794443786178,Clostridia,Clostridiales,Lachnospiraceae,0.412328703155149,0.01
Otu132,JEJ,0.00119245059597945,0.0214641107276302,Clostridia,Clostridiales,Lachnospiraceae,0.134150692047689,0.01
Otu136,E,0.000730079265748853,0.00146015853149771,Clostridia,Clostridiales,Lachnospiraceae,0.00912599082186066,0.01
Otu136,JEE,0.00501099246231156,0.0801758793969849,Clostridia,Clostridiales,Lachnospiraceae,0.668132328308208,1
Otu136,J,0.0011195281593169,0.0604545206031124,Clostridia,Clostridiales,Lachnospiraceae,0.377840753769452,0.01
Otu137,E,0.000929402491684265,0.0130116348835797,Clostridia,Clostridiales,Ruminococcaceae,0.0813227180223732,0.01
Otu137,JEE,0.00291505851418185,0.0116602340567274,Clostridia,Clostridiales,Ruminococcaceae,0.097168617139395,0.01
