sample_number,mouse_num,date,day,status,cage,tx_group,mouse_type,mark,collector,sample_location,sample_type,pre_weight,post_weight,sample_weight
57,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,colon,mucus,0.9779,1.0198,0.0419
58,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,colon,tissue,,,
59,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,colon,map,,,
60,J4,4/30/21,32,treatment,JC2,jax_control,jax,green,TM/GU,pellet,feces,,,
61,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,duodenum,lumen,0.983,1.0165,0.0335
62,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,duodenum,mucus,0.9886,1.0263,0.0377
63,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,jejunum,lumen,0.9925,1.0402,0.0477
64,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,jejunum,mucus,0.9765,1.0631,0.0866
65,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,ileum,lumen,0.9884,1.0409,0.0525
66,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,ileum,mucus,0.9836,1.0494,0.0658
67,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,cecum,lumen,0.9848,1.0703,0.0855
68,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,cecum,mucus,0.9901,1.0165,0.0264
69,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,cecum,tissue,,,
70,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,cecum,map,,,
71,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,colon,lumen,0.9781,1.0202,0.0421
72,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,colon,mucus,0.98,0.9979,0.0179
73,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,colon,tissue,,,
74,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,colon,map,,,
75,E1,4/30/21,32,treatment,EC1,envigo_control,envigo,none,TM/GU,pellet,feces,,,
76,E2,4/30/21,32,treatment,EC1,envigo_control,envigo,black,TM/GU,duodenum,lumen,0.9794,1.0092,0.0298
77,E2,4/30/21,32,treatment,EC1,envigo_control,envigo,black,TM/GU,duodenum,mucus,0.9876,1.0944,0.1068
78,E2,4/30/21,32,treatment,EC1,envigo_control,envigo,black,TM/GU,jejunum,lumen,0.9775,1.0601,0.0826
79,E2,4/30/21,32,treatment,EC1,envigo_control,envigo,black,TM/GU,jejunum,mucus,0.9778,1.1325,0.1547
80,E2,4/30/21,32,treatment,EC1,envigo_control,envigo,black,TM/GU,ileum,lumen,0.9889,1.0186,0.0297
81,E2,4/30/21,32,treatment,EC1,envigo_control,envigo,black,TM/GU,ileum,mucus,0.9778,1.0413,0.0635
82,E2,4/30/21,32,treatment,EC1,envigo_control,envigo,black,TM/GU,cecum,lumen,0.9887,1.1457,0.157
83,E2,4/30/21,32,treatment,EC1,envigo_control,envigo,black,TM/GU,cecum,mucus,0.9808,1.0203,0.0395
84,E2,4/30/21,32,treatment,EC1,envigo_control,envigo,black,TM/GU,cecum,tissue,,,
85,E2,4/30/21,32,treatment,EC1,envigo_control,envigo,black,TM/GU,cecum,map,,,
86,E2,4/30/21,32,treatment,EC1,envigo_control,envigo,black,TM/GU,colon,lumen,0.976,1.0649,0.0889
87,E2,4/30/21,32,treatment,EC1,envigo_control,envigo,black,TM/GU,colon,mucus,0.9891,1.0431,0.054
88,E2,4/30/21,32,treatment,EC1,envigo_control,envigo,black,TM/GU,colon,tissue,,,
89,E2,4/30/21,32,treatment,EC1,envigo_control,envigo,black,TM/GU,colon,map,,,
90,E2,4/30/21,32,treatment,EC1,envigo_control,envigo,black,TM/GU,pellet,feces,,,
91,E3,4/30/21,32,treatment,EC2,envigo_control,envigo,red,TM/GU,duodenum,lumen,0.9805,1.0274,0.0469
92,E3,4/30/21,32,treatment,EC2,envigo_control,envigo,red,TM/GU,duodenum,mucus,0.9881,1.0539,0.0658
93,E3,4/30/21,32,treatment,EC2,envigo_control,envigo,red,TM/GU,jejunum,lumen,0.98,1.0599,0.0799
94,E3,4/30/21,32,treatment,EC2,envigo_control,envigo,red,TM/GU,jejunum,mucus,0.9823,1.0543,0.072
95,E3,4/30/21,32,treatment,EC2,envigo_control,envigo,red,TM/GU,ileum,lumen,0.9828,1.0288,0.046
96,E3,4/30/21,32,treatment,EC2,envigo_control,envigo,red,TM/GU,ileum,mucus,0.9889,1.0468,0.0579
97,E3,4/30/21,32,treatment,EC2,envigo_control,envigo,red,TM/GU,cecum,lumen,0.9818,1.1115,0.1297
98,E3,4/30/21,32,treatment,EC2,envigo_control,envigo,red,TM/GU,cecum,mucus,0.9756,1.0195,0.0439
99,E3,4/30/21,32,treatment,EC2,envigo_control,envigo,red,TM/GU,cecum,tissue,,,
100,E3,4/30/21,32,treatment,EC2,envigo_control,envigo,red,TM/GU,cecum,map,,,
101,E3,4/30/21,32,treatment,EC2,envigo_control,envigo,red,TM/GU,colon,lumen,0.9811,1.0395,0.0584
102,E3,4/30/21,32,treatment,EC2,envigo_control,envigo,red,TM/GU,colon,mucus,0.9838,1.0323,0.0485
103,E3,4/30/21,32,treatment,EC2,envigo_control,envigo,red,TM/GU,colon,tissue,,,
104,E3,4/30/21,32,treatment,EC2,envigo_control,envigo,red,TM/GU,colon,map,,,
105,E3,4/30/21,32,treatment,EC2,envigo_control,envigo,red,TM/GU,pellet,feces,,,
106,E4,4/30/21,32,treatment,EC2,envigo_control,envigo,green,TM/GU,duodenum,lumen,0.9807,1.0154,0.0347
107,E4,4/30/21,32,treatment,EC2,envigo_control,envigo,green,TM/GU,duodenum,mucus,0.9835,1.0791,0.0956
108,E4,4/30/21,32,treatment,EC2,envigo_control,envigo,green,TM/GU,jejunum,lumen,0.987,1.0432,0.0562
109,E4,4/30/21,32,treatment,EC2,envigo_control,envigo,green,TM/GU,jejunum,mucus,0.9777,1.044,0.0663
110,E4,4/30/21,32,treatment,EC2,envigo_control,envigo,green,TM/GU,ileum,lumen,0.978,1.01,0.032
111,E4,4/30/21,32,treatment,EC2,envigo_control,envigo,green,TM/GU,ileum,mucus,0.9773,1.0288,0.0515
112,E4,4/30/21,32,treatment,EC2,envigo_control,envigo,green,TM/GU,cecum,lumen,0.9821,1.1754,0.1933
113,E4,4/30/21,32,treatment,EC2,envigo_control,envigo,green,TM/GU,cecum,mucus,0.9756,1.0179,0.0423
114,E4,4/30/21,32,treatment,EC2,envigo_control,envigo,green,TM/GU,cecum,tissue,,,
115,E4,4/30/21,32,treatment,EC2,envigo_control,envigo,green,TM/GU,cecum,map,,,
116,E4,4/30/21,32,treatment,EC2,envigo_control,envigo,green,TM/GU,colon,lumen,0.9849,1.0182,0.0333
117,E4,4/30/21,32,treatment,EC2,envigo_control,envigo,green,TM/GU,colon,mucus,0.9853,1.0157,0.0304
118,E4,4/30/21,32,treatment,EC2,envigo_control,envigo,green,TM/GU,colon,tissue,,,
119,E4,4/30/21,32,treatment,EC2,envigo_control,envigo,green,TM/GU,colon,map,,,
120,E4,4/30/21,32,treatment,EC2,envigo_control,envigo,green,TM/GU,pellet,feces,,,
121,J5,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,none,TM/GU,duodenum,lumen,0.9801,1.0335,0.0534
122,J5,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,none,TM/GU,duodenum,mucus,0.9806,1.071,0.0904
123,J5,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,none,TM/GU,jejunum,lumen,0.9746,1.0828,0.1082
124,J5,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,none,TM/GU,jejunum,mucus,0.9826,1.0527,0.0701
125,J5,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,none,TM/GU,ileum,lumen,0.9749,1.0194,0.0445
126,J5,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,none,TM/GU,ileum,mucus,0.9864,1.0608,0.0744
127,J5,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,none,TM/GU,cecum,lumen,0.9771,1.1171,0.14
128,J5,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,none,TM/GU,cecum,mucus,0.9732,1.0134,0.0402
129,J5,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,none,TM/GU,cecum,tissue,,,
130,J5,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,none,TM/GU,cecum,map,,,
131,J5,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,none,TM/GU,colon,lumen,0.974,1.0128,0.0388
132,J5,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,none,TM/GU,colon,mucus,0.9743,0.9997,0.0254
133,J5,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,none,TM/GU,colon,tissue,,,
134,J5,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,none,TM/GU,colon,map,,,
135,J5,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,none,TM/GU,pellet,feces,,,
136,E8,4/30/21,32,treatment,JE1,jax_envigo_mix,envigo,green,TM/GU,pellet,feces,,,
137,J6,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,black,TM/GU,duodenum,lumen,0.9814,1.0187,0.0373
138,J6,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,black,TM/GU,duodenum,mucus,0.9797,1.0902,0.1105
139,J6,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,black,TM/GU,jejunum,lumen,0.9838,1.0303,0.0465
140,J6,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,black,TM/GU,jejunum,mucus,0.9767,1.0763,0.0996
141,J6,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,black,TM/GU,ileum,lumen,0.9734,1.0078,0.0344
142,J6,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,black,TM/GU,ileum,mucus,0.9802,1.0359,0.0557
143,J6,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,black,TM/GU,cecum,lumen,0.9738,1.0729,0.0991
144,J6,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,black,TM/GU,cecum,mucus,0.9763,1.0383,0.062
145,J6,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,black,TM/GU,cecum,tissue,,,
146,J6,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,black,TM/GU,cecum,map,,,
147,J6,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,black,TM/GU,colon,lumen,0.9892,1.0129,0.0237
148,J6,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,black,TM/GU,colon,mucus,0.9803,1.0193,0.039
149,J6,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,black,TM/GU,colon,tissue,,,
150,J6,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,black,TM/GU,colon,map,,,
151,J6,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,black,TM/GU,pellet,feces,,,
152,E7,4/30/21,32,treatment,JE2,jax_envigo_mix,envigo,red,TM/GU,pellet,feces,,,
153,J7,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,red,TM/GU,duodenum,lumen,0.9747,1.0459,0.0712
154,J7,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,red,TM/GU,duodenum,mucus,0.9766,1.0685,0.0919
155,J7,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,red,TM/GU,jejunum,lumen,0.9795,1.0697,0.0902
156,J7,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,red,TM/GU,jejunum,mucus,0.9755,1.0648,0.0893
157,J7,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,red,TM/GU,ileum,lumen,0.9831,1.0197,0.0366
158,J7,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,red,TM/GU,ileum,mucus,0.979,1.0892,0.1102
159,J7,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,red,TM/GU,cecum,lumen,0.9767,1.0739,0.0972
160,J7,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,red,TM/GU,cecum,mucus,0.977,1.012,0.035
161,J7,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,red,TM/GU,cecum,tissue,,,
162,J7,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,red,TM/GU,cecum,map,,,
163,J7,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,red,TM/GU,colon,lumen,0.9813,1.0224,0.0411
164,J7,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,red,TM/GU,colon,mucus,0.9802,1.0064,0.0262
165,J7,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,red,TM/GU,colon,tissue,,,
166,J7,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,red,TM/GU,colon,map,,,
167,J7,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,red,TM/GU,pellet,feces,,,
168,E6,4/30/21,32,treatment,JE3,jax_envigo_mix,envigo,black,TM/GU,pellet,feces,,,
169,J8,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,green,TM/GU,duodenum,lumen,0.9865,1.0271,0.0406
170,J8,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,green,TM/GU,duodenum,mucus,0.9845,1.0489,0.0644
171,J8,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,green,TM/GU,jejunum,lumen,0.9766,1.0372,0.0606
172,J8,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,green,TM/GU,jejunum,mucus,0.9842,1.0586,0.0744
173,J8,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,green,TM/GU,ileum,lumen,0.9865,1.0038,0.0173
174,J8,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,green,TM/GU,ileum,mucus,0.9755,1.0765,0.101
175,J8,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,green,TM/GU,cecum,lumen,0.9743,1.1241,0.1498
176,J8,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,green,TM/GU,cecum,mucus,0.9747,1.0199,0.0452
177,J8,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,green,TM/GU,cecum,tissue,,,
178,J8,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,green,TM/GU,cecum,map,,,
179,J8,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,green,TM/GU,colon,lumen,0.9865,1.0216,0.0351
180,J8,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,green,TM/GU,colon,mucus,0.9811,1.0375,0.0564
181,J8,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,green,TM/GU,colon,tissue,,,
182,J8,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,green,TM/GU,colon,map,,,
183,J8,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,green,TM/GU,pellet,feces,,,
184,E5,4/30/21,32,treatment,JE4,jax_envigo_mix,envigo,none,TM/GU,pellet,feces,,,
