seqid,date,day,status,cage,tx_group,mouse_type,mouse_num,mark,collector,sample_location,sample_type,pre_weight,post_weight,sample_weight,successful_seq,s3_GU_R1_bucket_path,s3_GU_R2_bucket_path
jxesac.157,4/30/21,32,sac,JE3,jax_envigo_mix,jax,J7,red,TM/GU,ileum,lumen,0.9831,1.0197,0.0366,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-157_S53_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-157_S53_L001_R2_001.fastq.gz
jxesac.173,4/30/21,32,sac,JE4,jax_envigo_mix,jax,J8,green,TM/GU,ileum,lumen,0.9865,1.0038,0.0173,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-173_S58_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-173_S58_L001_R2_001.fastq.gz
jxesac.003,4/30/21,32,sac,JC1,jax_control,jax,J1,none,TM/GU,jejunum,lumen,0.9814,1.0017,0.0203,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-003_S2_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-003_S2_L001_R2_001.fastq.gz
jxesac.018,4/30/21,32,sac,JC1,jax_control,jax,J2,black,TM/GU,jejunum,lumen,0.9911,1.0743,0.0832,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-018_S7_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-018_S7_L001_R2_001.fastq.gz
jxesac.033,4/30/21,32,sac,JC2,jax_control,jax,J3,red,TM/GU,jejunum,lumen,0.9838,1.0518,0.068,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-033_S12_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-033_S12_L001_R2_001.fastq.gz
jxesac.048,4/30/21,32,sac,JC2,jax_control,jax,J4,green,TM/GU,jejunum,lumen,0.9879,1.0153,0.0274,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-048_S17_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-048_S17_L001_R2_001.fastq.gz
jxesac.063,4/30/21,32,sac,EC1,envigo_control,envigo,E1,none,TM/GU,jejunum,lumen,0.9925,1.0402,0.0477,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-063_S22_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-063_S22_L001_R2_001.fastq.gz
jxesac.078,4/30/21,32,sac,EC1,envigo_control,envigo,E2,black,TM/GU,jejunum,lumen,0.9775,1.0601,0.0826,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-078_S27_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-078_S27_L001_R2_001.fastq.gz
jxesac.093,4/30/21,32,sac,EC2,envigo_control,envigo,E3,red,TM/GU,jejunum,lumen,0.98,1.0599,0.0799,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-093_S32_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-093_S32_L001_R2_001.fastq.gz
jxesac.108,4/30/21,32,sac,EC2,envigo_control,envigo,E4,green,TM/GU,jejunum,lumen,0.987,1.0432,0.0562,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-108_S37_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-108_S37_L001_R2_001.fastq.gz
jxesac.123,4/30/21,32,sac,JE1,jax_envigo_mix,jax,J5,none,TM/GU,jejunum,lumen,0.9746,1.0828,0.1082,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-123_S42_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-123_S42_L001_R2_001.fastq.gz
jxesac.139,4/30/21,32,sac,JE2,jax_envigo_mix,jax,J6,black,TM/GU,jejunum,lumen,0.9838,1.0303,0.0465,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-139_S47_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-139_S47_L001_R2_001.fastq.gz
jxesac.155,4/30/21,32,sac,JE3,jax_envigo_mix,jax,J7,red,TM/GU,jejunum,lumen,0.9795,1.0697,0.0902,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-155_S52_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-155_S52_L001_R2_001.fastq.gz
jxesac.171,4/30/21,32,sac,JE4,jax_envigo_mix,jax,J8,green,TM/GU,jejunum,lumen,0.9766,1.0372,0.0606,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-171_S57_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-171_S57_L001_R2_001.fastq.gz
