source well,uL add,dest well
A1,7.8,A1
A2,4.3,A1
A3,12,A1
A4,2.6,A1
A5,20,A1
A6,20,A1
A7,3.6,A1
A8,4.6,A1
B1,3.8,A1
B2,4.3,A1
B3,7.3,A1
B4,3,A1
B5,20,A1
B6,20,A1
B7,2,A1
B8,3.2,A1
C1,3.7,A1
C2,6.1,A1
C3,20,A1
C4,2,A1
C5,7.6,A1
C6,20,A1
C7,20,A1
C8,2.8,A1
D1,12,A1
D2,7.4,A1
D3,20,A1
D4,2,A1
D5,9.2,A1
D6,20,A1
D7,20,A1
D8,2.8,A1
