assembly,d0_abundance,d5_abundance,log2fold_change,shift
AZC3J_10,0.000622419406268719,0.00040600856458315,-0.616376881687666,unchanged
AZC3J_11,0.000100534701826036,0.0000509735301682873,-0.97987339062919,unchanged
AZC3J_12,0.000372039034342437,0.000187400343669508,-0.989330398137961,unchanged
AZC3J_13,0.00116243995759993,0.000350352684773685,-1.73027634315175,unchanged
AZC3J_14,0.0000697557823347101,0.000189499974263031,1.44181293470537,unchanged
AZC3J_15,0.0000736536764993011,0.0000601001343767866,-0.293389324035466,unchanged
AZC3J_16,0.00102898674280555,0.000312555368819959,-1.71904070577309,unchanged
AZC3J_17,0.000013455990722626,0.00000519710362245657,-1.37246888644284,unchanged
AZC3J_18,0.143358589878464,0.0052940531706872,-4.75911185696013,depleted
AZC3J_19,0.000128687801613333,0.00038904243257412,1.59605221129571,unchanged
AZC3J_1,0.00293264648802969,0.00219304216549702,-0.419269622927235,unchanged
AZC3J_20,0.00259210429539207,0.00196746413994261,-0.39778642674239,unchanged
AZC3J_21,0.00440000239204414,0.00265656765866043,-0.727940851580364,unchanged
AZC3J_22,0.00000909254580844927,0.00000420989695560117,-1.11089936772378,unchanged
AZC3J_23,0.0000716129770671238,0.0000296398309283213,-1.27268382531194,unchanged
AZC3J_24,0.000132257668811796,0.0000675958077050635,-0.968345699424467,unchanged
AZC3J_25,0.0029773899733388,0.0020096423919522,-0.567109393357607,unchanged
AZC3J_26,0.000861206423813544,0.000702192842234698,-0.294491790474311,unchanged
AZC3J_27,0.00015092053179045,0.000345829631534363,1.19627239912422,unchanged
AZC3J_28,0.00358870740566426,0.00332896661615207,-0.10838989941551,unchanged
AZC3J_29,0.000422874962531981,0.000199851895722382,-1.08129988648846,unchanged
AZC3J_2,0.000995224471291733,0.000621064610886913,-0.680278596537967,unchanged
AZC3J_30,0.000028416387192197,0.000696408316906501,4.61513838285357,unchanged
AZC3J_31,0.00173326864570327,0.00161299655633455,-0.103751922040417,unchanged
AZC3J_32,0.00153529220292616,0.00269800034425836,0.813377271176789,unchanged
AZC3J_33,0.000457849949075664,0.000213506859449945,-1.10059244126015,unchanged
AZC3J_34,0.0188520713635103,0.0135685440265541,-0.47445712713883,unchanged
AZC3J_35,0.000198156580701897,0.0000476796649617783,-2.05519487609927,unchanged
AZC3J_36,0.00021034924386948,0.000380799002520362,0.856243067457787,unchanged
AZC3J_37,0.000197493100560067,0.000381545674097545,0.950053516157394,unchanged
AZC3J_38,0.0000157416977110536,0.0000119416873419438,-0.398584439468205,unchanged
AZC3J_39,0.00059275958096129,0.000358921441597472,-0.723778965788568,unchanged
AZC3J_3,0.000177551057706276,0.000236579659503855,0.414092085088882,unchanged
AZC3J_40,0.00000860815262084895,0.00000921030612119977,0.0975454508753099,unchanged
AZC3J_41,0.000164294688936446,0.0000130701556164551,-3.65193762041033,unchanged
AZC3J_42,0.0000251953516838232,0.0000408467737488144,0.697064538714006,unchanged
AZC3J_43,0.000385862401536741,0.000255245381396427,-0.596201618286776,unchanged
AZC3J_44,0.000791708599822804,0.0013557912991752,0.776093689745108,unchanged
AZC3J_45,0.00218697319214506,0.000295047942192221,-2.889914234551,unchanged
AZC3J_46,0.00386499439858592,0.0018264461800381,-1.08142708092499,unchanged
AZC3J_47,0.000625412663098942,0.000578685562750763,-0.112028778957687,unchanged
AZC3J_48,0.000119897358056999,0.0000564883259157565,-1.08577521845453,unchanged
AZC3J_49,0.00636365329995601,0.00667114514562813,0.0680791927699538,unchanged
AZC3J_4,0.000081034600812251,0.0000459600080388982,-0.818159002873369,unchanged
AZC3J_50,0.0000234325040041798,0.0000173595845030858,-0.432778711565821,unchanged
AZC3J_51,0.000118758826945939,0.0000282647617367243,-2.07095830743996,unchanged
AZC3J_52,0.000000259841629279721,0.000279218671110604,10.069547117437,unchanged
AZC3J_53,0.000909749739909758,0.000313338595194636,-1.53774725031684,unchanged
AZC3J_54,0.00000299556784220085,0.0000223779633427598,2.90117732765287,unchanged
AZC3J_55,0.00348855662776071,0.0000174330707361994,-7.64465972768864,unchanged
AZC3J_56,0.00319143140539762,0.0058457621813277,0.873187498523956,unchanged
AZC3J_57,0.00122088259459484,0.000661592756192378,-0.883909127558294,unchanged
AZC3J_58,0.000242610494757449,0.00242012107744205,3.31836536211011,unchanged
AZC3J_59,0.00401016741625507,0.00152591276694199,-1.39398997864779,unchanged
AZC3J_5,0.0000932240879296087,0.000275690211133218,1.56427336044788,unchanged
AZC3J_60,0.00356595358212338,0.00121812694997889,-1.54962342862815,unchanged
AZC3J_61,0.00108454822876699,0.000881839086902658,-0.298506879696266,unchanged
AZC3J_62,0.000497030879548409,0.000352368278615163,-0.496251432555576,unchanged
AZC3J_63,0.000562735335752916,0.00019164926172706,-1.55398811657957,unchanged
AZC3J_64,0.00514486866625169,0.0120063633154684,1.22259307520684,unchanged
AZC3J_65,0.00065502654582971,0.000612361203992742,-0.0971704908762743,unchanged
AZC3J_66,0.000261398693630878,0.000202034073340824,-0.371653305004528,unchanged
AZC3J_67,0.000874713538581103,0.000366355520108732,-1.25556626981622,unchanged
AZC3J_68,0.000461270471674136,0.000267632508007993,-0.785359577221317,unchanged
AZC3J_69,0.0011220464373751,0.000625984049544128,-0.841934583035548,unchanged
AZC3J_6,0.0119756760223247,0.00592875700191788,-1.01430552558777,unchanged
AZC3J_70,0.000789857436395839,0.000450739804678203,-0.809297421090246,unchanged
AZC3J_71,0.00113265007620331,0.0000909612629440362,-3.63830612454365,unchanged
AZC3J_72,0.000867493337580642,0.000278375992274802,-1.639817882191,unchanged
AZC3J_73,0.00142193038434677,0.00146718616395948,0.0452011046029113,unchanged
AZC3J_74,0.0542122502627736,0.00687419023663326,-2.97935720952361,depleted
AZC3J_75,0.000732574731372499,0.000252320254152803,-1.537719920753,unchanged
AZC3J_76,0.000148280473326244,0.00174833065643981,3.55957753253457,unchanged
AZC3J_77,0.000759164633363979,0.000623952206755713,-0.282977257832067,unchanged
