index,score,group,family,module_category,module,percentage
68,22.18,AZC3J,Muribaculaceae,Energy metabolism,M00169,0.15062166962699822
69,22.18,AZC3J,Muribaculaceae,Amino acid metabolism,M00621,0.15950266429840143
70,22.18,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00115,0.16873889875666073
71,22.18,AZC3J,Muribaculaceae,Nucleotide metabolism,M00052,0.17406749555950266
72,22.18,AZC3J,Muribaculaceae,Biosynthesis of terpenoids and polyketides,M00793,0.1847246891651865
73,22.18,AZC3J,Muribaculaceae,Gene set,M00627,0.1936056838365897
74,22.18,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00123,0.20461811722912968
75,22.18,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00577,0.20461811722912968
76,22.18,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00741,0.21314387211367672
77,22.18,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00119,0.22095914742451153
78,22.18,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00011,0.22095914742451153
79,22.18,AZC3J,Muribaculaceae,Glycan metabolism,M00063,0.230550621669627
80,22.18,AZC3J,Muribaculaceae,Energy metabolism,M00167,0.2344582593250444
81,22.18,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00950,0.2344582593250444
82,22.18,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00124,0.24014209591474245
83,22.18,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00552,0.24014209591474245
84,21.95,AZC3J,Muribaculaceae,Amino acid metabolism,M00022,0.014209591474245116
85,21.95,AZC3J,Muribaculaceae,Lipid metabolism,M00082,0.020959147424511545
86,21.95,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00120,0.030905861456483125
87,21.95,AZC3J,Muribaculaceae,Energy metabolism,M00166,0.035879218472468916
88,21.95,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00899,0.04049733570159858
89,21.95,AZC3J,Muribaculaceae,Energy metabolism,M00345,0.045115452930728245
90,21.95,AZC3J,Muribaculaceae,Nucleotide metabolism,M00051,0.06465364120781528
91,21.95,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00003,0.07708703374777975
92,21.95,AZC3J,Muribaculaceae,Nucleotide metabolism,M00048,0.10230905861456484
93,21.95,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00549,0.10905861456483126
94,21.95,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00855,0.11616341030195382
95,21.95,AZC3J,Muribaculaceae,Energy metabolism,M00173,0.14813499111900533
96,21.95,AZC3J,Muribaculaceae,Energy metabolism,M00169,0.15062166962699822
97,21.95,AZC3J,Muribaculaceae,Amino acid metabolism,M00621,0.15950266429840143
98,21.95,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00115,0.16873889875666073
99,21.95,AZC3J,Muribaculaceae,Nucleotide metabolism,M00052,0.17406749555950266
100,21.95,AZC3J,Muribaculaceae,Biosynthesis of terpenoids and polyketides,M00793,0.1847246891651865
101,21.95,AZC3J,Muribaculaceae,Gene set,M00627,0.1936056838365897
102,21.95,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00123,0.20461811722912968
103,21.95,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00577,0.20461811722912968
104,21.95,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00741,0.21314387211367672
105,21.95,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00119,0.22095914742451153
106,21.95,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00011,0.22095914742451153
107,21.95,AZC3J,Muribaculaceae,Glycan metabolism,M00063,0.230550621669627
