,id,sample_id,abundance,abundance_normalized,domain,phylum,class,order,family,genus,species
39,AZC3J_10,sample_15,34161,30387.67153532003,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,
40,AZC3J_11,sample_1,1117,2073.477193362109,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,,
41,AZC3J_11,sample_5,574,1065.5111092120417,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,,
42,AZC3J_11,sample_9,553,1026.5289954603816,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,,
43,AZC3J_11,sample_15,773,1434.9130442872963,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,,
44,AZC3J_12,sample_1,25,42.85823395340637,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-269,
45,AZC3J_12,sample_5,64,109.7170789207203,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-269,
46,AZC3J_12,sample_9,653,1119.4570708629744,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-269,
47,AZC3J_12,sample_15,102,174.861594529898,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-269,
48,AZC3J_13,sample_1,29,41.79306846727787,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,,
49,AZC3J_13,sample_5,35,50.439910219128464,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,,
50,AZC3J_13,sample_9,289,416.4895443808036,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,,
51,AZC3J_13,sample_15,182,262.287533139468,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,,
52,AZC3J_14,sample_1,9904,17619.67969437333,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-552,,
53,AZC3J_14,sample_5,6472,11513.991011912782,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-552,,
54,AZC3J_14,sample_9,4954,8813.397940824463,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-552,,
55,AZC3J_14,sample_15,3364,5984.7134987754325,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-552,,
56,AZC3J_15,sample_1,2400,2286.2172577113074,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,,
57,AZC3J_15,sample_5,2328,2217.6307399799684,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,,
58,AZC3J_15,sample_9,1375,1309.81197056377,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,,
59,AZC3J_15,sample_15,2880,2743.4607092535693,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,,
60,AZC3J_16,sample_1,8001,4657.592808260257,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,
