gene,postFMT_2_jejunum
gene_4420132,1579
gene_3209101,1577
gene_3762565,1573
gene_3701764,1570
gene_2953684,1564
gene_2905495,1563
gene_4375746,1557
gene_3934547,1557
gene_3536024,1554
gene_2736174,1552
gene_3534785,1547
gene_4263639,1545
gene_4118449,1545
gene_4315453,1543
gene_4403355,1541
gene_4220068,1540
gene_4534171,1536
gene_4032535,1532
gene_4483277,1531
gene_3758893,1531
gene_3896904,1529
gene_3391546,1527
gene_3913077,1527
gene_4065008,1524
gene_3032996,1522
gene_3969514,1522
gene_4542301,1521
gene_4317122,1520
gene_4108300,1519
gene_3208292,1517
gene_3992728,1515
gene_4485092,1514
gene_4329657,1513
gene_3277055,1510
gene_3767204,1510
gene_4257777,1508
gene_3008714,1508
gene_4009535,1505
gene_3572156,1505
gene_3377575,1504
gene_3545078,1502
gene_3638660,1502
gene_4036360,1501
gene_4160447,1500
gene_3746756,1493
gene_2933446,1492
gene_2902355,1492
gene_3159664,1492
gene_3646316,1487
gene_4502224,1478
gene_4222121,1474
gene_4434951,1473
gene_3685730,1466
gene_2986687,1466
gene_3241815,1465
gene_3230397,1464
gene_3128801,1464
gene_2736075,1462
gene_3929361,1457
gene_2476697,1456
gene_4050456,1455
gene_4433565,1455
gene_4500981,1453
gene_2839179,1450
gene_3742710,1447
gene_3587112,1446
gene_4265317,1446
gene_4544228,1445
gene_4604030,1443
gene_3314169,1440
gene_3918469,1437
gene_3314902,1436
gene_4520153,1436
gene_4566746,1435
gene_2596772,1434
gene_4573738,1434
gene_3433147,1432
gene_4169428,1430
gene_3867818,1428
gene_3221436,1426
gene_4216838,1423
gene_4383681,1423
gene_4250014,1420
gene_3651666,1419
gene_4044582,1416
gene_4209155,1416
gene_2677191,1414
gene_4591505,1413
gene_3247777,1413
gene_3970794,1413
gene_4580872,1410
gene_4151035,1409
gene_4603222,1407
gene_3154619,1398
gene_4353641,1398
gene_3992708,1397
gene_3880524,1395
gene_3875564,1394
gene_2855783,1392
gene_4019895,1391
gene_3412541,1388
gene_1873664,1388
gene_4394211,1388
gene_4422374,1386
gene_4474935,1381
gene_2115899,1379
gene_3675602,1375
gene_3049061,1374
gene_4085699,1373
gene_3203715,1373
gene_4466754,1367
gene_4437273,1364
gene_3780972,1363
gene_3178395,1361
gene_4626142,1357
gene_3977405,1357
gene_3986867,1356
gene_4139158,1348
gene_4426549,1347
gene_4040747,1344
gene_3343755,1341
gene_3940284,1341
gene_3217843,1340
gene_4158416,1336
gene_3385642,1335
gene_3511474,1333
gene_4562190,1333
gene_3935885,1331
gene_3824923,1330
gene_4629454,1329
gene_4021958,1326
gene_3598423,1324
gene_3996218,1324
gene_4222118,1321
gene_4616863,1321
gene_3331940,1321
gene_3902442,1315
gene_3474526,1314
gene_4157882,1313
gene_4474926,1313
gene_3596412,1311
gene_3361261,1309
gene_4485091,1308
gene_4471536,1308
gene_3913538,1307
gene_3656140,1306
gene_3784095,1304
gene_4615338,1304
gene_4241412,1303
gene_3635121,1298
gene_3573521,1295
gene_3978143,1291
gene_4416358,1291
gene_3589527,1288
gene_4632783,1285
gene_4346760,1285
gene_3393630,1284
gene_3991949,1282
gene_4497719,1282
gene_4383761,1281
gene_4604285,1281
gene_3992196,1280
gene_4625580,1278
gene_4051738,1277
gene_3986654,1275
gene_4088307,1274
gene_3302001,1274
gene_4509529,1273
gene_4624028,1270
gene_3414630,1270
gene_3461831,1267
gene_3211338,1264
gene_4483988,1264
gene_3544107,1260
gene_3520790,1260
gene_3684198,1259
gene_3256291,1259
gene_4611458,1258
gene_4467509,1258
gene_4317560,1252
gene_4217315,1248
gene_4395000,1248
gene_3789039,1247
gene_3544564,1244
gene_3217844,1243
gene_4172081,1243
gene_4494409,1238
gene_4310092,1237
gene_4557870,1236
gene_2481200,1236
gene_3885384,1231
gene_3110449,1230
gene_3924911,1225
gene_4096662,1223
gene_4634916,1221
gene_4304251,1219
gene_4540508,1218
gene_4183762,1217
gene_3823488,1217
gene_2876811,1215
gene_4609966,1212
gene_3945907,1209
gene_3998040,1207
gene_4517282,1207
gene_4628276,1207
gene_4214772,1205
gene_3087960,1205
gene_3831705,1200
gene_3249762,1200
gene_4070299,1198
gene_3470408,1193
gene_4304252,1193
gene_3675601,1188
gene_4499699,1185
