gene,postFMT_4_ileum
gene_4279215,6320
gene_3968139,6306
gene_3213901,6305
gene_3967408,6299
gene_3209101,6292
gene_1958653,6284
gene_3377575,6280
gene_4483277,6254
gene_4420132,6245
gene_4317122,6235
gene_3876445,6229
gene_4403355,6210
gene_4044965,6204
gene_4443786,6200
gene_2933446,6192
gene_4315453,6176
gene_2736075,6173
gene_4118449,6169
gene_4065008,6166
gene_3762565,6159
gene_3536024,6146
gene_3391546,6145
gene_4375746,6143
gene_3913077,6139
gene_4529292,6134
gene_3277055,6121
gene_3896904,6089
gene_3032996,6086
gene_3646316,6079
gene_4534171,6072
gene_4250014,6050
gene_4566746,6049
gene_3701764,6030
gene_3208292,6024
gene_3314169,6019
gene_4160447,6018
gene_3969514,6005
gene_3992728,6004
gene_3159664,5984
gene_4604030,5975
gene_3433147,5972
gene_4220068,5971
gene_3758893,5969
gene_3008714,5945
gene_4500981,5943
gene_4434951,5934
gene_3545078,5932
gene_3746756,5932
gene_2476697,5931
gene_3128801,5918
gene_4108300,5913
gene_2986687,5912
gene_4036360,5901
gene_3742710,5880
gene_4485092,5879
gene_4209155,5873
gene_2839179,5864
gene_4573738,5862
gene_3767204,5854
gene_4222121,5848
gene_3780972,5833
gene_4009535,5826
gene_3638660,5811
gene_4265317,5811
gene_4520153,5806
gene_4544228,5799
gene_4502224,5789
gene_4474935,5784
gene_3685730,5782
gene_3572156,5757
gene_4383681,5755
gene_3314902,5752
gene_4257777,5748
gene_4433565,5748
gene_3918469,5737
gene_4422374,5729
gene_1873664,5701
gene_4580872,5698
gene_3867818,5697
gene_3587112,5693
gene_4169428,5690
gene_3154619,5689
gene_4394211,5658
gene_3230397,5649
gene_3241815,5641
gene_3247777,5629
gene_4626142,5626
gene_2902355,5624
gene_3049061,5619
gene_3992708,5614
gene_2596772,5608
gene_4591505,5597
gene_4050456,5596
gene_3221436,5572
gene_3929361,5567
gene_3203715,5549
gene_3675602,5549
gene_4044582,5548
gene_3940284,5543
gene_2855783,5543
gene_3977405,5543
gene_4437273,5531
gene_4616863,5529
gene_4353641,5525
gene_4151035,5525
gene_4426549,5522
gene_2677191,5518
gene_3651666,5513
gene_3996218,5495
gene_3875564,5488
gene_4216838,5480
gene_4557870,5474
gene_4222118,5470
gene_3412541,5457
gene_3970794,5452
gene_4158416,5447
gene_3598423,5445
gene_3986867,5428
gene_3343755,5422
gene_4603222,5419
gene_4383761,5412
gene_3361261,5409
gene_4021958,5396
gene_3511474,5380
gene_4019895,5375
gene_4466754,5374
gene_3880524,5371
gene_4157882,5370
gene_3178395,5368
gene_4629454,5359
gene_4509529,5354
gene_2115899,5338
gene_4562190,5326
gene_4485091,5308
gene_3596412,5300
gene_4474926,5297
gene_4317560,5290
gene_4085699,5287
gene_4040747,5280
gene_3784095,5278
gene_3331940,5252
gene_3635121,5246
gene_4615338,5223
gene_4139158,5212
gene_3385642,5210
gene_4088307,5199
gene_3544564,5175
gene_3902442,5174
gene_4604285,5173
gene_3474526,5173
gene_3217843,5162
gene_3589527,5157
gene_4632783,5156
gene_3935885,5147
gene_3913538,5144
gene_3461831,5134
gene_3414630,5131
gene_3992196,5103
gene_4416358,5099
gene_3684198,5095
gene_3991949,5084
gene_4172081,5082
gene_3824923,5082
gene_3393630,5074
gene_3986654,5074
gene_3211338,5063
gene_4611458,5050
gene_3520790,5044
gene_3978143,5043
gene_3110449,5028
gene_3656140,5027
gene_3573521,5025
gene_4241412,5012
gene_4183762,5010
gene_4249474,5004
gene_4483988,4997
gene_4517282,4997
gene_3789039,4988
gene_4346760,4982
gene_4467509,4976
gene_3998040,4971
gene_3256291,4956
gene_3247778,4951
gene_3217844,4951
gene_4497719,4924
gene_2876811,4922
gene_3823488,4920
gene_4471536,4915
gene_4051738,4911
gene_4067681,4908
gene_4625580,4906
gene_4395000,4891
gene_4624028,4891
gene_4310092,4889
gene_3302001,4874
gene_4494409,4873
gene_4540508,4863
gene_3470408,4855
gene_3924911,4851
gene_2507054,4841
gene_3544107,4839
gene_3980224,4834
gene_4096662,4829
gene_4634916,4825
gene_4009128,4825
gene_3892935,4820
gene_4542711,4813
gene_4465933,4804
gene_4217315,4803
gene_4160203,4802
gene_3831705,4787
gene_2481200,4785
gene_4070299,4784
gene_4523717,4778
gene_4513576,4764
gene_3885384,4764
gene_4628276,4762
gene_4214772,4761
gene_4090523,4752
gene_3419734,4749
gene_4304251,4734
gene_3945907,4733
gene_2347056,4733
gene_3087960,4730
gene_4073625,4716
gene_3675601,4713
gene_3782836,4713
gene_4499699,4711
gene_2794975,4703
gene_3930336,4702
gene_4146198,4694
gene_3740383,4683
gene_3870295,4683
