gene,postFMT_4_ileum
gene_3944732,11
gene_4148515,11
gene_3422587,11
gene_4432531,11
gene_2612008,11
gene_3240612,11
gene_4185004,11
gene_3724201,11
gene_4162431,11
gene_3908036,11
gene_4612256,11
gene_2485703,11
gene_3295363,11
gene_2998660,11
gene_3543902,11
gene_3922395,11
gene_4550013,11
gene_3745531,11
gene_3428957,11
gene_4391996,11
gene_4406824,11
gene_3428454,11
gene_4051330,11
gene_4147303,11
gene_4444177,11
gene_3896246,11
gene_3723818,11
gene_4340537,11
gene_2868919,11
gene_3241231,11
gene_2867061,11
gene_2152436,11
gene_4207382,11
gene_3876291,11
gene_4455479,11
gene_4407823,11
gene_3066959,11
gene_4599350,11
gene_3364256,11
gene_3668118,11
gene_3464075,11
gene_3024452,11
gene_3298989,11
gene_3738713,11
gene_3841678,11
gene_4574293,11
gene_4046916,11
gene_2693904,11
gene_2501187,11
gene_4609363,11
gene_3420990,11
gene_3872753,11
gene_4299393,11
gene_2885456,11
gene_4493785,11
gene_2642983,11
gene_4336916,11
gene_4424126,11
gene_3197066,11
gene_1142549,11
gene_3796860,11
gene_3218082,11
gene_3584855,11
gene_3315808,11
gene_3152402,11
gene_3850745,11
gene_2846639,11
gene_4382110,11
gene_3849763,11
gene_4605309,11
gene_3298861,11
gene_3166147,11
gene_3404150,11
gene_2845446,11
gene_4372878,11
gene_3262389,11
gene_4166938,11
gene_3639238,11
gene_4591245,11
gene_4368658,11
gene_4367852,11
gene_2822604,11
gene_3749427,11
gene_2910653,11
gene_4544621,11
gene_4034482,11
gene_2915184,11
gene_4321579,11
gene_3912424,11
gene_3646685,11
gene_4432078,11
gene_4235193,11
4-1_GL0047969,11
gene_3285604,11
gene_3553281,11
gene_4011639,11
gene_2101346,11
gene_4297397,11
gene_4396518,11
gene_2739424,11
gene_4108374,11
gene_4434861,11
gene_4054341,11
gene_4356240,11
gene_4511988,11
gene_4384999,11
gene_2465656,11
gene_4278548,11
gene_3804453,11
gene_4013854,11
gene_2823710,11
gene_3388004,11
gene_2638523,11
gene_4121696,11
gene_3738521,11
gene_3279511,11
gene_4324156,11
gene_3350639,11
gene_3957796,11
gene_4355662,11
gene_3832514,11
gene_3646398,11
gene_4041616,11
gene_3985323,11
gene_4350334,11
gene_3804455,11
gene_3084531,11
gene_4266885,11
gene_4091017,11
gene_4604113,11
gene_3590578,11
gene_4360500,11
gene_3144833,11
gene_3698634,11
gene_3138360,11
gene_3430881,11
gene_3397930,11
gene_2974350,11
gene_3655332,11
gene_2571941,11
gene_4057461,11
gene_3576828,11
gene_4342095,11
gene_2973665,11
gene_3237443,11
gene_3954096,11
gene_3186316,11
gene_3820522,11
gene_3058473,11
gene_3826478,11
gene_3604303,11
gene_2513612,11
gene_4265742,11
gene_3665368,11
gene_4479246,11
gene_4461825,11
gene_3782150,11
gene_4135290,11
gene_3146508,11
gene_3840706,11
gene_3653296,11
gene_4195469,11
gene_3538503,11
gene_4313881,11
gene_2267526,11
gene_4406409,11
gene_4605284,11
gene_2598026,11
gene_4026264,11
gene_4260857,11
gene_4301319,11
gene_3198194,11
gene_2912023,11
gene_4397937,11
gene_4265312,11
gene_3945349,11
gene_4286386,11
gene_4546847,11
gene_4484132,11
gene_3667765,11
gene_3326942,11
gene_4027162,11
gene_4051603,11
gene_4418093,11
gene_4568868,11
gene_4265556,11
gene_4281767,11
gene_3682339,11
gene_4291558,11
gene_2634156,11
gene_4171300,11
gene_4098837,11
gene_3794272,11
gene_4542120,11
gene_3284039,11
gene_3260642,11
gene_3832595,11
gene_4511322,11
gene_3394604,11
gene_2959810,11
gene_4443335,11
gene_2002964,11
gene_3322104,11
gene_3242813,11
gene_4070584,11
gene_3098341,11
gene_3312271,11
gene_3575391,11
gene_4279968,11
gene_4255703,11
gene_3256176,11
gene_3005670,11
gene_2842467,11
gene_3708081,11
gene_4439045,11
gene_4565329,11
gene_4616757,11
gene_3822664,11
gene_2658475,11
gene_4188338,11
gene_3024864,11
gene_3357530,11
gene_4036240,11
gene_3410861,11
gene_4431184,11
gene_4035752,11
gene_3725022,11
gene_2548136,11
gene_3762318,11
gene_3263345,11
gene_3948142,11
gene_3896474,11
gene_4006360,11
gene_3805440,11
gene_3246016,11
gene_4151528,11
gene_2785822,11
gene_2469175,11
gene_3401982,11
gene_4466264,11
gene_2961987,11
gene_2248628,11
gene_3424579,11
gene_4056614,11
gene_4127063,10
gene_3000467,10
gene_3956216,10
gene_4327541,10
gene_4578071,10
gene_3275381,10
gene_4300631,10
gene_4424368,10
gene_4462699,10
gene_3940138,10
gene_2695787,10
gene_4399678,10
gene_3204872,10
gene_2742206,10
gene_3129181,10
gene_4569357,10
gene_2547471,10
gene_3845558,10
gene_2121674,10
gene_4611559,10
gene_3533169,10
gene_3837408,10
gene_3397966,10
gene_4362484,10
gene_4163355,10
gene_4446694,10
gene_3678197,10
gene_2741016,10
gene_4151512,10
gene_3520316,10
gene_4065460,10
gene_3694631,10
gene_3070218,10
gene_2383344,10
gene_3990006,10
gene_2672381,10
gene_3211292,10
gene_4475610,10
gene_4448662,10
gene_3941144,10
gene_3849377,10
gene_3000778,10
gene_4288321,10
gene_2452210,10
gene_3623035,10
gene_4376688,10
gene_2540448,10
gene_2434392,10
gene_4440204,10
gene_2928414,10
gene_3410708,10
gene_3606340,10
gene_2050342,10
gene_2333982,10
gene_3987664,10
gene_3038274,10
gene_3605313,10
gene_2148559,10
gene_3865749,10
gene_4460600,10
gene_4029175,10
gene_4166332,10
gene_2997624,10
gene_3836592,10
gene_3890631,10
gene_3940626,10
gene_3377500,10
gene_4619971,10
gene_4298040,10
gene_2949169,10
gene_4278340,10
gene_4075402,10
gene_3915970,10
gene_3473972,10
gene_4522431,10
gene_4580251,10
gene_3174713,10
gene_3951537,10
gene_4378949,10
gene_4192226,10
gene_4042472,10
gene_4426676,10
gene_3581496,10
gene_4562911,10
gene_4408819,10
gene_3494141,10
gene_4383140,10
gene_4456004,10
gene_3782100,10
gene_4630970,10
gene_4578558,10
gene_3087962,10
gene_4163023,10
gene_3781400,10
gene_4139911,10
gene_4238511,10
gene_4138042,10
gene_3074487,10
gene_2935732,10
gene_4218834,10
gene_4409101,10
gene_4189945,10
gene_4454006,10
gene_3222532,10
gene_4490953,10
gene_4150002,10
gene_3834973,10
gene_2708245,10
gene_3257037,10
gene_3145740,10
gene_2537947,10
gene_3203934,10
gene_4629996,10
gene_2557883,10
gene_3345541,10
gene_2292867,10
gene_3690493,10
gene_4356042,10
gene_3731844,10
gene_2704368,10
gene_3153404,10
gene_3931248,10
gene_3125398,10
gene_4166957,10
gene_4032784,10
gene_3836992,10
gene_3538220,10
gene_3089362,10
gene_3232677,10
gene_2193535,10
gene_4498098,10
gene_3134653,10
gene_3753544,10
gene_3558877,10
gene_2914517,10
gene_4070296,10
gene_3647721,10
gene_4072045,10
gene_4564289,10
gene_2143144,10
gene_3670444,10
gene_2476123,10
gene_3090494,10
gene_3956448,10
gene_4538281,10
gene_4089058,10
gene_4299706,10
gene_3951217,10
gene_3667905,10
gene_3640158,10
gene_2961024,10
gene_4301054,10
gene_4162013,10
gene_4506435,10
gene_3375444,10
gene_3381338,10
gene_3089623,10
gene_4110839,10
gene_2888393,10
gene_4251624,10
gene_4450687,10
gene_4234494,10
gene_3253710,10
gene_3735041,10
gene_4538262,10
gene_4487749,10
gene_4165813,10
gene_4473366,10
gene_2539010,10
gene_3789480,10
gene_4423979,10
gene_3307682,10
gene_2493170,10
gene_4347327,10
gene_3263043,10
gene_3016963,10
gene_3162585,10
gene_3554484,10
gene_4203757,10
gene_4495268,10
gene_3273082,10
gene_4638730,10
gene_2132719,10
gene_3168514,10
gene_3855535,10
gene_3136665,10
gene_3409837,10
gene_4425840,10
gene_4046220,10
gene_3448876,10
gene_4158282,10
gene_3841058,10
gene_4214913,10
gene_3800181,10
gene_4073259,10
gene_4238194,10
gene_3767994,10
gene_4186305,10
gene_4570187,10
gene_3788122,10
gene_2842889,10
gene_3710903,10
gene_4406780,10
gene_4281973,10
gene_4212393,10
gene_2638433,10
gene_3734922,10
gene_3300405,10
gene_3178493,10
gene_2656258,10
gene_3725567,10
gene_3895318,10
gene_3658576,10
gene_4184479,10
gene_2077035,10
gene_3845736,10
gene_3321082,10
gene_3493676,10
gene_4457625,10
gene_2173044,10
gene_4278411,10
gene_2962617,10
gene_3600496,10
gene_2675605,10
gene_4000597,10
gene_3472267,10
gene_3643418,10
gene_4245210,10
gene_3929237,10
gene_3122039,10
gene_2626347,10
gene_3253523,10
gene_4589809,10
gene_3587332,10
gene_3648247,10
gene_4171424,10
gene_2366897,10
gene_4418136,10
gene_3845052,10
gene_3661470,10
gene_4000101,10
gene_4615396,10
gene_4122435,10
gene_3360876,10
gene_2669412,10
gene_3507945,10
gene_3127431,10
gene_4254051,10
gene_4480337,10
gene_3351358,10
gene_3848855,10
gene_4447609,10
gene_4589645,10
gene_3700345,10
gene_4420096,10
gene_2692402,10
gene_3568166,10
gene_3712022,10
gene_3240092,10
gene_4167191,10
gene_3449054,10
gene_3306799,10
gene_4082542,10
gene_4479756,10
gene_4158320,10
gene_4517386,10
gene_4303183,10
gene_4505493,10
gene_4032791,10
gene_4036364,10
gene_2694983,10
gene_3846502,10
gene_4491223,10
gene_3565340,10
gene_3992060,10
gene_3741103,10
gene_2286049,10
gene_3445221,10
gene_4076805,10
gene_3547932,10
gene_4063122,10
gene_4352019,10
gene_3987780,10
gene_3768632,10
gene_3444466,10
gene_3601100,10
gene_4513103,10
gene_4461987,10
gene_3589986,10
gene_3377323,10
gene_3588033,10
gene_3324598,10
gene_4616851,10
gene_3266196,10
gene_2772628,10
gene_3332918,10
gene_3605775,10
gene_3918467,10
gene_3100769,10
gene_4374133,10
gene_3202896,10
gene_4239991,10
gene_4400734,10
gene_3299156,10
gene_2696313,10
gene_4616488,10
gene_3552114,10
gene_3308814,10
gene_3750146,10
gene_4353375,10
gene_4026737,10
gene_2224809,10
gene_3252835,10
gene_3931367,10
gene_2673708,10
gene_3518630,10
gene_3729395,10
gene_2786407,10
gene_3361650,10
gene_2884861,10
gene_3315411,10
gene_3350049,10
gene_4212497,10
gene_3801552,10
gene_3455592,10
gene_3548011,10
gene_4281765,10
gene_3305751,10
gene_3232676,10
gene_2913936,10
gene_2936406,10
gene_3527816,10
gene_3918052,10
gene_3187540,10
gene_4548278,10
gene_4052200,10
gene_3215436,10
gene_2884623,10
gene_2981378,10
gene_4561296,10
gene_2933530,10
gene_3907358,10
gene_2702443,10
gene_2999632,10
gene_3348318,10
gene_4342841,10
gene_4565279,10
gene_3263754,10
gene_2843081,10
gene_4184305,10
gene_4556383,10
gene_2962200,10
gene_4524660,10
gene_4028918,10
gene_3081703,10
gene_3491680,10
gene_4402640,10
gene_4202306,10
gene_3437320,10
gene_2628068,10
gene_4142946,10
gene_3370643,10
gene_3510410,10
gene_3180539,10
gene_3885497,10
gene_2933307,10
gene_3128519,10
gene_4388622,10
gene_3574009,10
gene_4401638,10
gene_4051396,10
gene_2408434,10
gene_4293142,10
gene_3652531,10
gene_4142293,10
gene_4621443,10
gene_4469562,10
gene_3367423,10
gene_2816159,10
gene_3240925,10
gene_2439728,10
gene_3786331,10
gene_3947461,10
gene_3902249,10
gene_4325207,10
gene_3226819,10
gene_4354263,10
gene_3447336,10
gene_3779269,10
gene_4075205,10
gene_4233933,10
gene_4629395,10
gene_3505002,10
gene_4113790,10
gene_3132900,10
gene_4341512,10
gene_4478912,10
gene_4572518,10
gene_2680592,10
gene_2087245,10
gene_4477636,10
gene_3227125,10
gene_3604630,10
gene_3995393,10
gene_2977507,10
gene_4626673,10
gene_3872153,10
gene_4518762,10
gene_3802358,10
gene_4460232,10
gene_4207421,10
gene_3115760,10
gene_2723750,10
gene_3687436,10
gene_4181978,10
gene_3898787,10
gene_4340080,10
gene_3729467,10
gene_3886806,10
gene_3780411,10
gene_3855592,10
gene_4535997,10
gene_4113207,10
gene_2918636,10
gene_4530538,10
gene_4378588,10
gene_4540565,10
gene_2808249,10
gene_3370331,10
gene_4454580,10
gene_4324733,10
gene_4248212,10
gene_4004106,10
gene_4278410,10
gene_3213854,10
gene_3096025,10
gene_3602966,10
gene_3494140,10
gene_4190885,10
gene_3507046,10
gene_4429921,10
gene_2947105,10
gene_3166664,10
gene_2959025,10
gene_3347250,10
gene_3287813,10
gene_3169071,10
gene_4537057,10
gene_3356360,10
gene_4068481,10
gene_3344068,10
gene_4405591,10
gene_4618083,10
gene_3441496,10
gene_3154071,10
gene_4032245,10
gene_3319847,10
gene_4227273,10
gene_4178182,10
gene_2556512,10
gene_3361126,10
gene_3004561,10
gene_3357371,10
gene_3410791,10
gene_4045684,10
gene_2566496,10
gene_4326964,10
gene_3008749,10
gene_4329964,10
gene_2972950,10
gene_3902123,10
gene_4199462,10
gene_4481344,10
gene_4239551,10
gene_3985071,10
gene_4130770,10
gene_3823429,10
gene_4286246,10
gene_4536319,10
gene_4434562,10
gene_4422721,10
gene_3695936,10
gene_3417977,10
gene_2890738,10
gene_4343892,10
gene_3197048,10
gene_3991947,10
gene_4034248,10
gene_3380442,10
gene_3784007,10
gene_3434928,10
gene_3457467,10
gene_3565662,10
gene_2639376,10
gene_3270230,10
gene_4195470,10
gene_4638661,10
gene_4586577,10
gene_4530833,10
gene_4011805,10
gene_3328784,10
gene_4290279,10
gene_3513280,10
gene_4241696,10
gene_4554160,10
gene_3504430,10
gene_3094861,10
gene_3185662,10
gene_3965382,10
gene_3820729,10
gene_4132629,10
gene_4399971,10
gene_3835718,10
gene_4138616,10
gene_4541510,10
gene_4129444,10
gene_3665998,10
gene_2564313,10
gene_3618053,10
gene_2621490,10
gene_2205590,10
gene_3901790,10
gene_2639008,10
gene_3448636,10
gene_3764930,10
gene_3009973,10
gene_3180707,10
gene_4431914,10
gene_4467942,10
gene_3239858,10
gene_4541814,10
gene_4232118,10
gene_4543491,10
gene_3643962,10
gene_4090424,10
gene_4112760,10
gene_3868442,10
gene_3458058,10
gene_3885221,10
gene_3787109,10
gene_3581831,10
gene_4492707,10
gene_4083678,10
gene_4186589,10
gene_1970703,10
gene_3138692,10
gene_2972383,10
gene_4310776,10
gene_4612089,10
gene_4323734,10
gene_4295692,10
gene_3304065,10
gene_4321108,10
gene_4551825,10
gene_4161404,10
gene_3822722,10
gene_3459599,10
gene_3938437,10
gene_2922880,10
gene_1869649,10
gene_4223519,10
gene_3409082,10
gene_3187677,10
gene_3307711,10
gene_4011382,10
gene_4028729,10
gene_2895144,10
gene_4305326,10
gene_3300672,10
gene_4562041,10
gene_3423131,10
gene_4479688,10
gene_3863167,10
gene_2874828,10
gene_3401633,10
gene_3763022,10
gene_3723054,10
gene_3977749,10
gene_4043108,10
gene_4029091,10
gene_2764736,10
gene_3889671,10
gene_3081918,10
gene_4130115,10
gene_3417608,10
gene_2953590,10
gene_4551346,10
gene_4410390,10
gene_4480177,10
gene_3705339,10
gene_3841559,10
gene_2945019,10
gene_4349056,10
gene_4198267,10
gene_2965087,10
gene_4180709,10
gene_3197532,10
gene_2718006,10
gene_2715322,10
gene_3388668,10
gene_3350854,10
gene_3945944,10
gene_2902777,10
gene_3414636,10
gene_3767681,10
gene_3512890,10
gene_3774257,10
gene_3907972,10
gene_3288897,10
gene_3808027,10
gene_4125202,10
gene_3084899,10
gene_3379608,10
gene_3157673,10
gene_4313999,10
gene_4190811,10
gene_3789826,10
gene_4140111,10
gene_3483304,10
gene_4034618,10
gene_4451568,10
gene_4529742,10
gene_3497530,10
gene_2495353,10
gene_3191254,10
gene_2317911,10
gene_3473063,10
gene_3695630,10
gene_4260816,10
gene_3140000,10
gene_4105186,10
gene_4455377,10
gene_4283685,10
gene_3431506,10
gene_4479277,10
gene_4201891,10
gene_4333179,10
gene_3196510,10
gene_4553215,10
gene_3515322,10
gene_4029988,10
gene_3232472,10
gene_2829484,10
gene_3838214,10
gene_3099000,10
gene_4043069,10
gene_4047367,10
gene_2656837,10
gene_3002566,10
gene_3696794,10
gene_4523051,10
gene_4248214,10
gene_3567712,10
gene_2505494,10
gene_2740169,10
gene_4032187,10
gene_4428492,10
gene_3763673,10
gene_3204595,10
gene_4311050,10
gene_4209415,10
gene_3476469,10
gene_3918875,10
gene_3749625,10
gene_4235917,10
gene_3665673,10
gene_3046038,10
gene_3942125,10
gene_1872673,10
gene_4309932,10
gene_4070819,10
gene_2779819,10
gene_3994315,10
gene_4375512,10
gene_3622713,10
gene_2827160,10
gene_2937484,10
gene_4417483,10
gene_3660469,10
gene_4328385,10
gene_3060320,10
gene_4354916,10
gene_2819189,10
gene_3425457,10
gene_3441086,10
gene_3503352,10
gene_3615849,10
gene_4007984,10
gene_4096262,10
gene_2330727,10
gene_3342607,10
gene_4518029,10
gene_2501445,10
gene_4559927,10
gene_4426903,10
gene_4073782,10
gene_4143188,10
gene_4243081,10
gene_2543540,10
gene_3640575,10
gene_3994150,10
gene_4062384,10
gene_2566453,10
gene_4309928,10
gene_3496593,10
gene_3285832,10
gene_3358376,10
gene_3986132,10
gene_1915558,10
gene_4396946,10
gene_3828481,10
gene_3969810,10
gene_3355821,10
gene_3985959,10
gene_2958059,10
gene_4144172,10
gene_2886981,10
gene_4065982,10
gene_3571551,10
gene_3664695,10
gene_4270158,10
gene_3808858,10
gene_4197018,10
gene_4449226,10
gene_3507455,10
gene_2946352,10
gene_4266793,10
gene_3491324,10
gene_3315305,10
gene_4402269,10
gene_4268522,10
gene_4243268,10
gene_3601915,10
gene_4158712,10
gene_4509965,10
gene_4046970,10
gene_1750020,10
gene_3605620,10
gene_3319021,10
gene_2897152,10
gene_3676706,10
gene_3192915,10
gene_4632266,10
gene_3764449,10
gene_2662506,10
gene_4485274,10
gene_3197313,10
gene_4362893,10
gene_3155393,10
gene_3981901,10
gene_3251293,10
gene_3647846,10
gene_3971789,10
gene_2776744,10
gene_2637268,10
gene_2701546,10
gene_3591335,10
gene_2728172,10
gene_3245469,10
gene_2812615,10
gene_3846110,10
gene_3731865,10
gene_3862790,10
gene_3855218,10
gene_4622641,10
gene_3292578,10
gene_4118078,10
gene_4356800,10
gene_4598181,10
gene_4508222,10
gene_4235918,10
gene_4553513,10
gene_3892655,10
gene_3030897,10
gene_3195567,10
gene_4346190,10
gene_3768976,10
gene_1911659,10
gene_4627468,10
gene_3112611,10
gene_2806534,10
gene_3286041,10
gene_3582357,10
gene_3585330,10
gene_4288722,10
gene_3672934,10
gene_3504976,10
gene_2930369,10
gene_3978556,10
gene_4005823,10
gene_4080128,10
gene_3908447,10
gene_4040180,10
gene_2743376,10
gene_3585819,10
gene_4240942,10
gene_4226543,10
gene_3261425,10
gene_3829690,10
gene_3749570,10
gene_2864993,10
gene_4571434,10
gene_3844826,10
gene_3023084,10
gene_4508134,10
gene_2984394,10
gene_2018680,10
gene_4026988,10
gene_3767622,10
gene_4378479,10
gene_2727069,10
gene_2837116,10
gene_2631945,10
gene_2192271,10
gene_3744313,10
gene_2625385,10
gene_3967435,10
gene_4512991,10
gene_2464361,10
gene_3939433,10
gene_4384612,10
gene_4021620,10
gene_3625583,10
gene_4419618,10
gene_3342899,10
gene_4009134,10
gene_4453187,10
gene_4286684,10
gene_4262447,10
gene_3027735,10
gene_4318859,10
gene_4261095,10
gene_2894075,10
gene_3871881,10
gene_4161738,10
gene_3357214,10
gene_3895366,10
gene_3394374,10
gene_4062411,10
gene_3223698,10
gene_3033512,10
gene_1673196,10
gene_3714424,10
gene_4191983,10
gene_4428823,10
gene_3571129,10
gene_3109990,10
gene_3212339,10
gene_4242686,10
gene_2763856,10
gene_3644906,10
gene_4346774,10
gene_4288404,10
gene_3955250,10
gene_3541486,10
gene_4367075,10
gene_4122101,10
gene_4477059,10
gene_4082621,10
gene_4462668,10
gene_3949403,10
gene_3232520,10
gene_2770240,10
gene_4185835,10
gene_2722750,10
gene_3717358,10
gene_2205873,10
gene_2651838,10
gene_4225025,10
gene_4516096,10
gene_3632026,10
gene_2139872,10
gene_3468294,10
gene_3661092,10
gene_4405981,10
gene_3812618,10
gene_3766711,10
gene_4233805,10
gene_3341642,10
gene_3529197,10
gene_4302987,10
gene_4472719,10
gene_4604617,10
gene_2777590,10
gene_2017567,10
gene_3053642,10
gene_4116639,10
gene_4313443,10
gene_3192197,10
gene_2987039,10
gene_2875025,10
gene_4449740,10
gene_4268968,10
gene_2408062,10
gene_4204668,10
gene_3837244,10
gene_4133053,10
gene_3315118,10
gene_4227827,10
gene_2119516,10
gene_2758404,10
gene_3574597,10
gene_2683511,10
gene_3166177,10
gene_3035592,10
gene_4094014,10
gene_4218660,10
gene_4470836,10
gene_2795407,10
gene_3594719,10
gene_4618206,10
gene_4300651,10
gene_3744208,10
gene_4340889,10
gene_2969025,10
gene_4270768,10
gene_3538160,10
gene_3782569,10
gene_2836116,10
gene_3774480,10
gene_2956264,10
gene_3391958,10
gene_3381512,10
gene_2948495,10
gene_3641384,10
gene_3826943,10
gene_4484623,10
gene_3786873,10
gene_4476515,10
gene_4233657,10
gene_4288274,10
gene_2947019,10
gene_4140901,10
gene_4049916,10
gene_3155423,10
gene_3456155,10
gene_4149089,10
gene_4272565,10
gene_4549448,10
gene_4540620,10
gene_3805620,10
gene_4558114,10
gene_3777010,10
gene_4443997,10
gene_4100102,10
gene_2218184,10
gene_3694946,10
gene_3783258,10
gene_3509824,10
gene_2739455,10
gene_3692025,10
gene_3520788,10
gene_4378203,10
gene_3433825,10
gene_4488797,10
gene_3145741,10
gene_3745383,10
gene_3426940,10
gene_3096076,10
gene_3665963,10
gene_4152320,10
gene_4609512,10
gene_4155073,10
gene_3173621,10
gene_4163036,10
gene_4370682,10
gene_3320382,10
gene_3932575,10
gene_3342980,10
gene_4223060,10
gene_4593456,10
gene_3517995,10
gene_3567696,10
gene_2287783,10
gene_4012249,10
gene_4492796,10
gene_4388943,10
gene_3052873,10
gene_4319199,10
gene_2133280,10
gene_3637997,10
gene_3143723,10
gene_3701635,10
gene_4280536,10
gene_4553985,10
gene_2052313,10
gene_3148201,10
gene_2987581,10
gene_4555693,10
gene_4306016,10
gene_3376165,10
gene_4429329,10
gene_4277484,10
gene_3264322,10
gene_3778533,10
gene_3506385,10
gene_3303488,10
gene_4611038,10
gene_3952837,10
gene_4479104,10
gene_3047284,10
gene_4173931,10
gene_2549355,10
gene_4301859,10
gene_4322314,10
gene_3964446,10
gene_4336871,10
gene_4633792,10
gene_3289872,10
gene_2362555,10
gene_3170903,10
gene_3482467,10
gene_3960324,10
gene_2681313,10
gene_4201668,10
gene_3813309,10
gene_3021590,10
gene_1950208,10
gene_2670701,10
gene_2771276,10
gene_4507528,10
gene_4278519,10
gene_3322508,10
gene_3721534,10
gene_4134545,10
gene_3621005,10
gene_2869536,10
gene_3270522,10
gene_2645795,10
gene_4396944,10
gene_4102113,10
gene_3676658,10
gene_3382277,10
gene_3963179,10
gene_3131263,10
gene_2639619,10
gene_3903670,10
gene_3176525,10
gene_3438188,10
gene_4489376,10
gene_3573609,10
gene_4065091,10
gene_3812757,10
gene_3133373,10
gene_4108079,10
gene_3630859,10
gene_3891901,10
gene_4243262,10
gene_2158014,10
gene_4044426,10
gene_3737450,10
gene_4453191,10
gene_4165614,10
gene_4018433,10
gene_4620816,10
gene_3274510,10
gene_3469644,10
gene_3770980,10
gene_2728212,10
gene_4411309,10
gene_2849555,10
gene_2746576,10
gene_4313300,10
gene_3837263,10
gene_3362888,10
gene_4586880,10
gene_3163039,10
gene_2948176,10
gene_3684433,10
gene_4044605,10
gene_2967882,10
gene_3305773,10
gene_4630680,10
gene_4579785,10
gene_4512046,10
gene_3432752,10
gene_4587315,10
gene_3784322,10
gene_4045734,10
gene_2850674,10
gene_3679562,10
gene_4254604,10
gene_3540288,10
gene_4122295,10
gene_3942790,10
gene_3474372,10
gene_2704932,10
gene_2919565,10
gene_3207600,10
gene_2796219,10
gene_3187926,10
gene_3157604,10
gene_3438111,10
gene_3105988,10
gene_4148908,10
gene_3875300,10
gene_4303105,10
gene_3228613,10
gene_3615373,10
gene_3023621,10
gene_2787277,10
gene_2695763,10
gene_4429564,10
gene_3305675,10
gene_4621560,10
gene_2428273,10
gene_1664693,10
gene_3045347,10
gene_3167219,10
gene_4261395,10
gene_3813026,10
gene_4491314,10
gene_3268465,10
gene_4136941,10
gene_4603972,10
gene_3782151,10
gene_2861057,10
gene_3837973,10
gene_3754057,10
gene_2997175,10
gene_2956066,10
gene_3821576,9
gene_3510954,9
gene_4147817,9
gene_4494232,9
gene_4360389,9
gene_3344258,9
gene_2950380,9
gene_3484998,9
gene_3664457,9
gene_2576748,9
gene_2959968,9
gene_3024594,9
gene_2348696,9
gene_3981604,9
gene_3805779,9
gene_2222556,9
gene_4480997,9
gene_4478483,9
gene_2900973,9
gene_3693201,9
gene_4632868,9
gene_2835893,9
gene_3219857,9
gene_4602886,9
gene_2858523,9
gene_4471009,9
gene_4388608,9
gene_2870582,9
gene_3826802,9
gene_4623555,9
gene_4461666,9
gene_3433513,9
gene_3999070,9
gene_4526666,9
gene_3786812,9
gene_2808647,9
gene_4166903,9
gene_4047117,9
gene_4186007,9
gene_3557853,9
gene_4308052,9
gene_4454789,9
gene_4613296,9
gene_2670927,9
gene_4142522,9
gene_3164412,9
gene_4425085,9
gene_4477718,9
gene_3458380,9
gene_3618191,9
gene_2851435,9
gene_4421189,9
gene_3715395,9
gene_3848489,9
gene_3709540,9
gene_2969533,9
gene_2900345,9
gene_2547470,9
gene_4071556,9
gene_4393964,9
gene_4114384,9
gene_4329662,9
gene_3701856,9
gene_3712218,9
gene_3544460,9
gene_3575598,9
gene_3191450,9
gene_4008206,9
gene_2451754,9
gene_3940251,9
gene_3661101,9
gene_2842121,9
gene_4180320,9
gene_3713824,9
gene_3879553,9
gene_3290278,9
gene_4167690,9
gene_4286232,9
gene_2928885,9
gene_4398224,9
gene_3926131,9
gene_3635525,9
gene_3738318,9
gene_3471585,9
gene_3522664,9
gene_4368983,9
gene_3839969,9
gene_3904300,9
gene_2980594,9
gene_3792606,9
gene_4255215,9
gene_2481370,9
gene_3864710,9
gene_3084583,9
gene_3142786,9
gene_4627815,9
gene_4591431,9
gene_3853179,9
gene_3190119,9
gene_2959387,9
gene_3237044,9
gene_3866069,9
gene_4312962,9
gene_2800982,9
gene_3967147,9
gene_2899877,9
gene_3852190,9
gene_3952045,9
gene_3665874,9
gene_4208673,9
gene_3750766,9
gene_2909822,9
gene_4277680,9
gene_3987232,9
gene_3475468,9
gene_2982749,9
gene_4448244,9
gene_4169173,9
gene_4576217,9
gene_2749170,9
gene_3424103,9
gene_4611087,9
gene_3958197,9
gene_1740553,9
gene_4179511,9
gene_4515118,9
gene_4391660,9
gene_4602245,9
gene_2162291,9
gene_2950381,9
gene_3001710,9
gene_3478235,9
gene_3312933,9
gene_2990064,9
gene_3314985,9
gene_4354261,9
gene_3917416,9
gene_4104689,9
gene_3184883,9
gene_4151176,9
gene_4302734,9
gene_4636967,9
gene_4108301,9
gene_3454365,9
gene_4049926,9
gene_4101101,9
gene_4557740,9
gene_4408675,9
gene_3072573,9
gene_4371230,9
gene_3126182,9
gene_3643099,9
gene_2316297,9
gene_2854885,9
gene_3973615,9
gene_3853238,9
gene_4423225,9
gene_3471320,9
gene_3888591,9
gene_2527605,9
gene_2583826,9
gene_3126225,9
gene_3376929,9
gene_4311813,9
gene_2567279,9
gene_3397265,9
gene_3986501,9
gene_3232850,9
gene_3260746,9
gene_3703627,9
gene_3798611,9
gene_3070029,9
gene_2939985,9
gene_4059359,9
gene_3850302,9
gene_4034874,9
gene_4308226,9
gene_4057415,9
gene_4043046,9
gene_4010454,9
gene_4330648,9
gene_2984662,9
gene_3983798,9
gene_3527757,9
gene_3498315,9
gene_2662137,9
gene_3093591,9
gene_4455478,9
