gene,postFMT_1_duodenum
gene_3584313,41667
gene_3340967,35921
gene_3787930,34748
gene_3101065,32792
gene_4540942,32137
gene_3495998,32106
gene_4501438,31614
gene_3952247,30802
gene_4108299,29683
gene_4016531,29610
gene_2947127,29495
gene_4225958,29356
gene_4316990,29091
gene_4561987,28762
gene_3052838,28297
gene_4622482,28110
gene_3764696,28084
gene_3888271,27527
gene_3001961,27514
gene_3818861,27437
gene_4423019,27140
gene_3433148,27010
gene_3516854,26861
gene_2988422,26542
gene_2928338,26336
gene_4036652,26315
gene_3384069,26142
gene_4386762,26061
gene_3585500,26003
gene_3703198,25986
gene_3993385,25746
gene_3188931,25581
gene_4284425,25274
gene_3330827,25141
gene_3989023,25083
gene_4386171,24812
gene_3896903,24807
gene_2478969,24710
gene_4414410,24683
gene_4338190,24375
gene_3440800,24334
gene_3135983,24058
gene_3730402,24024
gene_3947041,23908
gene_2485364,23808
gene_4339977,23673
gene_4142584,23542
gene_4329853,23504
gene_2912316,23465
gene_4436960,23381
gene_4100199,22981
gene_4307382,22943
gene_3859809,22770
gene_3260889,22716
gene_4419584,22456
gene_4627549,22384
gene_4171501,22354
gene_3557724,22322
gene_4334201,22172
gene_3250147,21915
gene_3089759,21909
gene_3670427,21857
gene_3845823,21768
gene_2850056,21665
gene_3210366,21663
gene_3083162,21455
gene_3728839,21432
gene_3868912,21431
gene_3847211,21404
gene_3378237,21383
gene_3919810,21181
gene_3574173,21147
gene_2342657,21146
gene_3616653,21102
gene_3658717,21088
gene_4330949,21078
gene_4495409,20918
gene_3702322,20843
gene_4387326,20840
gene_3750089,20805
gene_3575890,20799
gene_4021122,20714
gene_4147251,20663
gene_4344959,20628
gene_3549943,20624
gene_4203264,20574
gene_3365448,20558
gene_4346856,20487
gene_4493120,20481
gene_3613911,20441
gene_4623567,20370
gene_3740128,20346
gene_3364891,20333
gene_3057548,20320
gene_4508783,20318
gene_3137781,20302
gene_3836959,20274
gene_4316493,20203
gene_3257034,20182
gene_4033660,20094
gene_3649150,20068
gene_4622830,19986
gene_4346761,19889
gene_3824167,19807
gene_4392070,19797
gene_3246467,19702
gene_4253614,19686
gene_3432174,19582
gene_4528138,19442
gene_4305320,19426
gene_4274197,19416
gene_4629613,19405
gene_4420133,19377
gene_3866419,19328
gene_3393628,19287
gene_3371006,19243
gene_3264320,19212
gene_4032910,19205
gene_4508782,19130
gene_3808459,19123
gene_4529375,19100
gene_3867259,19009
gene_3101473,19008
gene_3988271,18999
gene_3696813,18984
gene_4231947,18967
gene_3790903,18951
gene_3251230,18949
gene_3363819,18947
gene_4585997,18932
gene_3210147,18897
gene_3652454,18836
gene_4408765,18805
gene_3290868,18784
gene_4316177,18771
gene_3461286,18688
gene_3042080,18653
gene_4512024,18644
gene_4021349,18642
gene_4264534,18633
gene_3136800,18620
gene_3544973,18615
gene_4007429,18604
gene_2646438,18584
gene_3147171,18581
gene_4158462,18549
gene_4548882,18534
gene_3667044,18532
gene_3862761,18520
gene_3082022,18470
gene_4282247,18425
gene_4253810,18380
gene_4333487,18369
gene_2851782,18330
gene_4219067,18281
gene_3921369,18278
gene_4466755,18275
gene_4470407,18217
gene_3869673,18217
gene_3196730,18189
gene_3347716,18111
gene_4304448,17986
gene_3842103,17985
gene_3377575,17980
gene_3580147,17972
gene_4634338,17972
gene_3291045,17960
gene_4447285,17905
gene_4179326,17871
gene_4132721,17819
gene_3705808,17799
gene_2953684,17796
gene_3347464,17741
gene_3772239,17715
gene_4617382,17671
gene_3612590,17666
gene_4508703,17566
gene_3361691,17536
gene_3588999,17517
gene_3630863,17497
gene_4018366,17474
gene_3862165,17474
gene_4462425,17439
gene_4499431,17344
gene_4046817,17317
gene_3208292,17317
gene_3721277,17313
gene_4432102,17309
gene_2095992,17266
gene_3037461,17210
gene_4040662,17205
gene_4513499,17204
gene_4028544,17203
gene_3305502,17170
gene_3857775,17121
gene_4265553,17119
gene_3803066,17117
gene_3992728,17070
gene_4075667,17057
gene_4218769,17042
gene_3191491,17026
gene_2217371,17021
gene_4135494,17011
gene_3147416,16971
gene_4287915,16960
gene_4164876,16955
gene_4281171,16952
gene_3318738,16937
gene_2837782,16910
gene_4053958,16909
gene_4420630,16869
gene_3746759,16869
gene_2762763,16866
gene_3590518,16831
gene_4632305,16809
gene_4172273,16809
gene_4274272,16807
gene_3452612,16772
gene_1943947,16761
gene_4401297,16739
gene_4501677,16738
gene_3567414,16735
gene_2762987,16729
gene_4025509,16701
gene_4216701,16643
gene_4517226,16635
gene_4378487,16633
gene_3042132,16626
gene_3465828,16600
gene_4203002,16598
gene_4410387,16595
gene_3904066,16562
gene_3048704,16522
gene_3445319,16522
gene_4505036,16514
gene_3036178,16497
gene_4305460,16443
gene_4633740,16443
gene_4489856,16437
gene_3374861,16366
gene_3631341,16349
gene_3792451,16339
gene_3841170,16335
gene_2803613,16333
gene_4055190,16328
gene_4426549,16289
gene_3939091,16263
gene_2933446,16238
gene_4309498,16186
gene_4493590,16162
gene_4539942,16129
gene_4320912,16038
gene_4234918,16037
gene_3394445,16009
gene_3934547,15999
gene_2653875,15996
