gene,postFMT_4_duodenum
gene_3968139,28626
gene_3913077,28600
gene_3008714,28582
gene_4604030,28576
gene_4542301,28537
gene_4484121,28522
gene_3646316,28447
gene_3891396,28415
gene_4520153,28364
gene_3876445,28201
gene_4147144,28182
gene_3128801,28119
gene_3536024,28100
gene_4500981,28031
gene_3596412,27998
gene_4493590,27947
gene_4434951,27924
gene_4279215,27823
gene_4437273,27803
gene_3758893,27777
gene_3154619,27775
gene_4505036,27771
gene_4453499,27730
gene_3967408,27673
gene_4160447,27615
gene_3701764,27476
gene_3477059,27273
gene_2476697,27256
gene_4573738,27237
gene_3875564,27196
gene_3314902,27150
gene_4534171,27090
gene_2986687,27080
gene_3746756,27073
gene_2905495,27010
gene_3314169,26980
gene_4383761,26883
gene_4422374,26842
gene_3867818,26829
gene_4566746,26829
gene_2839179,26802
gene_3992708,26794
gene_4222118,26794
gene_4492961,26792
gene_4474926,26770
gene_4265317,26743
gene_4544228,26566
gene_3767204,26405
gene_3473110,26373
gene_2596772,26327
gene_4394211,26278
gene_4108300,26234
gene_3940284,26219
gene_4220068,26195
gene_4502224,26151
gene_4222121,26130
gene_3331940,26057
gene_4216838,26043
gene_3471875,26038
gene_4209155,25983
gene_4383681,25948
gene_4606530,25832
gene_3247777,25802
gene_3918469,25793
gene_3433147,25736
gene_3241815,25629
gene_3213901,25622
gene_3977405,25595
gene_4626142,25585
gene_2902355,25550
gene_2855783,25544
gene_4436151,25493
gene_4591505,25458
gene_3361261,25390
gene_3391546,25385
gene_3673122,25375
gene_3412541,25374
gene_4353641,25322
gene_3414630,25303
gene_3991949,25290
gene_3651666,25277
gene_3474526,25256
gene_4044582,25250
gene_4040747,25241
gene_3414790,25154
gene_4257777,25146
gene_3992196,25060
gene_4604285,25053
gene_3929361,25051
gene_3675602,25007
gene_3555335,24981
gene_3638660,24954
gene_3343755,24916
gene_4085699,24901
gene_1924892,24887
gene_3511474,24871
gene_4634916,24827
gene_3896904,24823
gene_3230397,24710
gene_4250014,24684
gene_4603222,24582
gene_3970794,24580
gene_4485091,24575
gene_3544564,24556
gene_3573521,24534
gene_4152129,24534
gene_3780972,24476
gene_3742710,24474
gene_4157882,24394
gene_3969514,24351
gene_4420132,24307
gene_4629454,24284
gene_4509529,24273
gene_3902442,24261
gene_2115899,24248
gene_3724218,24215
gene_4169428,24213
gene_3924911,24202
gene_3589527,24201
gene_4070299,24188
gene_4088307,24138
gene_3700930,24112
gene_3684198,24077
gene_3572156,24009
gene_4050456,23933
gene_4474935,23900
gene_3978143,23821
gene_4065008,23786
gene_4517282,23738
gene_4183762,23725
gene_3656089,23715
gene_4090523,23706
gene_4616863,23694
gene_3587112,23675
gene_3762565,23608
gene_4433565,23592
gene_3635121,23589
gene_4329657,23556
gene_3930336,23556
gene_3087960,23521
gene_4019895,23478
gene_4172081,23457
gene_3880524,23441
gene_2489998,23433
gene_3159664,23380
gene_2688324,23302
gene_3217843,23260
gene_3935885,23136
gene_2677191,23128
gene_2507054,23126
gene_3831705,23120
gene_4485092,23089
gene_2588043,23079
gene_3656140,23048
gene_3789039,23042
gene_3986654,23029
gene_4557870,22963
gene_4497719,22944
gene_3878529,22915
gene_3823488,22825
gene_3544107,22806
gene_3352067,22791
gene_3545078,22775
gene_4310092,22741
gene_4160203,22735
gene_4580872,22735
gene_3793510,22682
gene_4483277,22603
gene_3110449,22582
gene_3470408,22576
gene_3996218,22472
gene_4625580,22452
gene_4009535,22448
gene_3870295,22417
gene_4146198,22380
gene_4395000,22374
gene_3998040,22307
gene_3419734,22185
gene_3980224,22185
gene_4513576,22179
gene_4601967,22169
gene_4096662,22161
gene_3049061,22142
gene_4095929,22107
gene_3685730,22084
gene_3824923,22079
gene_3782836,22022
gene_3617341,22015
gene_4358652,22010
gene_3259552,22003
gene_3217844,21995
gene_3885384,21916
gene_3302001,21903
gene_4151035,21848
gene_4540508,21792
gene_4471536,21786
gene_4615338,21772
gene_4249474,21766
gene_4067681,21756
gene_4241412,21747
gene_1873664,21725
gene_4036360,21716
gene_3913539,21699
gene_4001575,21666
gene_4568437,21648
gene_3178395,21629
gene_4426836,21593
gene_4304251,21589
gene_2347056,21588
gene_4458882,21513
gene_1796288,21506
gene_4073625,21484
gene_2658890,21421
gene_4419666,21416
gene_4088308,21335
gene_4609966,21257
gene_3729740,21224
gene_4021958,21164
gene_4612983,21154
gene_3247778,21040
gene_4628276,21026
gene_4089409,21015
gene_4252529,20990
gene_3986867,20982
gene_3501541,20957
gene_3986306,20948
gene_4137251,20902
gene_3393630,20854
gene_3892935,20846
gene_3317329,20773
gene_4158416,20650
gene_3720711,20637
gene_4445564,20630
gene_4214772,20616
gene_3249762,20613
gene_3675601,20602
gene_3611881,20600
gene_3000862,20585
gene_3894563,20582
gene_4059909,20506
gene_4523717,20446
gene_3584032,20384
gene_4086729,20354
gene_3521261,20294
gene_3598423,20277
gene_4596036,20163
gene_4087327,20137
gene_2794975,20079
gene_4466754,20060
gene_3576986,20040
gene_4003577,20038
gene_3913538,20021
gene_3221436,20006
gene_4465933,20005
gene_4009128,19989
gene_4139158,19957
gene_3558225,19956
gene_1943946,19953
gene_4217315,19934
gene_3256291,19932
gene_3020502,19930
gene_2382596,19917
gene_4624028,19898
gene_2256624,19891
gene_2982674,19889
gene_4348081,19880
gene_3452368,19868
gene_4540214,19862
gene_3339741,19795
gene_3913946,19778
gene_3557530,19704
gene_2855784,19593
gene_4609872,19591
gene_4317560,19587
gene_3911803,19583
gene_3781212,19530
gene_4632783,19512
gene_3408849,19480
gene_4419114,19470
gene_4304252,19443
gene_4258310,19431
gene_3144828,19403
gene_4548236,19383
gene_4123435,19360
gene_4096958,19280
gene_3385642,19266
gene_3477282,19255
gene_4130003,19164
gene_4382686,19122
gene_2398524,19115
gene_4290880,19085
gene_3520790,19082
gene_2788973,19076
gene_4213680,19074
gene_4489830,19072
gene_4497716,18959
gene_4231946,18914
gene_2583973,18894
gene_4309799,18887
gene_3461831,18776
gene_4157349,18723
gene_4562190,18709
gene_4409338,18697
gene_3825579,18678
gene_3616270,18661
gene_4513875,18638
gene_2876811,18636
gene_4016255,18613
gene_3211338,18602
gene_4387186,18551
gene_4542711,18519
gene_4448664,18512
gene_3868655,18489
gene_4416358,18430
gene_4593702,18424
gene_3269065,18352
gene_4346760,18351
gene_3359669,18317
gene_4023847,18300
gene_4467509,18217
gene_4435122,18206
gene_3740383,18181
gene_3784095,18169
gene_3878528,18159
gene_4630560,18157
gene_3649966,18143
gene_4367107,18130
gene_4006072,18086
gene_2398525,18086
gene_4280827,18018
gene_4483988,17905
gene_4577249,17871
gene_4392938,17862
gene_4282880,17783
gene_4410001,17747
gene_4079729,17724
gene_3910325,17713
gene_3387999,17706
gene_3782941,17671
gene_3009815,17663
gene_3583194,17644
gene_3886870,17609
gene_3716832,17603
gene_3945907,17592
gene_4200727,17572
gene_3866491,17562
gene_4051738,17531
gene_4153791,17485
gene_4153792,17439
gene_3312054,17434
gene_4492526,17423
gene_3971172,17403
gene_3992068,17344
gene_4452723,17342
gene_2947255,17327
gene_3443561,17326
gene_3873057,17324
gene_4299283,17316
gene_4586186,17293
gene_4330948,17290
gene_3431941,17282
gene_3986267,17256
gene_4503882,17226
gene_4494409,17209
gene_4609967,17188
gene_2525169,17187
gene_3209099,17113
gene_3016197,17093
gene_4611458,17061
gene_4218946,17059
gene_4265295,17026
gene_3845096,17023
gene_3905031,17019
gene_3996528,16996
gene_2775055,16973
gene_2892854,16970
gene_4308400,16895
gene_2400855,16872
gene_3485290,16827
gene_3170172,16824
gene_4499699,16820
gene_3736960,16803
gene_4168454,16788
gene_4347666,16786
gene_3740385,16746
gene_3366673,16721
gene_4107239,16670
gene_4321820,16650
gene_3835875,16613
gene_3738895,16587
gene_3420392,16576
gene_3537520,16560
gene_2481200,16514
gene_3209751,16499
gene_4451134,16467
gene_3789038,16436
gene_4330947,16429
gene_3962232,16418
gene_4120103,16392
gene_3818620,16376
gene_4030929,16376
gene_4225054,16285
gene_4089602,16277
gene_4179817,16274
gene_4463221,16203
gene_3985860,16177
gene_2195471,16127
gene_3979507,16125
gene_3649676,16104
gene_3574475,16022
gene_3045510,16018
gene_2907312,16018
gene_4034273,15980
gene_4218945,15951
gene_2560333,15949
gene_4215772,15948
gene_3098645,15884
gene_3391813,15837
gene_3902595,15812
gene_4373937,15812
gene_3457766,15766
gene_3388185,15746
gene_4483276,15739
gene_3244653,15733
gene_4058617,15730
gene_4279060,15711
gene_2791557,15693
gene_4378040,15691
gene_4412464,15648
gene_4504041,15635
gene_3594870,15617
gene_3497191,15615
gene_2027438,15594
gene_4598259,15591
gene_3752730,15548
gene_3314903,15539
gene_2836625,15537
gene_4485093,15530
gene_3411395,15510
gene_3300666,15452
gene_4474117,15444
gene_4080173,15439
gene_3804073,15389
gene_4622483,15384
gene_4055708,15347
gene_2847653,15344
gene_4430403,15340
gene_3846320,15340
gene_4348083,15319
gene_4116340,15290
gene_4147143,15287
gene_3947896,15276
gene_4389477,15251
gene_4238894,15249
gene_3811264,15245
gene_4101748,15234
gene_3250146,15229
gene_3335066,15216
gene_3558226,15187
gene_4467507,15076
gene_4003123,15037
gene_4516147,15025
gene_4500980,15016
gene_3533367,15006
gene_3360103,14973
gene_4018401,14973
gene_4321906,14970
gene_3659756,14967
gene_4222117,14960
gene_3768885,14953
gene_4503527,14951
gene_4322121,14951
gene_3517306,14942
gene_3730822,14933
gene_2651766,14921
gene_3016196,14893
gene_3611523,14802
gene_4545438,14794
gene_3805266,14764
gene_2517279,14750
gene_3876300,14732
gene_3762862,14720
gene_4253613,14715
gene_4089261,14714
gene_3508106,14707
gene_4239190,14686
gene_3245032,14664
gene_3208633,14655
gene_3878289,14649
gene_3653030,14646
gene_4527917,14643
gene_4179816,14631
gene_4517630,14629
gene_4117699,14620
gene_4042559,14619
gene_3701217,14564
gene_3701333,14562
gene_4321182,14561
gene_4511433,14560
gene_4364448,14552
gene_3958335,14497
gene_3470506,14480
gene_4529699,14442
gene_4363576,14430
gene_3252853,14428
gene_3410007,14416
gene_4080231,14411
gene_4306960,14375
gene_3422190,14375
gene_4372256,14342
gene_4442437,14324
gene_4513989,14321
gene_3229695,14316
gene_4244866,14311
gene_2974536,14307
gene_4128625,14304
gene_2684157,14295
gene_3939574,14287
gene_4182919,14252
gene_4546130,14247
gene_3840599,14244
gene_4325086,14232
gene_4203263,14224
gene_3812130,14208
gene_4385476,14204
gene_4324715,14197
gene_4434871,14197
gene_3432626,14186
gene_4622913,14183
gene_3955079,14166
gene_3887703,14165
gene_4013034,14149
gene_4157725,14146
gene_3525804,14115
gene_4105483,14111
gene_4411418,14095
gene_4452467,14029
gene_3790399,13995
gene_4495266,13987
gene_3193677,13963
gene_4615339,13950
gene_3396364,13914
gene_4270176,13912
gene_3021138,13907
gene_3535619,13891
gene_3524792,13880
gene_4280128,13825
gene_3053565,13768
gene_4096066,13758
gene_2687372,13753
gene_4174320,13692
gene_3552768,13665
gene_4216341,13638
gene_2794778,13589
gene_2659887,13561
gene_3994098,13542
gene_3755259,13516
gene_3340960,13514
gene_4536110,13512
gene_4088309,13500
gene_4246894,13462
gene_3483964,13460
gene_4578517,13441
gene_3637357,13432
gene_2938602,13406
gene_4505499,13368
gene_4105546,13362
gene_3271895,13317
gene_4153442,13314
gene_3672159,13310
gene_4334388,13300
gene_3963734,13243
gene_3238698,13217
gene_4099942,13188
gene_4513990,13138
gene_3979508,13134
gene_3377577,13126
gene_3928646,13126
gene_4073708,13125
gene_3293038,13125
gene_4637268,13093
gene_4477387,13089
gene_3267496,13042
gene_4528196,13038
gene_4099366,13013
gene_4159504,13005
gene_4443788,12978
gene_3942197,12871
gene_3723278,12870
gene_4210246,12829
gene_4426395,12829
gene_3524799,12794
gene_4018213,12745
gene_4320137,12738
gene_2658003,12713
gene_2531463,12691
gene_3825342,12664
gene_3624994,12661
gene_4203262,12650
gene_3766364,12635
gene_3736800,12589
gene_3158796,12584
gene_4155791,12571
gene_3405831,12561
gene_4236880,12543
