,A1-S13,A2-S14,A3-S15,A4-S16,A5-S17,B1-S18,B2-S19,B3-S20,B4-S21,B5-S22,C1-S23,C2-S24,C3-S25,C4-S26,C5-S27,D1-S28,D2-S29,D3-S30,D4-S31,D5-S32,E1-S33,E2-S34,E3-S35,E4-S36,E5-S37,F1-S38,F2-S39,F3-S40,F4-S41,F5-S42,G1-S43,G2-S44,G3-S45,G4-S46,G5-S47,H1-S48,H2-S49,H3-S50,H4-S51,H5-S52
K00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,9.0,0.0,1.0,3.0
K00002,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0
K00003,7.0,2.0,0.0,3.0,8.0,7.0,117.0,0.0,31.0,10.0,3.0,81.0,2.0,0.0,4.0,0.0,40.0,69.0,40.0,4.0,0.0,3.0,161.0,20.0,3.0,1.0,110.0,0.0,186.0,50.0,1.0,9.0,24.0,34.0,11.0,0.0,47.0,0.0,54.0,64.0
K00004,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0
K00005,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,0.0,0.0,1.0,45.0,3.0,9.0,0.0,27.0,0.0,4.0,0.0,0.0,3.0,3.0,11.0,1.0,0.0,25.0,0.0,9.0,9.0
K00008,5.0,0.0,1.0,4.0,2.0,18.0,119.0,0.0,21.0,0.0,0.0,27.0,2.0,14.0,0.0,0.0,12.0,35.0,13.0,0.0,0.0,0.0,153.0,35.0,4.0,0.0,113.0,0.0,24.0,8.0,0.0,3.0,8.0,30.0,0.0,0.0,24.0,0.0,13.0,45.0
K00009,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,12.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,35.0,0.0,16.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,15.0
K00010,0.0,0.0,0.0,1.0,5.0,1.0,62.0,0.0,68.0,10.0,5.0,158.0,1.0,4.0,4.0,1.0,105.0,77.0,16.0,1.0,0.0,0.0,92.0,4.0,2.0,0.0,32.0,0.0,107.0,2.0,1.0,3.0,7.0,43.0,14.0,0.0,63.0,0.0,6.0,5.0
K00012,47.0,7.0,1.0,5.0,38.0,6.0,96.0,0.0,56.0,99.0,4.0,24.0,1.0,29.0,16.0,0.0,37.0,28.0,12.0,13.0,0.0,1.0,67.0,38.0,4.0,1.0,83.0,0.0,25.0,15.0,5.0,5.0,14.0,27.0,29.0,0.0,25.0,0.0,12.0,41.0
K00013,10.0,1.0,0.0,2.0,17.0,5.0,118.0,0.0,35.0,10.0,0.0,35.0,5.0,1.0,7.0,0.0,46.0,31.0,20.0,4.0,0.0,4.0,184.0,28.0,2.0,0.0,89.0,1.0,24.0,7.0,1.0,4.0,20.0,21.0,22.0,0.0,55.0,0.0,27.0,35.0
K00014,19.0,0.0,0.0,4.0,13.0,10.0,89.0,0.0,9.0,10.0,11.0,149.0,6.0,5.0,11.0,1.0,167.0,43.0,14.0,0.0,0.0,0.0,88.0,26.0,2.0,2.0,79.0,0.0,39.0,11.0,2.0,5.0,18.0,7.0,20.0,0.0,55.0,0.0,9.0,26.0
K00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
K00016,1.0,0.0,0.0,4.0,0.0,16.0,55.0,1.0,24.0,1.0,8.0,133.0,8.0,6.0,8.0,0.0,115.0,130.0,13.0,8.0,0.0,1.0,250.0,35.0,0.0,0.0,137.0,1.0,29.0,10.0,2.0,13.0,16.0,15.0,19.0,0.0,38.0,0.0,29.0,28.0
K00018,12.0,0.0,1.0,3.0,3.0,5.0,95.0,0.0,15.0,3.0,4.0,106.0,9.0,24.0,2.0,0.0,72.0,55.0,15.0,1.0,0.0,1.0,54.0,12.0,8.0,1.0,53.0,0.0,12.0,4.0,1.0,4.0,5.0,8.0,8.0,0.0,21.0,0.0,6.0,15.0
K00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
K00020,1.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
K00023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00024,52.0,1.0,17.0,17.0,27.0,3.0,111.0,0.0,55.0,25.0,11.0,13.0,1.0,0.0,21.0,0.0,10.0,1.0,11.0,14.0,1.0,0.0,6.0,25.0,1.0,0.0,20.0,0.0,6.0,7.0,12.0,0.0,3.0,2.0,22.0,0.0,0.0,0.0,0.0,19.0
K00027,0.0,3.0,0.0,4.0,33.0,16.0,140.0,0.0,21.0,20.0,17.0,226.0,8.0,17.0,15.0,0.0,240.0,95.0,36.0,9.0,1.0,0.0,324.0,26.0,3.0,3.0,142.0,0.0,97.0,18.0,6.0,12.0,29.0,174.0,21.0,0.0,167.0,0.0,105.0,261.0
K00029,53.0,0.0,3.0,6.0,41.0,9.0,93.0,0.0,45.0,24.0,0.0,7.0,2.0,1.0,0.0,0.0,29.0,0.0,0.0,6.0,0.0,4.0,3.0,10.0,3.0,2.0,30.0,0.0,3.0,6.0,10.0,0.0,1.0,5.0,10.0,0.0,1.0,0.0,2.0,15.0
K00030,0.0,0.0,0.0,0.0,5.0,1.0,10.0,0.0,2.0,1.0,5.0,164.0,8.0,7.0,12.0,0.0,132.0,46.0,9.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,29.0,0.0,10.0,5.0,0.0,2.0,11.0,3.0,2.0,0.0,24.0,0.0,2.0,1.0
K00031,0.0,5.0,1.0,8.0,6.0,1.0,135.0,0.0,72.0,25.0,3.0,104.0,3.0,11.0,28.0,0.0,10.0,71.0,22.0,3.0,0.0,4.0,351.0,52.0,0.0,0.0,140.0,1.0,62.0,25.0,1.0,1.0,4.0,28.0,4.0,0.0,68.0,0.0,74.0,123.0
K00033,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,4.0,0.0,8.0,2.0,0.0,0.0,0.0,17.0,6.0,0.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0
K00034,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00036,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,1.0,11.0,3.0,1.0,13.0,0.0,27.0,0.0,0.0,2.0
K00040,1.0,3.0,2.0,0.0,0.0,8.0,38.0,0.0,24.0,1.0,0.0,27.0,3.0,1.0,0.0,0.0,15.0,40.0,7.0,0.0,0.0,1.0,153.0,11.0,4.0,0.0,77.0,0.0,27.0,4.0,2.0,4.0,6.0,14.0,3.0,0.0,19.0,0.0,16.0,15.0
K00041,54.0,1.0,1.0,1.0,28.0,11.0,108.0,0.0,66.0,8.0,2.0,44.0,5.0,12.0,3.0,4.0,21.0,24.0,12.0,1.0,0.0,0.0,71.0,9.0,0.0,0.0,47.0,2.0,26.0,7.0,1.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,9.0,38.0
K00042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00045,5.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,12.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
K00046,17.0,3.0,5.0,0.0,10.0,3.0,57.0,3.0,70.0,12.0,0.0,21.0,0.0,7.0,0.0,0.0,2.0,2.0,2.0,21.0,0.0,1.0,124.0,20.0,0.0,0.0,28.0,0.0,86.0,4.0,0.0,0.0,2.0,66.0,4.0,0.0,38.0,0.0,24.0,19.0
K00048,11.0,2.0,3.0,2.0,10.0,0.0,46.0,0.0,16.0,5.0,2.0,18.0,0.0,0.0,1.0,0.0,5.0,47.0,3.0,0.0,0.0,0.0,59.0,15.0,1.0,0.0,27.0,0.0,14.0,0.0,2.0,15.0,2.0,7.0,1.0,0.0,8.0,0.0,4.0,30.0
K00052,21.0,1.0,4.0,2.0,13.0,3.0,162.0,0.0,61.0,28.0,8.0,211.0,3.0,18.0,21.0,0.0,205.0,61.0,3.0,1.0,0.0,0.0,299.0,59.0,23.0,0.0,97.0,0.0,57.0,11.0,4.0,4.0,35.0,54.0,14.0,0.0,47.0,0.0,18.0,125.0
K00053,25.0,73.0,0.0,45.0,16.0,36.0,288.0,0.0,98.0,55.0,4.0,247.0,8.0,18.0,7.0,3.0,233.0,181.0,37.0,2.0,7.0,10.0,541.0,205.0,8.0,0.0,374.0,0.0,199.0,42.0,2.0,11.0,9.0,148.0,5.0,0.0,146.0,0.0,34.0,204.0
K00054,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
K00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00057,29.0,1.0,1.0,0.0,20.0,9.0,97.0,0.0,35.0,12.0,7.0,192.0,4.0,26.0,13.0,0.0,95.0,37.0,24.0,11.0,0.0,2.0,108.0,24.0,2.0,0.0,90.0,0.0,94.0,16.0,4.0,8.0,18.0,17.0,15.0,0.0,67.0,0.0,16.0,82.0
K00058,14.0,10.0,3.0,11.0,9.0,12.0,198.0,0.0,61.0,56.0,18.0,246.0,8.0,28.0,12.0,1.0,182.0,99.0,83.0,3.0,0.0,1.0,342.0,55.0,11.0,0.0,131.0,0.0,118.0,15.0,9.0,9.0,12.0,45.0,64.0,0.0,101.0,0.0,13.0,57.0
K00059,28.0,5.0,0.0,20.0,11.0,10.0,155.0,1.0,67.0,37.0,4.0,114.0,11.0,14.0,10.0,1.0,101.0,65.0,25.0,18.0,0.0,15.0,207.0,64.0,6.0,2.0,142.0,0.0,79.0,22.0,11.0,6.0,5.0,33.0,21.0,0.0,45.0,0.0,40.0,94.0
K00060,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,9.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,75.0,2.0,0.0,0.0,31.0,0.0,2.0,5.0,0.0,0.0,18.0,13.0,0.0,0.0,11.0,0.0,6.0,3.0
K00065,0.0,0.0,0.0,0.0,3.0,2.0,9.0,0.0,4.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,5.0
K00066,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
K00067,17.0,2.0,0.0,1.0,17.0,11.0,101.0,0.0,28.0,12.0,2.0,40.0,6.0,8.0,0.0,0.0,32.0,45.0,11.0,5.0,0.0,1.0,111.0,27.0,3.0,1.0,66.0,0.0,27.0,11.0,1.0,3.0,14.0,9.0,15.0,0.0,12.0,0.0,6.0,28.0
K00068,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,13.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
K00073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
K00074,0.0,10.0,7.0,0.0,3.0,0.0,151.0,0.0,33.0,18.0,1.0,24.0,0.0,1.0,3.0,0.0,24.0,103.0,4.0,0.0,1.0,1.0,193.0,25.0,10.0,0.0,62.0,0.0,220.0,4.0,1.0,12.0,45.0,20.0,10.0,0.0,72.0,0.0,39.0,91.0
K00075,10.0,1.0,2.0,3.0,9.0,2.0,89.0,1.0,38.0,23.0,1.0,61.0,0.0,1.0,4.0,0.0,110.0,32.0,9.0,4.0,0.0,3.0,133.0,17.0,3.0,0.0,122.0,0.0,37.0,8.0,2.0,7.0,15.0,45.0,14.0,0.0,73.0,0.0,18.0,31.0
K00076,12.0,2.0,0.0,0.0,30.0,4.0,76.0,0.0,8.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
K00077,4.0,0.0,0.0,2.0,11.0,6.0,60.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,1.0,37.0,7.0,1.0,0.0,23.0,0.0,4.0,0.0,2.0,5.0,11.0,5.0,3.0,0.0,9.0,0.0,1.0,1.0
K00086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
K00087,0.0,0.0,0.0,0.0,0.0,2.0,104.0,0.0,6.0,14.0,0.0,22.0,0.0,2.0,0.0,0.0,1.0,22.0,13.0,0.0,0.0,0.0,263.0,66.0,17.0,0.0,54.0,0.0,96.0,1.0,0.0,0.0,2.0,72.0,12.0,0.0,5.0,0.0,40.0,36.0
K00088,41.0,9.0,8.0,2.0,15.0,6.0,255.0,0.0,117.0,39.0,14.0,290.0,37.0,31.0,25.0,0.0,166.0,169.0,71.0,8.0,2.0,2.0,380.0,74.0,25.0,0.0,209.0,0.0,209.0,47.0,5.0,23.0,69.0,102.0,31.0,0.0,145.0,0.0,21.0,126.0
K00091,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,9.0,0.0,0.0,0.0
K00096,1.0,0.0,1.0,2.0,0.0,3.0,16.0,0.0,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,3.0,8.0,3.0,1.0,0.0,0.0,27.0,11.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0
K00097,22.0,0.0,0.0,1.0,28.0,4.0,50.0,0.0,14.0,9.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,6.0,0.0,0.0,29.0,0.0,3.0,4.0,2.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,9.0
K00098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00099,11.0,0.0,0.0,14.0,26.0,11.0,156.0,0.0,50.0,19.0,2.0,71.0,3.0,10.0,5.0,0.0,52.0,52.0,22.0,2.0,1.0,2.0,143.0,25.0,8.0,0.0,114.0,0.0,60.0,15.0,11.0,6.0,12.0,23.0,25.0,0.0,107.0,0.0,32.0,61.0
K00100,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,19.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0
K00101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00102,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00104,0.0,0.0,0.0,0.0,1.0,4.0,22.0,0.0,7.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,1.0,12.0,6.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,8.0
K00108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00111,7.0,2.0,0.0,1.0,22.0,7.0,115.0,0.0,17.0,3.0,3.0,18.0,3.0,0.0,1.0,0.0,7.0,35.0,8.0,0.0,0.0,3.0,127.0,22.0,4.0,0.0,68.0,0.0,23.0,4.0,2.0,6.0,10.0,17.0,4.0,0.0,46.0,0.0,2.0,9.0
K00112,1.0,0.0,0.0,0.0,16.0,1.0,26.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0
K00113,3.0,0.0,0.0,0.0,10.0,0.0,33.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
K00117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00121,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00123,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,18.0,196.0,3.0,4.0,18.0,1.0,174.0,39.0,6.0,1.0,0.0,0.0,20.0,0.0,0.0,1.0,41.0,0.0,4.0,2.0,0.0,1.0,4.0,2.0,10.0,0.0,27.0,0.0,4.0,8.0
K00124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
K00127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00128,0.0,0.0,0.0,2.0,3.0,7.0,34.0,0.0,6.0,3.0,0.0,39.0,14.0,1.0,0.0,0.0,6.0,14.0,4.0,0.0,0.0,1.0,76.0,7.0,8.0,0.0,67.0,0.0,33.0,6.0,0.0,3.0,1.0,49.0,0.0,0.0,9.0,0.0,3.0,5.0
K00130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00132,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
K00133,29.0,1.0,4.0,1.0,22.0,5.0,150.0,1.0,24.0,15.0,7.0,241.0,7.0,8.0,12.0,2.0,116.0,141.0,36.0,19.0,0.0,5.0,240.0,35.0,10.0,1.0,177.0,0.0,37.0,17.0,1.0,7.0,14.0,46.0,18.0,0.0,49.0,1.0,33.0,123.0
K00134,250.0,0.0,2.0,31.0,25.0,90.0,847.0,0.0,383.0,219.0,38.0,638.0,13.0,105.0,90.0,31.0,422.0,347.0,92.0,90.0,2.0,17.0,754.0,343.0,51.0,5.0,362.0,0.0,478.0,248.0,18.0,98.0,60.0,174.0,112.0,0.0,170.0,0.0,506.0,475.0
K00135,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0
K00137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00140,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,2.0,12.0,148.0,4.0,17.0,16.0,1.0,187.0,48.0,8.0,5.0,0.0,0.0,19.0,1.0,0.0,0.0,23.0,1.0,5.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0
K00145,35.0,4.0,1.0,5.0,14.0,7.0,131.0,0.0,52.0,25.0,6.0,120.0,4.0,10.0,19.0,0.0,125.0,59.0,18.0,17.0,0.0,0.0,103.0,23.0,1.0,0.0,69.0,0.0,39.0,11.0,1.0,3.0,17.0,24.0,14.0,0.0,42.0,0.0,17.0,49.0
K00146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00147,15.0,4.0,1.0,0.0,9.0,9.0,159.0,0.0,39.0,55.0,4.0,60.0,6.0,6.0,2.0,0.0,50.0,84.0,5.0,1.0,1.0,0.0,199.0,20.0,0.0,0.0,49.0,0.0,45.0,16.0,1.0,7.0,8.0,63.0,13.0,0.0,32.0,0.0,2.0,31.0
K00150,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
K00158,7.0,0.0,0.0,0.0,0.0,3.0,27.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
