,A1-S13,A2-S14,A3-S15,A4-S16,A5-S17,B1-S18,B2-S19,B3-S20,B4-S21,B5-S22,C1-S23,C2-S24,C3-S25,C4-S26,C5-S27,D1-S28,D2-S29,D3-S30,D4-S31,D5-S32,E1-S33,E2-S34,E3-S35,E4-S36,E5-S37,F1-S38,F2-S39,F3-S40,F4-S41,F5-S42,G1-S43,G2-S44,G3-S45,G4-S46,G5-S47,H1-S48,H2-S49,H3-S50,H4-S51,H5-S52
K05818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K05819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K05820,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,1.0,0.0,22.0,0.0,6.0,2.0,13.0,3.0,17.0,1.0,0.0,0.0,8.0,0.0,1.0,2.0
K05822,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0
K05823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
K05825,4.0,0.0,0.0,1.0,3.0,3.0,24.0,0.0,2.0,9.0,3.0,9.0,0.0,0.0,3.0,0.0,96.0,5.0,1.0,0.0,0.0,0.0,53.0,3.0,3.0,0.0,36.0,0.0,0.0,1.0,0.0,1.0,14.0,2.0,4.0,0.0,36.0,0.0,0.0,8.0
K05832,5.0,0.0,0.0,31.0,1.0,11.0,65.0,0.0,33.0,2.0,16.0,227.0,5.0,10.0,16.0,0.0,164.0,104.0,17.0,4.0,0.0,0.0,140.0,7.0,21.0,0.0,57.0,0.0,70.0,14.0,0.0,5.0,6.0,17.0,0.0,0.0,23.0,0.0,17.0,49.0
K05833,2.0,0.0,0.0,4.0,1.0,2.0,57.0,0.0,81.0,0.0,9.0,183.0,9.0,10.0,5.0,1.0,138.0,69.0,7.0,8.0,0.0,1.0,116.0,4.0,0.0,1.0,47.0,0.0,194.0,10.0,0.0,3.0,2.0,83.0,13.0,0.0,9.0,0.0,23.0,6.0
K05834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K05835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K05836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
K05837,11.0,8.0,5.0,6.0,8.0,23.0,95.0,5.0,41.0,11.0,5.0,122.0,7.0,11.0,7.0,0.0,126.0,54.0,12.0,7.0,0.0,3.0,120.0,22.0,14.0,0.0,119.0,4.0,47.0,12.0,1.0,5.0,13.0,19.0,11.0,0.0,51.0,0.0,17.0,56.0
K05838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
K05844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,28.0,9.0,0.0,0.0,18.0,0.0,3.0,5.0,2.0,1.0,6.0,7.0,3.0,0.0,5.0,0.0,3.0,1.0
K05845,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,13.0,3.0,0.0,10.0,2.0,0.0,0.0,0.0,8.0,13.0,0.0,0.0,0.0,4.0,21.0,6.0,0.0,0.0,18.0,0.0,13.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,8.0,0.0,2.0,21.0
K05846,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,9.0,6.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,2.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,8.0,0.0,4.0,0.0
K05847,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,3.0,0.0,0.0,18.0,0.0,12.0,0.0,0.0,8.0,8.0,3.0,1.0,0.0,0.0,31.0,7.0,2.0,0.0,29.0,0.0,2.0,1.0,0.0,7.0,7.0,20.0,6.0,0.0,45.0,0.0,5.0,4.0
K05851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K05873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
K05874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K05876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
