,postFMTs1scecum_S27,postFMTs1scolon_S28,postFMTs1sduodenum_S24,postFMTs1sileum_S26,postFMTs1sjejunum_S25,postFMTs2scecum_S32,postFMTs2scolon_S33,postFMTs2sduodenum_S29,postFMTs2sileum_S31,postFMTs2sjejunum_S30,postFMTs3scecum_S37,postFMTs3scolon_S38,postFMTs3sduodenum_S34,postFMTs3sileum_S36,postFMTs3sjejunum_S35,postFMTs4scecum_S42,postFMTs4scolon_S43,postFMTs4sduodenum_S39,postFMTs4sileum_S41,postFMTs4sjejunum_S40
K00068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.53244434661924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00074,0.0,0.0,0.0,0.0,0.0,190.44541440429424,0.0,0.0,0.0,0.0,1290.3530279348047,0.0,0.0,0.0,0.0,600.6235669833826,0.0,0.0,0.0,0.0
K00075,0.0,0.0,0.0,0.0,418.5333252974935,50.03356752044946,0.0,0.0,0.0,0.0,161.11913289852814,223.1772095004494,0.0,0.0,0.0,600.1782772801481,275.33145777544297,0.0,0.0,0.0
K00077,0.0,0.0,0.0,0.0,0.0,17.43250995056384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.93878120883744,30.55480187044275,0.0,0.0,0.0,277.2947029183555,111.21231431713971,0.0,0.0,0.0
K00088,0.0,226.9046301798008,0.0,0.0,0.0,232.3375653036052,196.1125780331948,0.0,0.0,0.0,743.050870700508,47.722510020772646,0.0,0.0,0.0,113.93136819952207,0.0,0.0,0.0,0.0
K00091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.31833293414617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00096,101.6625279851524,124.21496144367596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00097,0.0,0.0,0.0,0.0,419.6863096647043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.96912732038861,0.0,0.0,0.0,0.0
K00099,850.6807323338576,0.0,0.0,0.0,0.0,342.1687297046295,0.0,0.0,0.0,0.0,0.0,1626.3170580987162,0.0,0.0,0.0,60.78297220953884,0.0,0.0,0.0,0.0
K00102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.440834715416315,0.0,0.0,0.0,0.0
K00104,0.0,0.0,0.0,0.0,0.0,16.971738762443213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00111,192.22884940934173,116.1759973418932,0.0,0.0,0.0,44.451422600580074,1721.9020595641914,0.0,0.0,0.0,53.68765467413312,48.91309239135325,0.0,0.0,0.0,185.8476863843432,0.0,0.0,0.0,0.0
K00112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.19931577475155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.28850467909655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00123,0.0,0.0,0.0,0.0,285.8276367885321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.91992843479061,56.48874970060964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00133,697.7716683782536,152.46110336100503,0.0,0.0,0.0,26.754060410240346,0.0,0.0,0.0,0.0,72.38112775008476,456.68787224074805,0.0,0.0,0.0,558.3618840844798,0.0,0.0,0.0,0.0
K00134,137.75573318698164,495.8769380679291,0.0,0.0,869.2615217717173,3668.9197921012983,2859.424270850177,0.0,0.0,0.0,74.45508556527344,1021.3027496565924,0.0,0.0,3354.398958794563,11714.92136575627,3159.9029815522517,0.0,0.0,0.0
K00140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.50424008789123,0.0,0.0,0.0,0.0,46.97966776354794,0.0,0.0,0.0,0.0
K00145,148.28483381273819,0.0,0.0,0.0,0.0,68.84562495509212,0.0,0.0,0.0,0.0,73.40346006293906,132.79397985201342,0.0,0.0,0.0,154.64782437574468,0.0,0.0,0.0,0.0
K00147,0.0,0.0,0.0,0.0,0.0,37.047508895400775,0.0,0.0,0.0,0.0,62.31372868652381,0.0,0.0,0.0,0.0,514.6546862663406,0.0,0.0,0.0,0.0
K00169,464.3579319228972,202.3574644609704,0.0,0.0,386.66530560479106,58.66880252397884,0.0,0.0,0.0,0.0,65.95133213776758,0.0,0.0,0.0,0.0,59.55503337702291,0.0,0.0,0.0,0.0
K00170,1082.7946673072606,0.0,0.0,0.0,0.0,24.69605576329877,0.0,6.883646785352439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.84702232955544,0.0,0.0,0.0,0.0
