"","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","Cluster","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"12","Otu1","Otu12",0.561653879002248,0.0224856769882576,0.559996313590563,0.584905660377358,-1.03407077257462,0.301103078709454,0.69,"7",17720,20118,FALSE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu12_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu12","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"13","Otu1","Otu12",0.955823612864377,0.00999061596472866,0.955696202531646,0.987730061349693,-3.19364177323605,0.00140490333893925,0.0353,"10",458,19767,TRUE,"Firmicutes","Lachnospirales","Clostridia","Lachnospiraceae","Otu12_Clostridia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#E41A1C'>Otu12","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"14","Otu1","Otu13",0.751801171447125,0.0134948073056502,0.75,0.692528735632184,4.39224025007929,0.0000112188626313228,0.000756,"3",11568,53096,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"15","Otu1","Otu13",0.935796882242544,0.020350129745861,0.9375,0.924050632911392,0.577207589231271,0.563799230907232,0.895,"14",798,9255,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"16","Otu1","Otu13",0.871351571944211,0.0263455028407287,0.872340425531915,0.822222222222222,1.86480971796211,0.0622080806536835,0.18,"13",830,10338,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"17","Otu1","Otu13",0.817937488260772,0.0243975748411625,0.811980280351627,0.802197802197802,0.645133221864917,0.518840856407615,0.782,"9",12214,17291,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"18","Otu1","Otu13",0.843776349461719,0.0169728332681199,0.845679012345679,0.785714285714286,3.42088223163611,0.000624183550132174,0.01,"2",8217,32299,TRUE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"19","Otu1","Otu13",0.815107982134957,0.019354208497197,0.817095463777928,0.808612440191388,0.335613928335557,0.737162019354051,0.919,"7",5327,20118,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"20","Otu1","Otu13",0.765134144104257,0.0132049934382838,0.767123287671233,0.734939759036145,2.28658841893651,0.0222198578467886,0.225,"0",18171,63985,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"21","Otu1","Otu13",0.760720032852739,0.0160946551475322,0.758992805755396,0.717472118959108,2.68709789039887,0.00720758262882717,0.108,"5",10178,28723,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"22","Otu1","Otu13",0.804837788470199,0.017349654002253,0.805192317302727,0.830508474576271,-1.47960795660472,0.138977901882015,0.384,"4",8967,81324,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"23","Otu1","Otu13",0.934109070237407,0.0153319563958196,0.934850264239577,0.896825396825397,2.43176229109127,0.0150255648141819,0.22,"11",1116,12913,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"24","Otu1","Otu13",0.812005927297615,0.0211088040636039,0.813725490196078,0.771573604060914,1.91542463110996,0.0554383724297448,0.413,"8",12707,19980,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"25","Otu1","Otu13",0.954452048382438,0.0204388779479074,0.956497386109037,0.971428571428571,-0.830599560768549,0.406199882966083,0.808,"12",864,17284,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"26","Otu1","Otu13",0.838331254716888,0.0223302719348516,0.840659340659341,0.78735632183908,2.28277259795699,0.022443766867751,0.15,"10",4221,19767,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"27","Otu1","Otu13",0.884283659254636,0.0300413307302076,0.875,0.897959183673469,-0.455223656423516,0.648948343139203,0.906,"17",682,3343,FALSE,"Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu13_Bacteroidia","Bacteroidota","Bacteroidales","Bacteroidia","Muribaculaceae","Otu1_Bacteroidia","<b style='color:#828382'>Otu13","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
