"","Sample","Cluster","MouseGroup","NumberParticles","TotalParticleCluster","ClusterProportion","ParticlesMouseGroupCluster","ClusterProportionMouseGroup","ParticleNumberPerSample","SampleProportion"
"143","JE9r2","0","Env2Jax",63,832,0.0757211538461538,832,1,17888,0.00352191413237925
"144","JE9r2","15","Env2Jax",16,128,0.125,128,1,17888,0.000894454382826476
"145","JE9r2","13","Env2Jax",3,128,0.0234375,128,1,17888,0.000167710196779964
"146","JE9r2","11","Env2Jax",15,182,0.0824175824175824,182,1,17888,0.000838550983899821
"147","JE9r2","4","Env2Jax",31,373,0.0831099195710456,373,1,17888,0.0017330053667263
"148","JE9r2","14","Env2Jax",3,128,0.0234375,128,1,17888,0.000167710196779964
"149","JE9r2","18","Env2Jax",19,107,0.177570093457944,107,1,17888,0.00106216457960644
"150","JE9r2","10","Env2Jax",8,188,0.0425531914893617,188,1,17888,0.000447227191413238
"151","JE9r2","9","Env2Jax",3,214,0.014018691588785,214,1,17888,0.000167710196779964
"152","JE9r2","19","Env2Jax",8,106,0.0754716981132075,106,1,17888,0.000447227191413238
"153","JE9r2","5","Env2Jax",1,353,0.0028328611898017,353,1,17888,0.0000559033989266547
"154","JE9r2","17","Env2Jax",4,123,0.032520325203252,123,1,17888,0.000223613595706619
"155","JE9r2","12","Env2Jax",7,179,0.0391061452513966,179,1,17888,0.000391323792486583
"156","JE9r2","8","Env2Jax",7,229,0.0305676855895196,229,1,17888,0.000391323792486583
"157","JE9r2","16","Env2Jax",1,126,0.00793650793650794,126,1,17888,0.0000559033989266547
