OTU2,OTU1,meandist,distsd,median,Original,Zscore,zpvalue,zpadjusted,Cluster,Significant,Phylum_OTU1,Class_OTU1,Order_OTU1,Family_OTU1,OTU1WithOrder,Phylum_OTU2,Class_OTU2,Order_OTU2,Family_OTU2,OTU2WithOrder,OTU1ColorName,OTU2ColorName,OTU1Type,OTU2Type,OTU1emergence,OTU2emergence
Otu1,Otu118,0.97182779522299,0.00627040380163957,0.973094170403587,1,-4.49288525399974,0.00000702646487779853,0.0000292,Jax,TRUE,Firmicutes,Christensenellales,Clostridia,Christensenellaceae,Otu118_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu118,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,depleted,enriched
Otu1,Otu12,0.946648404278068,0.00378626571293413,0.946138211382114,0.940395095367847,1.65157687926098,0.0986208365326992,0.168,Env,FALSE,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Otu12_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#E41A1C'>Otu12,<b style='color:#377EB8'>Otu1,Recipient Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu12,0.932110707549533,0.00637060975211573,0.930998844155158,0.949392712550607,-2.71277093928644,0.00667232109107439,0.0148,Jax,TRUE,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Otu12_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#E41A1C'>Otu12,<b style='color:#377EB8'>Otu1,Recipient Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu12,0.912337626359826,0.00565548343691825,0.91156462585034,0.926174496644295,-2.44662908817736,0.0144199149453689,0.0604,Env2Jax,FALSE,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Otu12_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#E41A1C'>Otu12,<b style='color:#377EB8'>Otu1,Recipient Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu126,0.995491438932073,0.000980084389631645,0.995504373200469,0.999641833810888,-4.23473215441679,0.0000228824281030633,0.0000882,Env,TRUE,Firmicutes,Veillonellales-Selenomonadales,Negativicutes,Veillonellaceae,Otu126_Negativicutes,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu126,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,depleted,enriched
Otu1,Otu126,0.994776170572649,0.00194702287481722,0.994645247657296,1,-2.68298307889226,0.00729686822087172,0.016,Jax,TRUE,Firmicutes,Veillonellales-Selenomonadales,Negativicutes,Veillonellaceae,Otu126_Negativicutes,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu126,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,depleted,enriched
Otu1,Otu127,0.976845176132225,0.00221070934012686,0.976825842696629,1,-10.4739340660886,0.000000000000000000000000113812516472482,0.00000000000000000000000151,Env,TRUE,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,Otu127_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu127,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,depleted,enriched
Otu1,Otu127,0.959783557284447,0.00800781671774375,0.961986555443894,1,-5.02214825002694,0.000000510967181659041,0.00000251,Jax,TRUE,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,Otu127_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu127,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,depleted,enriched
Otu1,Otu13,0.859959068154434,0.00452949131559436,0.85981587867039,0.79297124600639,14.7892594290699,0.000000000000000000000000000000000000000000000000171834029054756,0.00000000000000000000000000000000000000000000000431,Env,TRUE,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu13_Bacteroidia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu13,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu13,0.972343584730244,0.00549192698280049,0.971910112359551,0.981069042316258,-1.58877887731221,0.112110323682707,0.167,Jax,FALSE,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu13_Bacteroidia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu13,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu13,0.960113371665308,0.00269599398176876,0.95957249070632,0.953738317757009,2.36463951752466,0.0180476281598858,0.0723,Env2Jax,FALSE,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu13_Bacteroidia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu13,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu14,0.894426874624086,0.00434334280625818,0.89549889833176,0.866968033580885,6.32205245315589,0.000000000258111727190839,0.00000000177,Env,TRUE,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu14_Bacteroidia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu14,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu14,0.956541903221803,0.00708183271165979,0.958511923387596,0.939805825242718,2.36324107904012,0.0181158806336636,0.0359,Jax,TRUE,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu14_Bacteroidia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu14,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu14,0.91696179838262,0.00450417459323183,0.916684556895191,0.903225806451613,3.04961356330351,0.00229135986163281,0.0141,Env2Jax,TRUE,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu14_Bacteroidia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu14,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,unchanged,enriched
Otu1,Otu15,0.903393999337583,0.00355255074222978,0.902407591538647,0.877544320420223,7.27637148431979,0.000000000000342918480940472,0.00000000000281,Env,TRUE,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Otu15_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu15,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,enriched,enriched
Otu1,Otu15,0.975524538897549,0.00426552790931198,0.975581395348837,0.941105769230769,8.06905274060947,0.000000000000000708456600173126,0.00000000000000751,Jax,TRUE,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Otu15_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu15,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,enriched,enriched
Otu1,Otu15,0.865945562427142,0.00551069834984509,0.866320404297511,0.874761359297442,-1.59976037711214,0.109651751931733,0.272,Env2Jax,FALSE,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Otu15_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#828382'>Otu15,<b style='color:#377EB8'>Otu1,Shared Taxa,Donor Taxa,enriched,enriched
Otu1,Otu17,0.991240292052839,0.0012022830237992,0.991410164638511,0.991771019677996,-0.441433185574038,0.658899421915273,0.726,Env,FALSE,Firmicutes,Erysipelotrichales,Bacilli,Erysipelotrichaceae,Otu17_Bacilli,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#E41A1C'>Otu17,<b style='color:#377EB8'>Otu1,Recipient Taxa,Donor Taxa,depleted,enriched
Otu1,Otu17,0.946788908982606,0.00540725522390179,0.94812925170068,0.997568881685575,-9.39108116785489,0.00000000000000000000593874804493099,0.0000000000000000000805,Jax,TRUE,Firmicutes,Erysipelotrichales,Bacilli,Erysipelotrichaceae,Otu17_Bacilli,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#E41A1C'>Otu17,<b style='color:#377EB8'>Otu1,Recipient Taxa,Donor Taxa,depleted,enriched
Otu1,Otu18,0.946830260162906,0.00305373989615708,0.94674355495251,0.931888544891641,4.89292335934311,0.000000993491020661979,0.00000465,Env,TRUE,Firmicutes,Oscillospirales,Clostridia,[Eubacterium] coprostanoligenes group,Otu18_Clostridia,Bacteroidota,Bacteroidales,Bacteroidia,Muribaculaceae,Otu1_Bacteroidia,<b style='color:#E41A1C'>Otu18,<b style='color:#377EB8'>Otu1,Recipient Taxa,Donor Taxa,unchanged,enriched
