OTU,OTUType,baseMean,log2FoldChange,emergence,OTUcolor
Otu1,Donor Taxa,29.8237749405532,2.3496864424875,enriched,<b style='color:#377EB8'>Otu1
Otu10,Shared Taxa,13.0873141402179,1.5756962868634,enriched,<b style='color:#828382'>Otu10
Otu101,Shared Taxa,2.14504954375934,-0.82923074956548,unchanged,<b style='color:#828382'>Otu101
Otu102,Shared Taxa,2.88058622618039,-1.82154558171454,depleted,<b style='color:#828382'>Otu102
Otu103,Shared Taxa,1.33687479841513,0.0419571766155342,unchanged,<b style='color:#828382'>Otu103
Otu11,Shared Taxa,11.693499172882,2.0638269685482,enriched,<b style='color:#828382'>Otu11
Otu112,Shared Taxa,3.04638376486088,-1.51671964528532,depleted,<b style='color:#828382'>Otu112
Otu113,Shared Taxa,2.63009332242321,-1.66680842118161,depleted,<b style='color:#828382'>Otu113
Otu116,Shared Taxa,2.13136836653004,-0.916755444419899,unchanged,<b style='color:#828382'>Otu116
Otu118,Shared Taxa,2.14725682635457,-1.32857337863403,depleted,<b style='color:#828382'>Otu118
Otu12,Recipient Taxa,10.8890453101728,-0.500457776658277,unchanged,<b style='color:#E41A1C'>Otu12
Otu126,Shared Taxa,3.61504669252051,-1.86557430982531,depleted,<b style='color:#828382'>Otu126
Otu127,Shared Taxa,2.65580468810056,-1.7327308862671,depleted,<b style='color:#828382'>Otu127
Otu128,Shared Taxa,2.6547491297014,-1.24885564831213,depleted,<b style='color:#828382'>Otu128
Otu13,Donor Taxa,5.48039623594428,0.019964756228507,unchanged,<b style='color:#377EB8'>Otu13
Otu14,Shared Taxa,6.52256874126808,0.21629860032414,unchanged,<b style='color:#828382'>Otu14
Otu15,Shared Taxa,13.2977736480819,2.82671500709155,enriched,<b style='color:#828382'>Otu15
Otu16,Shared Taxa,10.7316284166694,2.11279131531727,enriched,<b style='color:#828382'>Otu16
Otu17,Recipient Taxa,5.91113914813275,-3.39816204690621,depleted,<b style='color:#E41A1C'>Otu17
Otu18,Recipient Taxa,8.64012399131787,-0.565968775842125,unchanged,<b style='color:#E41A1C'>Otu18
Otu19,Recipient Taxa,2.278656361814,-1.55454926266899,depleted,<b style='color:#E41A1C'>Otu19
Otu2,Recipient Taxa,21.9615676831482,-0.496393481475964,unchanged,<b style='color:#E41A1C'>Otu2
Otu20,Shared Taxa,10.7744550886148,0.975034371366937,unchanged,<b style='color:#828382'>Otu20
Otu21,Shared Taxa,13.4105477106122,-2.46386444062832,depleted,<b style='color:#828382'>Otu21
Otu22,Shared Taxa,7.19663935387871,-3.16754735171555,depleted,<b style='color:#828382'>Otu22
Otu23,Shared Taxa,5.86595228178959,2.24012953183255,enriched,<b style='color:#828382'>Otu23
Otu24,Donor Taxa,6.35037425504156,1.40391729955626,enriched,<b style='color:#377EB8'>Otu24
Otu25,Donor Taxa,6.22071986819621,1.85908280769613,enriched,<b style='color:#377EB8'>Otu25
Otu26,Donor Taxa,6.51064629054541,1.15653636072627,enriched,<b style='color:#377EB8'>Otu26
Otu27,Shared Taxa,2.77711409445,0.631919121669703,unchanged,<b style='color:#828382'>Otu27
Otu28,Shared Taxa,1.65460601089579,-1.0622656984727,depleted,<b style='color:#828382'>Otu28
Otu29,Shared Taxa,6.17156215380521,1.81420886538233,enriched,<b style='color:#828382'>Otu29
Otu3,Shared Taxa,32.7614237767997,2.11595756925272,enriched,<b style='color:#828382'>Otu3
Otu30,Donor Taxa,6.08997486748154,1.83986852301971,enriched,<b style='color:#377EB8'>Otu30
Otu31,Shared Taxa,4.19353709727702,1.73949613828407,enriched,<b style='color:#828382'>Otu31
Otu33,Shared Taxa,6.58087242809053,1.74764040459151,enriched,<b style='color:#828382'>Otu33
Otu34,Shared Taxa,15.3313898216657,-4.02423714409223,depleted,<b style='color:#828382'>Otu34
Otu35,Shared Taxa,3.41248920809874,0.271343154087962,unchanged,<b style='color:#828382'>Otu35
Otu36,Recipient Taxa,4.12675305906151,-1.11819319616289,depleted,<b style='color:#E41A1C'>Otu36
Otu37,Shared Taxa,3.68472442807915,-2.26573758901036,depleted,<b style='color:#828382'>Otu37
Otu38,Shared Taxa,3.74966811372709,0.495973310450881,unchanged,<b style='color:#828382'>Otu38
Otu39,Shared Taxa,6.52121928938008,-3.06862316904758,depleted,<b style='color:#828382'>Otu39
Otu4,Shared Taxa,30.0166310867135,0.532458655259616,unchanged,<b style='color:#828382'>Otu4
Otu40,Shared Taxa,4.82492904126325,-2.4189821451414,depleted,<b style='color:#828382'>Otu40
Otu41,Shared Taxa,4.67367166936092,0.770165348268879,unchanged,<b style='color:#828382'>Otu41
Otu42,Shared Taxa,9.11383972950448,-3.27453283508279,depleted,<b style='color:#828382'>Otu42
Otu43,Shared Taxa,5.40215648965152,1.64755486642915,enriched,<b style='color:#828382'>Otu43
Otu44,Shared Taxa,4.02486846461562,1.16327172192554,enriched,<b style='color:#828382'>Otu44
Otu45,Recipient Taxa,4.55710925242916,0.334538741465278,unchanged,<b style='color:#E41A1C'>Otu45
Otu46,Donor Taxa,4.20389069766985,1.34151348876267,enriched,<b style='color:#377EB8'>Otu46
Otu47,Shared Taxa,3.32250936830196,1.57752087702366,enriched,<b style='color:#828382'>Otu47
Otu48,Recipient Taxa,3.57915922365111,-0.166359401595161,unchanged,<b style='color:#E41A1C'>Otu48
Otu49,Shared Taxa,2.35258082392084,-1.52632002991119,depleted,<b style='color:#828382'>Otu49
Otu5,Donor Taxa,16.6853272390623,2.100601840498,enriched,<b style='color:#377EB8'>Otu5
