"","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"13","Otu1","Otu17",0.991288380217493,0.00122675053688746,0.991229607918969,0.991771019677996,-0.393429182209906,0.694,1,"Env",3469,406631,FALSE,"Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Otu17_Erysipelotrichales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu17","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","depleted","enriched"
"14","Otu1","Otu18",0.947594423870371,0.00253580897272122,0.947992515972262,0.931888544891641,6.19363648748188,0.00000000058792,0.00000186,"Env",19705,406631,TRUE,"Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group","Otu18_Oscillospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu18","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"15","Otu1","Otu19",0.995739893195626,0.000854535350180096,0.995680345572354,0.997844827586207,-2.46325022146526,0.013768,1,"Env",1691,406631,FALSE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu19_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu19","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","depleted","enriched"
"16","Otu1","Otu2",0.915558277442146,0.00450967895891186,0.914741180227987,0.897884996695307,3.9189664958108,0.000088929,0.281,"Env",55418,406631,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu2_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu2","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"17","Otu1","Otu20",0.888546947102993,0.00447390329948344,0.888088875561866,0.877370417193426,2.49816081426209,0.012484,1,"Env",98393,406631,FALSE,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Otu20_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu20","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"18","Otu1","Otu21",0.921292211562018,0.00347276609005058,0.921151003837737,0.98158379373849,-17.36125630494,0.00000000000000000000000000000000000000000000000000000000000000000016214,0.000000000000000000000000000000000000000000000000000000000000000512,"Env",128221,406631,TRUE,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Otu21_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu21","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"19","Otu1","Otu22",0.953223145878422,0.00368907009327177,0.953496145543539,1,-12.6798496474466,0.00000000000000000000000000000000000076478,0.00000000000000000000000000000000242,"Env",93480,406631,TRUE,"Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Otu22_Oscillospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu22","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"20","Otu1","Otu23",0.91670654091638,0.00364991253753597,0.916612164813604,0.901525198938992,4.15937144281174,0.000031912,0.101,"Env",38206,406631,FALSE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu23_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu23","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"21","Otu1","Otu25",0.844585690460312,0.00386145687955045,0.844496530946187,0.768894440974391,19.6017337100844,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000014944,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000472,"Env",113459,406631,TRUE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu25_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#377EB8'>Otu25","<b style='color:#377EB8'>Otu1","Donor Taxa","Donor Taxa","enriched","enriched"
"22","Otu1","Otu26",0.870607121091048,0.00515709030711406,0.87151346258205,0.811175337186898,11.5242860537396,0.00000000000000000000000000000099534,0.00000000000000000000000000315,"Env",131748,406631,TRUE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu26_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#377EB8'>Otu26","<b style='color:#377EB8'>Otu1","Donor Taxa","Donor Taxa","enriched","enriched"
"23","Otu1","Otu27",0.947885704396278,0.00289678844310585,0.94869168969645,0.930521949533356,5.99413978754515,0.0000000020457,0.00000646,"Env",21423,406631,TRUE,"Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Otu27_Oscillospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu27","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"24","Otu1","Otu29",0.967166775200613,0.00249924349746891,0.966945024356298,0.959705676243868,2.9853429504971,0.0028326,1,"Env",18721,406631,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu29_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu29","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"25","Otu1","Otu3",0.774245830082338,0.00669511295194098,0.773904046577035,0.690306681270537,12.5373760553907,0.0000000000000000000000000000000000046618,0.0000000000000000000000000000000147,"Env",234774,406631,TRUE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu3_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu3","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"26","Otu1","Otu30",0.874027003609489,0.00524858328970513,0.873923632757704,0.817947062621046,10.6847768041409,0.000000000000000000000000011994,0.0000000000000000000000379,"Env",115476,406631,TRUE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu30_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#377EB8'>Otu30","<b style='color:#377EB8'>Otu1","Donor Taxa","Donor Taxa","enriched","enriched"
"27","Otu1","Otu31",0.935847603596507,0.0028253846920214,0.935985261935539,0.909931506849315,9.17259048666043,0.000000000000000000046179,0.000000000000000146,"Env",36939,406631,TRUE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu31_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu31","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"28","Otu1","Otu33",0.933879621853065,0.00321112113401581,0.934724983432737,0.951402478799739,-5.45692803708093,0.000000048444,0.000153,"Env",45535,406631,TRUE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu33_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu33","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"29","Otu1","Otu34",0.986284855006563,0.00152834950701693,0.986491290437256,0.999297999297999,-8.51450812244908,0.00000000000000001673,0.0000000000000529,"Env",58034,406631,TRUE,"Synergistota","Synergistia","Synergistales","Synergistaceae","Otu34_Synergistales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu34","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"30","Otu1","Otu35",0.962874028563476,0.00289713800009413,0.96371803731859,0.961205403533079,0.57595635083394,0.56464,1,"Env",20407,406631,FALSE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu35_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu35","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"31","Otu1","Otu37",0.970217004773319,0.0021759113682838,0.969707520891365,1,-13.6875957636875,0.0000000000000000000000000000000000000000012043,0.00000000000000000000000000000000000000381,"Env",37672,406631,TRUE,"Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Otu37_Methanobacteriales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu37","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","depleted","enriched"
"32","Otu1","Otu38",0.95734099296981,0.00231707076159334,0.957417582417582,0.960629921259842,-1.41943368521514,0.15577,1,"Env",19631,406631,FALSE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu38_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu38","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"33","Otu1","Otu39",0.964664480747091,0.00279199677622992,0.964779005524862,1,-12.6560028842954,0.0000000000000000000000000000000000010364,0.00000000000000000000000000000000328,"Env",76565,406631,TRUE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu39_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu39","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"34","Otu1","Otu4",0.795306982080121,0.00529909191982866,0.794933247639698,0.752346769740475,8.10708947676371,0.00000000000000051847,0.00000000000164,"Env",217039,406631,TRUE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu4_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu4","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"35","Otu1","Otu40",0.950225806312296,0.00339675377788677,0.950354609929078,0.99677211103938,-13.7031730206956,0.00000000000000000000000000000000000000000097183,0.00000000000000000000000000000000000000307,"Env",47067,406631,TRUE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu40_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu40","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"36","Otu1","Otu42",0.989358624553715,0.00159976044002001,0.990021382751247,1,-6.65185560292477,0.000000000028942,0.0000000915,"Env",36357,406631,TRUE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu42_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu42","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","depleted","enriched"
"37","Otu1","Otu43",0.919324362075995,0.00341532948261829,0.919829842931937,0.898932621747832,5.97065098168214,0.0000000023631,0.00000747,"Env",44456,406631,TRUE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu43_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu43","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"38","Otu1","Otu44",0.922173920522425,0.00354907592537299,0.922621952193764,0.895587739979791,7.49101487307278,0.000000000000068343,0.000000000216,"Env",41473,406631,TRUE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu44_Lactobacillales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu44","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"39","Otu1","Otu45",0.972030129245918,0.00217538854846338,0.971818627696091,0.968025298664793,1.84097253980428,0.065626,1,"Env",14975,406631,FALSE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu45_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu45","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"40","Otu1","Otu46",0.913322919003067,0.00293425241045082,0.912930474333983,0.878310425745893,11.9323385856208,0.0000000000000000000000000000000080286,0.0000000000000000000000000000254,"Env",66962,406631,TRUE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu46_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#377EB8'>Otu46","<b style='color:#377EB8'>Otu1","Donor Taxa","Donor Taxa","enriched","enriched"
"41","Otu1","Otu47",0.989886284983512,0.00140132279441795,0.990176785076303,0.988188976377953,1.21121886571779,0.22581,1,"Env",2807,406631,FALSE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu47_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu47","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","enriched","enriched"
"42","Otu1","Otu48",0.986076096961584,0.00160658757336861,0.986150568181818,0.99045261669024,-2.72410903781611,0.0064475,1,"Env",6451,406631,FALSE,"Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Otu48_Lachnospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu48","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","unchanged","enriched"
"43","Otu1","Otu49",0.983685174035675,0.00170637439924093,0.983687943262411,0.997902097902098,-8.33165562771428,0.00000000000000007972,0.000000000000252,"Env",13155,406631,TRUE,"Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Otu49_Oscillospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#E41A1C'>Otu49","<b style='color:#377EB8'>Otu1","Recipient Taxa","Donor Taxa","depleted","enriched"
"44","Otu1","Otu5",0.779282208330216,0.00636620770548334,0.779652136847477,0.669119728276252,17.3042547699281,0.0000000000000000000000000000000000000000000000000000000000000000004369,0.00000000000000000000000000000000000000000000000000000000000000138,"Env",202417,406631,TRUE,"Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu5_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#377EB8'>Otu5","<b style='color:#377EB8'>Otu1","Donor Taxa","Donor Taxa","enriched","enriched"
"45","Otu1","Otu51",0.930304922521757,0.00358960004112903,0.930363939210737,0.913204998311381,4.76374081080004,0.0000019004,0.00601,"Env",38949,406631,TRUE,"Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Otu51_Oscillospirales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#828382'>Otu51","<b style='color:#377EB8'>Otu1","Shared Taxa","Donor Taxa","unchanged","enriched"
"46","Otu1","Otu52",0.891442568763909,0.00507903296114277,0.891057934508816,0.860562924619864,6.07982747509028,0.0000000012031,0.0000038,"Env",160608,406631,TRUE,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Otu52_Bacteroidales","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Otu1_Bacteroidales","<b style='color:#377EB8'>Otu52","<b style='color:#377EB8'>Otu1","Donor Taxa","Donor Taxa","unchanged","enriched"
