OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu193,Bacteria,1.0000,Firmicutes,1.0000,Negativicutes,1.0000,Acidaminococcales,1.0000,Acidaminococcaceae,1.0000,Phascolarctobacterium,1.0000
Otu198,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Anaerostipes,1.0000
Otu200,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Clostridium_XlVa,0.8600
Otu199,Bacteria,1.0000,Actinobacteria,1.0000,Actinobacteria,1.0000,Bifidobacteriales,1.0000,Bifidobacteriaceae,1.0000,Bifidobacterium,1.0000
Otu202,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Roseburia,0.9800
Otu201,Bacteria,1.0000,Firmicutes,0.8300,Clostridia,0.8300,Clostridiales,0.8300,Lachnospiraceae,0.8100,Cellulosilyticum,0.8000
Otu204,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Frisingicoccus,0.5400
Otu203,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,0.9900,Lactobacillaceae,0.9900,Secundilactobacillus,0.9900
Otu206,Bacteria,1.0000,Firmicutes,0.6700,Clostridia,0.6600,Clostridiales,0.6600,Lachnospiraceae,0.3700,Spiroplasma,0.1800
Otu205,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Streptococcaceae,1.0000,Streptococcus,1.0000
Otu207,Bacteria,1.0000,Firmicutes,0.6100,Clostridia,0.6100,Clostridiales,0.6100,Ruminococcaceae,0.3100,Spiroplasma,0.1800
Otu208,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9900,Clostridiales,0.9900,Lachnospiraceae,0.9900,Lacrimispora,0.3900
Otu210,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Shuttleworthia,0.9100
Otu209,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Clostridium_XlVa,0.7800
Otu211,Bacteria,1.0000,Firmicutes,0.3000,Thermotogae,0.2800,Thermotogales,0.2600,Thermotogaceae,0.1500,Cerasicoccus,0.1200
Otu213,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Coprococcus,0.4100
Otu212,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,0.9500,Papillibacter,0.3700
Otu214,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Frisingicoccus,0.9900
Otu216,Bacteria,1.0000,Tenericutes,0.5400,Mollicutes,0.5400,Acholeplasmatales,0.5300,Acholeplasmataceae,0.5300,Acholeplasma,0.5300
Otu215,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Gemmiger,1.0000
Otu218,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.9900,Bacteroidales,0.9900,Bacteroidaceae,0.9900,Bacteroides,0.9900
Otu217,Bacteria,1.0000,Actinobacteria,0.9900,Coriobacteriia,0.9900,Coriobacteriales,0.5400,Coriobacteriaceae,0.5200,Senegalimassilia,0.5200
Otu219,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Porphyromonadaceae,1.0000,Parabacteroides,1.0000
Otu220,Bacteria,1.0000,Bacteroidetes,1.0000,Sphingobacteriia,0.9000,Sphingobacteriales,0.9000,Sphingobacteriaceae,0.9000,Sphingobacterium,0.6400
Otu222,Bacteria,1.0000,Firmicutes,0.8400,Clostridia,0.8400,Clostridiales,0.8400,Lachnospiraceae,0.8300,Lachnoanaerobaculum,0.2600
Otu223,Bacteria,1.0000,Firmicutes,0.8300,Clostridia,0.8300,Clostridiales,0.8300,Lachnospiraceae,0.8000,Cellulosilyticum,0.7800
Otu221,Bacteria,1.0000,Firmicutes,1.0000,Erysipelotrichia,1.0000,Erysipelotrichales,1.0000,Erysipelotrichaceae,1.0000,Faecalicoccus,0.5100
Otu224,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Blautia,0.8000
Otu225,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Muribaculaceae,0.6000,Duncaniella,0.5800
Otu226,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Enterocloster,0.5000
Otu227,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9800,Butyrivibrio,0.3800
Otu229,Bacteria,1.0000,Proteobacteria,1.0000,Gammaproteobacteria,1.0000,Pasteurellales,1.0000,Pasteurellaceae,1.0000,Haemophilus,0.9400
Otu228,Bacteria,1.0000,Firmicutes,0.9000,Clostridia,0.9000,Clostridiales,0.9000,Clostridiaceae_3,0.7300,Brassicibacter,0.7300
Otu231,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Dysosmobacter,0.8800
Otu230,Bacteria,1.0000,Actinobacteria,1.0000,Actinobacteria,1.0000,Bifidobacteriales,1.0000,Bifidobacteriaceae,1.0000,Bifidobacterium,1.0000
Otu233,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Blautia,0.9900
Otu234,Bacteria,1.0000,Firmicutes,0.7700,Clostridia,0.4400,Clostridiales,0.4400,Lachnospiraceae,0.3900,Cellulosilyticum,0.3800
Otu232,Bacteria,1.0000,Firmicutes,1.0000,Negativicutes,0.9800,Veillonellales,0.9800,Veillonellaceae,0.9800,Veillonella,0.9800
Otu235,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Johnsonella,0.5200
Otu236,Bacteria,1.0000,Ignavibacteriae,0.6200,Ignavibacteria,0.6200,Ignavibacteriales,0.6200,Ignavibacteriaceae,0.6200,Melioribacter,0.6200
