"","Sample","Cluster","MouseGroup","NumberParticles","TotalParticleCluster","ClusterProportion","ParticlesMouseGroupCluster","ClusterProportionMouseGroup","ParticleNumberPerSample","SampleProportion"
"65","J2r2","5","Jax",37,364,0.101648351648352,364,1,38528,0.000960340531561462
"66","J2r2","15","Jax",20,136,0.147058823529412,136,1,38528,0.000519102990033223
"67","J2r2","10","Jax",36,254,0.141732283464567,254,1,38528,0.000934385382059801
"68","J2r2","3","Jax",63,564,0.111702127659574,564,1,38528,0.00163517441860465
"69","J3r1","10","Jax",39,254,0.153543307086614,254,1,9422,0.00413924856718319
"70","J3r1","0","Jax",103,780,0.132051282051282,780,1,9422,0.0109318616005094
"71","J3r1","5","Jax",50,364,0.137362637362637,364,1,9422,0.00530672893228614
"72","J3r1","12","Jax",24,222,0.108108108108108,222,1,9422,0.00254722988749735
"73","J3r1","6","Jax",23,339,0.0678466076696165,339,1,9422,0.00244109530885162
"74","J3r1","3","Jax",68,564,0.120567375886525,564,1,9422,0.00721715134790915
"75","J3r1","1","Jax",39,683,0.0571010248901903,683,1,9422,0.00413924856718319
"76","J3r1","9","Jax",13,273,0.0476190476190476,273,1,9422,0.0013797495223944
"77","J3r1","8","Jax",3,300,0.01,300,1,9422,0.000318403735937168
"78","J3r1","14","Jax",10,137,0.072992700729927,137,1,9422,0.00106134578645723
"79","J3r1","13","Jax",12,183,0.0655737704918033,183,1,9422,0.00127361494374867
"80","J3r1","4","Jax",6,499,0.0120240480961924,499,1,9422,0.000636807471874337
"81","J3r1","15","Jax",11,136,0.0808823529411765,136,1,9422,0.00116748036510295
"82","J3r1","11","Jax",17,237,0.0717299578059072,237,1,9422,0.00180428783697729
"83","J3r1","7","Jax",2,312,0.00641025641025641,312,1,9422,0.000212269157291446
"84","J3r1","2","Jax",1,585,0.00170940170940171,585,1,9422,0.000106134578645723
"85","J3r1","16","Jax",2,126,0.0158730158730159,126,1,9422,0.000212269157291446
"86","J3r2","0","Jax",34,780,0.0435897435897436,780,1,16606,0.00204745272792966
"87","J3r2","12","Jax",17,222,0.0765765765765766,222,1,16606,0.00102372636396483
"88","J3r2","1","Jax",47,683,0.068814055636896,683,1,16606,0.00283030230037336
"89","J3r2","9","Jax",17,273,0.0622710622710623,273,1,16606,0.00102372636396483
"90","J3r2","11","Jax",19,237,0.080168776371308,237,1,16606,0.0011441647597254
"91","J3r2","6","Jax",11,339,0.0324483775811209,339,1,16606,0.000662411176683127
"92","J3r2","5","Jax",13,364,0.0357142857142857,364,1,16606,0.000782849572443695
"93","J3r2","15","Jax",5,136,0.0367647058823529,136,1,16606,0.000301095989401421
"94","J3r2","13","Jax",11,183,0.0601092896174863,183,1,16606,0.000662411176683127
"95","J3r2","4","Jax",8,499,0.0160320641282565,499,1,16606,0.000481753583042274
"96","J3r2","14","Jax",3,137,0.0218978102189781,137,1,16606,0.000180657593640853
"97","J3r2","3","Jax",22,564,0.0390070921985816,564,1,16606,0.00132482235336625
"98","J3r2","10","Jax",4,254,0.015748031496063,254,1,16606,0.000240876791521137
"99","J3r2","2","Jax",1,585,0.00170940170940171,585,1,16606,0.0000602191978802842
"100","J3r2","16","Jax",2,126,0.0158730158730159,126,1,16606,0.000120438395760568
"101","J4r1","5","Jax",47,364,0.129120879120879,364,1,6972,0.00674125071715433
"102","J4r1","0","Jax",76,780,0.0974358974358974,780,1,6972,0.0109007458405049
"103","J4r1","12","Jax",27,222,0.121621621621622,222,1,6972,0.00387263339070568
"104","J4r1","11","Jax",11,237,0.0464135021097046,237,1,6972,0.00157773952954676
"105","J4r1","3","Jax",47,564,0.0833333333333333,564,1,6972,0.00674125071715433
"106","J4r1","10","Jax",31,254,0.122047244094488,254,1,6972,0.00444635685599541
"107","J4r1","1","Jax",25,683,0.0366032210834553,683,1,6972,0.00358577165806081
"108","J4r1","7","Jax",3,312,0.00961538461538462,312,1,6972,0.000430292598967298
"109","J4r1","4","Jax",8,499,0.0160320641282565,499,1,6972,0.00114744693057946
"110","J4r1","9","Jax",7,273,0.0256410256410256,273,1,6972,0.00100401606425703
"111","J4r1","6","Jax",25,339,0.0737463126843658,339,1,6972,0.00358577165806081
"112","J4r1","15","Jax",2,136,0.0147058823529412,136,1,6972,0.000286861732644865
"113","J4r1","13","Jax",9,183,0.0491803278688525,183,1,6972,0.00129087779690189
"114","J4r1","8","Jax",6,300,0.02,300,1,6972,0.000860585197934596
"115","J4r1","14","Jax",8,137,0.0583941605839416,137,1,6972,0.00114744693057946
"116","J4r1","16","Jax",3,126,0.0238095238095238,126,1,6972,0.000430292598967298
"117","J4r2","3","Jax",8,564,0.0141843971631206,564,1,2704,0.0029585798816568
"118","J4r2","0","Jax",12,780,0.0153846153846154,780,1,2704,0.00443786982248521
"119","J4r2","5","Jax",2,364,0.00549450549450549,364,1,2704,0.000739644970414201
"120","J4r2","11","Jax",3,237,0.0126582278481013,237,1,2704,0.0011094674556213
"121","J4r2","6","Jax",3,339,0.00884955752212389,339,1,2704,0.0011094674556213
"122","J4r2","4","Jax",4,499,0.00801603206412826,499,1,2704,0.0014792899408284
"123","J4r2","7","Jax",1,312,0.00320512820512821,312,1,2704,0.000369822485207101
"124","J4r2","12","Jax",1,222,0.0045045045045045,222,1,2704,0.000369822485207101
"125","J4r2","14","Jax",1,137,0.0072992700729927,137,1,2704,0.000369822485207101
