seqid,mouse_type,polysacc,replicate,S3_R1_path,S3_R2_path
psac.048,JE,arabinogalactan,2,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-arabino-galactan-2_S131_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-arabino-galactan-2_S131_L001_R2_001.fastq.gz
psac.049,JE,cellobiose,1,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-cellobiose-1_S118_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-cellobiose-1_S118_L001_R2_001.fastq.gz
psac.050,JE,cellobiose,2,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-cellobiose-2_S119_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-cellobiose-2_S119_L001_R2_001.fastq.gz
psac.051,JE,glucose,1,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-glucose-1_S100_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-glucose-1_S100_L001_R2_001.fastq.gz
psac.052,JE,glucose,2,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-glucose-2_S101_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-glucose-2_S101_L001_R2_001.fastq.gz
psac.053,JE,H20,1,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-H20-1_S88_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-H20-1_S88_L001_R2_001.fastq.gz
psac.054,JE,H20,2,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-H20-2_S89_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-H20-2_S89_L001_R2_001.fastq.gz
psac.055,JE,inulin,1,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-inulin-1_S112_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-inulin-1_S112_L001_R2_001.fastq.gz
psac.056,JE,inulin,2,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-inulin-2_S113_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-inulin-2_S113_L001_R2_001.fastq.gz
psac.057,JE,mGAM,1,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-mGAM-1_S94_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-mGAM-1_S94_L001_R2_001.fastq.gz
psac.058,JE,mGAM,2,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-mGAM-2_S95_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-mGAM-2_S95_L001_R2_001.fastq.gz
psac.059,JE,mucin,1,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-mucin-1_S124_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-mucin-1_S124_L001_R2_001.fastq.gz
psac.060,JE,mucin,2,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-mucin-2_S125_L001_R1_001.fastq.gz,20210925_Ope_JvE_PolysaccharideScreen/20210908-JE-mucin-2_S125_L001_R2_001.fastq.gz
