#OTU ID	20230504lav15P1A11	20230501lav13P1A3	20230504lav14P1A10	20230501lav14P1A4	20230501lav15P1A5	20230501lav11P1A1	20230504lav21P1B7	20230501lav12P1A2	20230504lav23P1B9	20230504lav12P1A8	20230504lav13P1A9	20230504lav24P1B10	20230501lav21P1B1	20230504lav31P1C7	20230504lav11P1A7	20230501lav45P1C6	20230501lav22P1B2	20230501lav23P1B3	20230501lav24P1B4	20230501lav34P1C4	20230504lav32P1C8	20230511GPLP2H4	20230501lav31P1C1	20230501lav44P1C5	20230504lav33P1C9	20230501lav32P1C2	20230501lav33P1C3	20230504lav41P1A12	20230504lav34P1C10	20230501lav42P1B5	20230504lav42P1B11	20230501lav43P1B6	20230504lav43P1B12	20230504lav22P1B8	20230501lav41P1A6	20230511GPP2H2	20230508lav15P1E11	20230508lav12P1E8	20230504lav44P1C11	20230508lav31P1G7	20230504lav45P1C12	20230508lav24P1F10	20230506lav13P1E3	20230508lav11P1E7	20230506lav12P1E2	20230508lav13P1E9	20230506lav11P1E1	20230508lav21P1F7	20230508lav34P1G10	20230508lav22P1F8	20230506lav14P1E4	20230508lav14P1E10	20230506lav15P1E5	20230506lav42P1F5	20230506lav45P1G6	20230506lav21P1F1	20230511LP2H3	20230506lav22P1F2	20230506lav44P1G5	20230506lav23P1F3	20230508lav23P1F9	20230506lav24P1F4	20230508lav43P1F12	20230506lav43P1F6	20230506lav32P1G2	20230506lav33P1G3	20230506lav31P1G1	20230508lav32P1G8	20230506lav34P1G4	20230508lav33P1G9	20230506lav41P1E6	20230508lav42P1F11	20230508lav41P1E12	20230511controlP2H1	20230508lav44P1G11	20230511lav24P2B11	20230511lav22P2B8	20230510lav41P2A6	20230510lav45P2C6	20230508lav45P1G12	20230511lav44P2C11	20230510lav12P2A2	20230510lav14P2A4	20230510lav33P2C3	20230510lav43P2B6	20230510lav11P2A1	20230511uter11P2E1	bulkMaPS-E1	20230510lav13P2A3	20230511lav11P2A7	20230511lav31P2C7	20230510lav15P2A5	20230510lav42P2B5	20230511lav12P2A8	20230510lav21P2B1	20230510lav23P2B3	20230511lav13P2A9	20230510lav22P2B2	20230510lav24P2B4	20230511lav14P2A10	20230510lav31P2C1	20230511lav15P2A11	20230510lav32P2C2	20230511lav23P2B9	20230510lav44P2C5	20230511lav21P2B7	20230510lav34P2C4	20230511uter41P2E6	bulkMaPS-J3	20230511lav32P2C8	20230511lav33P2C9	20230511lav43P2B12	20230511lav45P2C12	20230511uter33P2G3	bulkMaPS-E2	bulkMaPS-E7	bulkMaPS-J8	20230511lav34P2C10	20230511lav41P2A12	20230511lav42P2B10	20230511uter12P2E2	20230511uter44P2G5	20230511uter13P2E3	bulkMaPS-E3	bulkMaPS-E5	bulkMaPS-J5	bulkMaPS-J1	20230511uter21P2F1	bulkMaPS-E4	bulkMaPS-J4	20230511uter45P2G6	bulkMaPS-E6	bulkMaPS-J6	20230511uter22P2F2	bulkMaPS-E8	20230511uter24P2F4	20230511uter31P2G1	20230511uter42P2F5	20230511uter15P2E5	20230511uter23P2F3	20230511uter14P2E4	bulkMaPS-J7	bulkMaPS-J2	20230511uter43P2F6	20230511uter34P2G4	20230511uter32P2G2
Otu180	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	3	0	5	0	2	0	0	8	10	1	1	2	0	3	0	2	8	0	1	6	0	3	0	0	0	1	3	2	17	2	1	1	1	0	9	58	34	1	9	2	0	0	0	41	5	14	1	0	38	30	2	3	3	0	44	0	0	0	1	2	0	37	3	0	0	0
Otu2	0	1	0	0	0	0	1	0	0	1	5	2	0	0	0	216	0	0	0	1	464	0	0	0	2	1013	3	0	0	0	0	0	0	1	0	0	1508	10506	0	0	103	5412	2	871	0	2284	0	1	1113	6	18	6	1	0	4442	0	0	1	1	0	0	2	2	5	2256	1	0	2781	245	6	1	1	0	0	2	778	0	3	25994	1576	13	621	715	19	1	3	499	38	6760	3247	1183	982	0	773	135	265	5290	3	480	3154	5	4801	2511	773	6	198	4247	2	40	4186	5	5	731	1	51	199	159	14992	1339	2	150	0	58	161	16	106	8	0	155	157	9	14	15	0	204	64	0	0	0	1	1	173	22	2	408	11
Otu10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	1	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	246	1	1	0	0	0	0	2	0	1	1	0	1	0	0	0	2	1	0	1	0	325	0	0	1	0	0	336	1777	1230	0	0	0	0	0	1	1270	115	641	89	0	1510	1267	0	137	48	0	1674	0	0	0	0	0	0	1356	141	0	0	0
Otu4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	13392	0	0	2	0	0	0	1	0	0	0	0	0	0	62634	0	1	0	1	0	632	0	0	0	3	0	48	0	6104	0	1	0	0	0	2	8	1	0	1	9923	7	116	1	0	0	0	1	1	5	0	0	0	0	5	42	235	0	0	0	30	1	1	0	573	0	0	0	0	0	0	0	0	0	108	130	0	682	149	0	0	0	5	782	12	122	0	0	0	0	0	676	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	5
Otu5	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10035	0	0	0	0	0	0	0	0	0	0	0	0	0	75121	0	0	0	0	0	17	0	0	0	0	0	0	0	2	2	1	0	0	0	0	14	0	0	0	14	2	1	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	1	4
Otu65	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	0	0	0	124	0	0	0	0	0	1	15	0	19	3	0	6	0	0	0	0	0	9	0	0	16	16	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	8	0	6	0	0	1	0	6	0	35	261	0	0	3	3	0	225	0	0	0	0	0	0	0	0	7	334	0	0	0
Otu212	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	3	0	0	0	104	0	0	0	0	0	0	0	0	0	187	0	0	0
Otu43	0	0	0	1	0	9	0	1	1	0	0	0	114	0	12	0	0	0	0	0	0	0	0	23	0	0	2	0	0	13	59	0	0	0	17	0	0	0	0	0	0	316	0	0	0	200	0	9	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	142	0	1	0	0	0	0	4	234	318	3	3	0	8	89	117	237	0	19	21	0	135	0	58	0	186	0	0	1	0	0	1	0	0	0	0	0	4	146	0	0	0	2	13	3	0	1	0	1	0	0	8	1	0	0	0	0	0	0	1	13	0	0	0	0	0
Otu69	0	0	0	0	20	0	0	0	0	0	0	0	73	0	0	5	0	0	6	0	0	0	0	46	0	0	0	0	0	18	3	5	3	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	73	0	0	265	0	0	0	0	0	0	1	114	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	24	0	0	49	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	58	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Otu290	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	16	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	5	1	2	0	1	0	0	0	11	4	0	0	0	2	0	2	5	0	2	4	0	3	0	2	0	0	0	1	2	0	0	3	1	0	6	18	16	1	0	1	0	0	0	13	0	1	2	0	10	12	1	0	1	0	15	0	1	0	0	0	1	18	3	0	0	0
